,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHARLOTTE_ACTION,DALLAS_SCORE,CHARLOTTE_SCORE
54,1,5:08.0,Defensive rebound by W. Cauley-Stein,,10,2
55,1,4:57.0,D. Finney-Smith makes 2-pt layup from 2 ft (assist by M. Kleber),,12,2
56,1,4:44.0,,Turnover by M. Monk (bad pass; steal by S. Curry),12,2
57,1,4:40.0,S. Curry makes 2-pt layup from 1 ft,,14,2
58,1,4:26.0,,T. Rozier misses 2-pt layup from 2 ft,14,2
59,1,4:24.0,Defensive rebound by J. Brunson,,14,2
60,1,4:18.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by J. Brunson),,16,2
61,1,4:01.0,,T. Rozier misses 3-pt jump shot from 24 ft,16,2
62,1,3:57.0,,Offensive rebound by M. Monk,16,2
63,1,3:48.0,,T. Rozier makes 3-pt jump shot from 26 ft,16,5
64,1,3:24.0,Shooting foul by P. Washington (drawn by M. Kleber),,16,5
65,1,3:24.0,M. Kleber makes free throw 1 of 2,,17,5
66,1,3:24.0,R. Broekhoff enters the game for J. Brunson,,17,5
67,1,3:24.0,D. Wright enters the game for W. Cauley-Stein,,17,5
68,1,3:24.0,,M. Bridges enters the game for T. Rozier,17,5
69,1,3:24.0,,D. Graham enters the game for P. Washington,17,5
70,1,3:24.0,M. Kleber makes free throw 2 of 2,,18,5
71,1,3:11.0,,M. Bridges misses 3-pt jump shot from 26 ft,18,5
72,1,3:08.0,Defensive rebound by R. Broekhoff,,18,5
73,1,3:02.0,S. Curry makes 2-pt jump shot from 20 ft (assist by D. Wright),,20,5
74,1,2:41.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Graham),20,8
75,1,2:19.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,20,8
76,1,2:16.0,,Defensive rebound by M. Bridges,20,8
77,1,1:57.0,,M. Bridges misses 2-pt layup from 5 ft (block by M. Kleber),20,8
78,1,1:57.0,,Offensive rebound by Team,20,8
79,1,1:57.0,Dallas full timeout,,20,8
80,1,1:57.0,C. Lee enters the game for D. Finney-Smith,,20,8
81,1,1:57.0,B. Marjanović enters the game for M. Kleber,,20,8
82,1,1:55.0,,Turnover by Team (shot clock),20,8
83,1,1:36.0,S. Curry makes 3-pt jump shot from 25 ft (assist by R. Broekhoff),,23,8
84,1,1:25.0,,D. Graham misses 3-pt jump shot from 27 ft,23,8
85,1,1:22.0,Defensive rebound by R. Broekhoff,,23,8
