,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Hayes,0,0
2,1,11:28.0,,L. Ball misses 2-pt jump shot from 9 ft (block by K. Porziņģis),0,0
3,1,11:25.0,Defensive rebound by D. Powell,,0,0
4,1,11:18.0,Turnover by L. Dončić (lost ball; steal by B. Ingram),,0,0
5,1,11:13.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Ingram),0,2
6,1,10:57.0,Turnover by D. Finney-Smith (bad pass),,0,2
7,1,10:48.0,,B. Ingram makes 2-pt dunk from 1 ft,0,4
8,1,10:24.0,T. Hardaway misses 3-pt jump shot from 30 ft,,0,4
9,1,10:23.0,Offensive rebound by Team,,0,4
10,1,10:23.0,Turnover by Team (shot clock),,0,4
11,1,10:06.0,,J. Holiday misses 2-pt layup from 1 ft,0,4
12,1,10:03.0,Defensive rebound by K. Porziņģis,,0,4
13,1,9:56.0,T. Hardaway misses 3-pt jump shot from 24 ft,,0,4
14,1,9:51.0,,Defensive rebound by B. Ingram,0,4
15,1,9:48.0,,J. Holiday misses 2-pt layup from 2 ft (block by K. Porziņģis),0,4
16,1,9:47.0,,Offensive rebound by Team,0,4
17,1,9:43.0,,J. Redick misses 2-pt jump shot from 22 ft,0,4
18,1,9:40.0,Defensive rebound by L. Dončić,,0,4
19,1,9:34.0,L. Dončić makes 3-pt jump shot from 29 ft,,3,4
20,1,9:21.0,,J. Redick makes 2-pt layup from 2 ft (assist by J. Holiday),3,6
21,1,9:09.0,L. Dončić misses 3-pt jump shot from 25 ft,,3,6
22,1,9:09.0,,Defensive rebound by J. Redick,3,6
23,1,9:02.0,,Turnover by J. Holiday (step out of bounds),3,6
24,1,8:52.0,Turnover by L. Dončić (bad pass; steal by B. Ingram),,3,6
25,1,8:30.0,,B. Ingram misses 2-pt jump shot from 12 ft,3,6
26,1,8:27.0,Defensive rebound by L. Dončić,,3,6
27,1,8:19.0,Turnover by L. Dončić (bad pass; steal by B. Ingram),,3,6
28,1,8:00.0,,J. Holiday misses 2-pt jump shot from 10 ft (block by K. Porziņģis),3,6
29,1,7:57.0,,Offensive rebound by J. Holiday,3,6
30,1,7:53.0,,J. Holiday makes 2-pt layup from 2 ft,3,8
