,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:43.0,J. Embiid makes 2-pt hook shot from 5 ft (assist by A. Horford),,2,0
1,1,11:31.0,,J. Brown makes 2-pt jump shot from 14 ft (assist by M. Smart),2,2
2,1,11:22.0,J. Embiid misses 3-pt jump shot from 27 ft,,2,2
3,1,11:20.0,,Defensive rebound by J. Brown,2,2
4,1,11:14.0,,J. Brown makes 3-pt jump shot from 26 ft,2,5
5,1,10:57.0,Turnover by J. Embiid (lost ball; steal by J. Brown),,2,5
6,1,10:46.0,,D. Theis makes 2-pt layup from 3 ft (assist by G. Hayward),2,7
7,1,10:38.0,A. Horford misses 3-pt jump shot from 25 ft,,2,7
8,1,10:37.0,,Defensive rebound by Team,2,7
9,1,10:28.0,,J. Brown misses 3-pt jump shot from 25 ft,2,7
10,1,10:26.0,Defensive rebound by B. Simmons,,2,7
11,1,10:23.0,B. Simmons makes 2-pt layup from 2 ft,,4,7
12,1,10:23.0,Shooting foul by J. Tatum (drawn by B. Simmons),,4,7
13,1,10:23.0,B. Simmons misses free throw 1 of 1,,4,7
14,1,10:23.0,,Defensive rebound by G. Hayward,4,7
15,1,10:07.0,,J. Tatum misses 2-pt jump shot from 6 ft,4,7
16,1,10:05.0,Defensive rebound by A. Horford,,4,7
17,1,9:59.0,B. Simmons misses 2-pt jump shot from 4 ft,,4,7
18,1,9:57.0,,Defensive rebound by D. Theis,4,7
19,1,9:53.0,,Turnover by M. Smart (bad pass),4,7
20,1,9:37.0,Personal foul by J. Tatum (drawn by B. Simmons),,4,7
21,1,9:25.0,S. Milton misses 2-pt jump shot from 6 ft,,4,7
22,1,9:23.0,,Defensive rebound by D. Theis,4,7
23,1,9:17.0,,G. Hayward misses 2-pt jump shot from 20 ft,4,7
24,1,9:15.0,Defensive rebound by A. Horford,,4,7
25,1,8:59.0,B. Simmons misses 2-pt layup from 5 ft,,4,7
26,1,8:58.0,Offensive rebound by A. Horford,,4,7
27,1,8:58.0,A. Horford makes 2-pt layup from 6 ft,,6,7
28,1,8:58.0,,Violation by Team (def goaltending),6,7
29,1,8:40.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by G. Hayward),6,10
30,1,8:26.0,T. Harris misses 2-pt layup from 4 ft,,6,10
31,1,8:25.0,,Defensive rebound by Team,6,10
32,1,8:14.0,,Shooting foul by T. Harris (drawn by J. Tatum),6,10
33,1,8:14.0,,J. Tatum makes free throw 1 of 2,6,11
34,1,8:14.0,,J. Tatum makes free throw 2 of 2,6,12
35,1,7:58.0,T. Harris misses 2-pt layup from 4 ft,,6,12
36,1,7:56.0,,Defensive rebound by J. Tatum,6,12
37,1,7:48.0,,J. Tatum makes 2-pt layup from 3 ft,6,14
38,1,7:22.0,A. Horford misses 3-pt jump shot from 27 ft,,6,14
39,1,7:19.0,Offensive rebound by J. Embiid,,6,14
40,1,7:09.0,Turnover by J. Embiid (bad pass; steal by G. Hayward),,6,14
41,1,7:01.0,,Shooting foul by B. Simmons (drawn by J. Tatum),6,14
42,1,7:01.0,,J. Tatum makes free throw 1 of 3,6,15
43,1,7:01.0,,J. Tatum misses free throw 2 of 3,6,15
44,1,7:01.0,,Offensive rebound by Team,6,15
45,1,7:01.0,,J. Tatum makes free throw 3 of 3,6,16
46,1,6:49.0,Turnover by J. Embiid (lost ball; steal by M. Smart),,6,16
47,1,6:46.0,,Shooting foul by A. Horford (drawn by M. Smart),6,16
48,1,6:46.0,,Boston full timeout,6,16
49,1,6:46.0,F. Korkmaz enters the game for J. Embiid,,6,16
50,1,6:46.0,M. Thybulle enters the game for S. Milton,,6,16
51,1,6:46.0,,M. Smart makes free throw 1 of 2,6,17
52,1,6:46.0,,G. Williams enters the game for D. Theis,6,17
53,1,6:46.0,,M. Smart misses free throw 2 of 2,6,17
54,1,6:46.0,Defensive rebound by B. Simmons,,6,17
55,1,6:28.0,T. Harris makes 2-pt jump shot from 10 ft,,8,17
56,1,6:04.0,,J. Tatum makes 2-pt dunk from 1 ft,8,19
57,1,5:47.0,Turnover by B. Simmons (bad pass),,8,19
58,1,5:27.0,,Turnover by M. Smart (lost ball; steal by F. Korkmaz),8,19
59,1,5:22.0,Turnover by T. Harris (lost ball; steal by J. Tatum),,8,19
60,1,5:18.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by J. Tatum),8,22
61,1,5:08.0,Philadelphia full timeout,,8,22
62,1,5:08.0,,S. Ojeleye enters the game for J. Brown,8,22
63,1,5:08.0,,B. Wanamaker enters the game for J. Tatum,8,22
64,1,4:52.0,T. Harris misses 2-pt jump shot from 9 ft,,8,22
65,1,4:50.0,,Defensive rebound by S. Ojeleye,8,22
66,1,4:31.0,,G. Hayward misses 3-pt jump shot from 25 ft,8,22
67,1,4:29.0,Defensive rebound by A. Horford,,8,22
68,1,4:11.0,A. Horford makes 2-pt hook shot from 8 ft,,10,22
69,1,3:56.0,,M. Smart misses 2-pt jump shot from 12 ft,10,22
