,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DETROIT_ACTION,PHOENIX_SCORE,DETROIT_SCORE
0,1,11:33.0,,A. Drummond misses 2-pt jump shot from 10 ft,0,0
1,1,11:30.0,Defensive rebound by D. Ayton,,0,0
2,1,11:26.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by R. Rubio),,3,0
3,1,11:11.0,,B. Brown makes 2-pt layup from 3 ft (assist by A. Drummond),3,2
4,1,10:48.0,D. Ayton misses 2-pt layup from 3 ft,,3,2
5,1,10:45.0,,Defensive rebound by S. Doumbouya,3,2
6,1,10:38.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by S. Doumbouya),3,5
7,1,10:25.0,Turnover by D. Booker (bad pass; steal by A. Drummond),,3,5
8,1,10:12.0,,T. Snell misses 2-pt layup from 8 ft,3,5
9,1,10:09.0,Defensive rebound by K. Oubre,,3,5
10,1,10:03.0,M. Bridges makes 3-pt jump shot from 24 ft (assist by R. Rubio),,6,5
11,1,9:44.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Brown),6,8
12,1,9:36.0,Personal foul by A. Drummond (drawn by R. Rubio),,6,8
13,1,9:31.0,Turnover by M. Bridges (bad pass; steal by B. Brown),,6,8
14,1,9:25.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Brown),6,10
15,1,9:07.0,D. Booker makes 2-pt layup from 2 ft (assist by R. Rubio),,8,10
16,1,8:47.0,,S. Doumbouya makes 3-pt jump shot from 27 ft (assist by B. Brown),8,13
17,1,8:35.0,D. Ayton makes 2-pt jump shot from 7 ft (assist by R. Rubio),,10,13
18,1,8:27.0,,A. Drummond makes 2-pt layup from 3 ft (assist by R. Jackson),10,15
19,1,8:27.0,Phoenix full timeout,,10,15
20,1,8:16.0,M. Bridges misses 3-pt jump shot from 26 ft,,10,15
21,1,8:14.0,Offensive rebound by M. Bridges,,10,15
22,1,8:06.0,D. Ayton makes 2-pt layup from 3 ft (assist by R. Rubio),,12,15
23,1,7:44.0,,R. Jackson misses 2-pt layup from 2 ft,12,15
24,1,7:43.0,,Offensive rebound by A. Drummond,12,15
25,1,7:43.0,,A. Drummond misses 2-pt layup from 1 ft,12,15
26,1,7:42.0,,Offensive rebound by A. Drummond,12,15
27,1,7:41.0,,A. Drummond makes 2-pt layup from 2 ft,12,17
28,1,7:23.0,D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker),,14,17
29,1,7:23.0,Shooting foul by S. Doumbouya (drawn by D. Ayton),,14,17
30,1,7:23.0,D. Ayton makes free throw 1 of 1,,15,17
31,1,7:00.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),15,19
32,1,6:43.0,Turnover by R. Rubio (bad pass; steal by S. Doumbouya),,15,19
33,1,6:37.0,,S. Doumbouya misses 2-pt layup from 1 ft,15,19
34,1,6:34.0,,Offensive rebound by B. Brown,15,19
35,1,6:34.0,,B. Brown makes 2-pt layup from 1 ft,15,21
36,1,6:24.0,D. Ayton makes 2-pt dunk from 3 ft (assist by R. Rubio),,17,21
37,1,6:05.0,,R. Jackson misses 2-pt jump shot from 14 ft,17,21
38,1,6:02.0,Defensive rebound by M. Bridges,,17,21
39,1,5:56.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by M. Bridges),,20,21
40,1,5:50.0,,Turnover by R. Jackson (bad pass),20,21
41,1,5:35.0,R. Rubio misses 2-pt jump shot from 19 ft,,20,21
42,1,5:31.0,,Defensive rebound by T. Snell,20,21
43,1,5:31.0,E. Okobo enters the game for R. Rubio,,20,21
44,1,5:31.0,,L. Galloway enters the game for R. Jackson,20,21
45,1,5:15.0,,T. Snell misses 2-pt jump shot from 5 ft,20,21
46,1,5:11.0,,Offensive rebound by A. Drummond,20,21
47,1,5:11.0,,A. Drummond makes 2-pt dunk from 1 ft,20,23
48,1,4:59.0,Shooting foul by B. Brown (drawn by D. Booker),,20,23
49,1,4:59.0,D. Booker makes free throw 1 of 2,,21,23
50,1,4:59.0,,C. Wood enters the game for S. Doumbouya,21,23
51,1,4:59.0,D. Booker makes free throw 2 of 2,,22,23
52,1,4:43.0,,L. Galloway misses 3-pt jump shot from 26 ft,22,23
53,1,4:40.0,Defensive rebound by D. Ayton,,22,23
54,1,4:30.0,D. Booker makes 2-pt jump shot from 14 ft,,24,23
55,1,4:12.0,,A. Drummond makes 2-pt jump shot from 7 ft (assist by B. Brown),24,25
56,1,4:03.0,K. Oubre misses 2-pt layup from 7 ft (block by L. Galloway),,24,25
57,1,4:01.0,,Defensive rebound by Team,24,25
58,1,3:47.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by T. Snell),24,27
59,1,3:25.0,D. Booker makes 2-pt jump shot from 12 ft,,26,27
60,1,3:03.0,,T. Snell misses 2-pt jump shot from 15 ft,26,27
61,1,3:02.0,,Offensive rebound by A. Drummond,26,27
62,1,2:55.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by A. Drummond),26,30
