,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PORTLAND_ACTION,CHARLOTTE_SCORE,PORTLAND_SCORE
0,1,11:43.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by C. Anthony),0,3
1,1,11:19.0,M. Bridges misses 2-pt layup from 1 ft (block by H. Whiteside),,0,3
2,1,11:16.0,,Defensive rebound by H. Whiteside,0,3
3,1,10:58.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by C. Anthony),0,5
4,1,10:46.0,T. Rozier misses 2-pt layup from 2 ft,,0,5
5,1,10:43.0,,Defensive rebound by H. Whiteside,0,5
6,1,10:28.0,,C. McCollum misses 3-pt jump shot from 25 ft,0,5
7,1,10:26.0,Defensive rebound by T. Rozier,,0,5
8,1,10:08.0,P. Washington misses 2-pt hook shot from 6 ft,,0,5
9,1,10:07.0,Offensive rebound by C. Zeller,,0,5
10,1,10:05.0,C. Zeller misses 2-pt hook shot from 3 ft,,0,5
11,1,10:01.0,Offensive rebound by P. Washington,,0,5
12,1,10:01.0,P. Washington makes 2-pt dunk at rim,,2,5
13,1,9:41.0,,Shooting foul by M. Bridges (drawn by H. Whiteside),2,5
14,1,9:41.0,,H. Whiteside makes free throw 1 of 2,2,6
15,1,9:41.0,,H. Whiteside makes free throw 2 of 2,2,7
16,1,9:22.0,D. Graham makes 3-pt jump shot from 27 ft (assist by P. Washington),,5,7
17,1,9:06.0,,D. Lillard misses 3-pt jump shot from 34 ft,5,7
18,1,9:04.0,Defensive rebound by P. Washington,,5,7
19,1,8:57.0,M. Bridges misses 2-pt layup from 1 ft (block by H. Whiteside),,5,7
20,1,8:55.0,,Defensive rebound by C. Anthony,5,7
21,1,8:48.0,,C. Anthony misses 2-pt jump shot from 8 ft,5,7
22,1,8:44.0,Defensive rebound by C. Zeller,,5,7
23,1,8:39.0,P. Washington misses 2-pt layup from 2 ft,,5,7
24,1,8:38.0,,Defensive rebound by H. Whiteside,5,7
25,1,8:21.0,,Turnover by C. Anthony (bad pass; steal by C. Zeller),5,7
26,1,8:07.0,D. Graham makes 2-pt jump shot from 9 ft,,7,7
27,1,7:44.0,,Personal foul by M. Bridges (drawn by K. Bazemore),7,7
28,1,7:44.0,N. Batum enters the game for M. Bridges,,7,7
29,1,7:41.0,,H. Whiteside misses 3-pt jump shot from 25 ft,7,7
30,1,7:39.0,Defensive rebound by T. Rozier,,7,7
31,1,7:30.0,T. Rozier misses 2-pt jump shot from 13 ft,,7,7
32,1,7:27.0,,Defensive rebound by H. Whiteside,7,7
33,1,7:20.0,,D. Lillard makes 2-pt layup from 1 ft,7,9
34,1,7:08.0,D. Graham misses 2-pt jump shot from 17 ft,,7,9
35,1,7:04.0,,Defensive rebound by H. Whiteside,7,9
36,1,7:00.0,,Turnover by D. Lillard (bad pass; steal by D. Graham),7,9
37,1,6:55.0,Shooting foul by K. Bazemore (drawn by P. Washington),,7,9
38,1,6:55.0,,Portland full timeout,7,9
39,1,6:55.0,W. Hernangómez enters the game for C. Zeller,,7,9
40,1,6:55.0,P. Washington makes free throw 1 of 2,,8,9
41,1,6:55.0,P. Washington makes free throw 2 of 2,,9,9
42,1,6:45.0,,C. McCollum makes 2-pt jump shot from 12 ft (assist by D. Lillard),9,11
43,1,6:32.0,Offensive foul by P. Washington (drawn by D. Lillard),,9,11
44,1,6:32.0,Turnover by P. Washington (offensive foul),,9,11
45,1,6:20.0,,C. McCollum makes 2-pt jump shot from 20 ft (assist by D. Lillard),9,13
46,1,6:02.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by D. Graham),,11,13
47,1,5:47.0,,C. Anthony makes 2-pt jump shot from 8 ft,11,15
48,1,5:30.0,P. Washington makes 2-pt jump shot from 16 ft (assist by D. Graham),,13,15
49,1,5:05.0,,C. McCollum misses 2-pt layup from 3 ft (block by W. Hernangómez),13,15
50,1,5:03.0,Defensive rebound by P. Washington,,13,15
51,1,4:52.0,P. Washington misses 3-pt jump shot from 24 ft,,13,15
52,1,4:50.0,,Defensive rebound by C. Anthony,13,15
53,1,4:47.0,,Personal foul by P. Washington (drawn by D. Lillard),13,15
54,1,4:47.0,D. Bacon enters the game for T. Rozier,,13,15
55,1,4:47.0,M. Williams enters the game for P. Washington,,13,15
56,1,4:47.0,,N. Little enters the game for C. Anthony,13,15
57,1,4:47.0,,A. Simons enters the game for C. McCollum,13,15
58,1,4:37.0,,Turnover by N. Little (step out of bounds),13,15
59,1,4:28.0,Offensive foul by W. Hernangómez (drawn by K. Bazemore),,13,15
60,1,4:28.0,Turnover by W. Hernangómez (offensive foul),,13,15
61,1,4:17.0,,Turnover by A. Simons (bad pass; steal by M. Williams),13,15
62,1,4:12.0,Shooting foul by A. Simons (drawn by W. Hernangómez),,13,15
63,1,4:12.0,W. Hernangómez misses free throw 1 of 2,,13,15
64,1,4:12.0,Offensive rebound by Team,,13,15
65,1,4:12.0,W. Hernangómez misses free throw 2 of 2,,13,15
66,1,4:09.0,,Defensive rebound by K. Bazemore,13,15
67,1,4:00.0,,A. Simons makes 3-pt jump shot from 23 ft (assist by D. Lillard),13,18
68,1,3:50.0,Offensive foul by W. Hernangómez (drawn by K. Bazemore),,13,18
69,1,3:50.0,Turnover by W. Hernangómez (offensive foul),,13,18
70,1,3:50.0,,G. Trent enters the game for K. Bazemore,13,18
71,1,3:32.0,,H. Whiteside misses 2-pt hook shot from 4 ft,13,18
72,1,3:31.0,Defensive rebound by N. Batum,,13,18
73,1,3:25.0,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),,16,18
74,1,3:08.0,,Turnover by D. Lillard (bad pass),16,18
75,1,3:08.0,Charlotte full timeout,,16,18
76,1,3:08.0,,A. Tolliver enters the game for H. Whiteside,16,18
77,1,3:00.0,Personal foul by N. Little (drawn by M. Williams),,16,18
78,1,2:47.0,M. Williams misses 2-pt hook shot from 4 ft,,16,18
79,1,2:45.0,,Defensive rebound by A. Tolliver,16,18
80,1,2:28.0,,Turnover by D. Lillard (bad pass; steal by N. Batum),16,18
81,1,2:19.0,D. Graham makes 3-pt jump shot from 25 ft (assist by D. Bacon),,19,18
82,1,1:58.0,,G. Trent misses 3-pt jump shot from 25 ft,19,18
83,1,1:55.0,Defensive rebound by D. Graham,,19,18
84,1,1:47.0,D. Bacon makes 2-pt layup from 1 ft,,21,18
85,1,1:47.0,Shooting foul by A. Simons (drawn by D. Bacon),,21,18
86,1,1:47.0,T. Rozier enters the game for D. Graham,,21,18
87,1,1:47.0,D. Bacon makes free throw 1 of 1,,22,18
88,1,1:31.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Tolliver),22,21
89,1,1:13.0,T. Rozier misses 2-pt layup from 1 ft,,22,21
90,1,1:11.0,Offensive rebound by W. Hernangómez,,22,21
91,1,1:11.0,W. Hernangómez makes 2-pt layup from 2 ft,,24,21
92,1,0:54.0,,A. Simons makes 2-pt layup from 2 ft,24,23
93,1,0:49.0,D. Bacon misses 2-pt layup from 2 ft,,24,23
94,1,0:49.0,,Defensive rebound by Team,24,23
95,1,0:35.0,,Shooting foul by T. Rozier (drawn by D. Lillard),24,23
96,1,0:35.0,,D. Lillard makes free throw 1 of 2,24,24
97,1,0:35.0,,D. Lillard makes free throw 2 of 2,24,25
98,1,0:15.0,W. Hernangómez makes 2-pt jump shot from 11 ft (assist by T. Rozier),,26,25
99,1,0:03.0,,G. Trent misses 3-pt jump shot from 25 ft,26,25
100,1,0:00.0,,Offensive rebound by Team,26,25
101,2,11:34.0,M. Williams misses 2-pt jump shot from 7 ft,,26,25
102,2,11:32.0,,Defensive rebound by A. Tolliver,26,25
103,2,11:15.0,,A. Simons misses 2-pt layup from 2 ft (block by P. Washington),26,25
104,2,11:13.0,Defensive rebound by P. Washington,,26,25
105,2,11:09.0,D. Bacon misses 3-pt jump shot from 24 ft,,26,25
106,2,11:07.0,,Defensive rebound by G. Trent,26,25
107,2,10:56.0,,C. Anthony makes 2-pt layup from 1 ft,26,27
108,2,10:39.0,T. Rozier makes 2-pt jump shot from 20 ft,,28,27
109,2,10:21.0,,C. McCollum misses 2-pt jump shot from 13 ft,28,27
110,2,10:19.0,Defensive rebound by T. Rozier,,28,27
111,2,10:13.0,T. Rozier makes 2-pt layup from 1 ft,,30,27
112,2,9:55.0,,C. Anthony misses 2-pt jump shot from 15 ft,30,27
113,2,9:53.0,,Offensive rebound by A. Tolliver,30,27
114,2,9:45.0,,Offensive foul by C. Anthony (drawn by T. Rozier),30,27
115,2,9:45.0,,Turnover by C. Anthony (offensive foul),30,27
116,2,9:45.0,M. Bridges enters the game for M. Williams,,30,27
117,2,9:30.0,P. Washington misses 2-pt layup from 1 ft,,30,27
118,2,9:28.0,,Defensive rebound by C. Anthony,30,27
119,2,9:25.0,,C. McCollum makes 3-pt jump shot from 27 ft (assist by C. Anthony),30,30
120,2,9:15.0,T. Rozier misses 3-pt jump shot from 24 ft,,30,30
121,2,9:11.0,Offensive rebound by M. Monk,,30,30
122,2,9:05.0,D. Bacon misses 2-pt layup from 3 ft,,30,30
