,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:44.0,,P. Siakam makes 2-pt hook shot from 3 ft (assist by F. VanVleet),0,2
1,1,11:44.0,,Shooting foul by D. Hunter (drawn by P. Siakam),0,2
2,1,11:44.0,,P. Siakam misses free throw 1 of 1,0,2
3,1,11:42.0,Defensive rebound by D. Hunter,,0,2
4,1,11:31.0,T. Young misses 3-pt jump shot from 26 ft (block by O. Anunoby),,0,2
5,1,11:28.0,,Defensive rebound by P. Siakam,0,2
6,1,11:17.0,,Personal foul by K. Huerter (drawn by K. Lowry),0,2
7,1,11:14.0,,M. Gasol misses 2-pt layup from 1 ft,0,2
8,1,11:12.0,Defensive rebound by J. Collins,,0,2
9,1,11:03.0,J. Collins makes 2-pt jump shot from 16 ft (assist by D. Hunter),,2,2
10,1,10:53.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by F. VanVleet),2,5
11,1,10:41.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Young),,4,5
12,1,10:24.0,,Personal foul by C. Reddish (drawn by M. Gasol),4,5
13,1,10:09.0,,F. VanVleet makes 2-pt jump shot from 14 ft,4,7
14,1,9:58.0,C. Reddish misses 3-pt jump shot from 22 ft,,4,7
15,1,9:55.0,,Defensive rebound by P. Siakam,4,7
16,1,9:51.0,,F. VanVleet misses 3-pt jump shot from 24 ft,4,7
17,1,9:48.0,Defensive rebound by J. Collins,,4,7
18,1,9:40.0,T. Young misses 2-pt layup from 3 ft (block by M. Gasol),,4,7
19,1,9:38.0,,Defensive rebound by P. Siakam,4,7
20,1,9:34.0,,F. VanVleet misses 3-pt jump shot from 25 ft,4,7
21,1,9:31.0,,Offensive rebound by O. Anunoby,4,7
22,1,9:27.0,,O. Anunoby makes 2-pt layup from 1 ft,4,9
23,1,9:10.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by T. Young),,7,9
24,1,8:53.0,,O. Anunoby misses 3-pt jump shot from 23 ft,7,9
25,1,8:50.0,Defensive rebound by J. Collins,,7,9
26,1,8:46.0,K. Huerter misses 3-pt jump shot from 27 ft,,7,9
27,1,8:42.0,,Defensive rebound by P. Siakam,7,9
28,1,8:33.0,,P. Siakam makes 2-pt jump shot from 5 ft,7,11
29,1,8:22.0,Personal foul by O. Anunoby (drawn by T. Young),,7,11
30,1,8:16.0,Turnover by J. Collins (out of bounds lost ball),,7,11
31,1,8:08.0,,P. Siakam misses 2-pt jump shot from 21 ft,7,11
32,1,8:04.0,Defensive rebound by J. Collins,,7,11
