,QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
115,2,11:45.0,,Personal foul by J. Holiday (drawn by M. Porter),15,21
116,2,11:42.0,,M. Beasley misses 2-pt jump shot from 10 ft,15,21
117,2,11:36.0,,Offensive rebound by M. Plumlee,15,21
118,2,11:36.0,,M. Plumlee misses 2-pt layup from 1 ft,15,21
119,2,11:35.0,Defensive rebound by T. McConnell,,15,21
120,2,11:25.0,J. Holiday misses 3-pt jump shot from 23 ft,,15,21
121,2,11:21.0,,Defensive rebound by M. Porter,15,21
122,2,11:12.0,,P. Dozier makes 2-pt jump shot from 10 ft (assist by M. Plumlee),15,23
123,2,11:00.0,Personal foul by M. Plumlee (drawn by D. Sabonis),,15,23
124,2,10:51.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,18,23
125,2,10:33.0,,M. Beasley misses 2-pt layup from 6 ft (block by A. Holiday),18,23
126,2,10:33.0,,Offensive rebound by Team,18,23
127,2,10:31.0,,Shooting foul by T. McConnell (drawn by M. Porter),18,23
128,2,10:31.0,,M. Porter makes free throw 1 of 2,18,24
129,2,10:31.0,,M. Porter makes free throw 2 of 2,18,25
130,2,10:23.0,Personal foul by J. Hernangómez (drawn by D. McDermott),,18,25
131,2,10:09.0,J. Holiday misses 3-pt jump shot from 25 ft,,18,25
132,2,10:05.0,,Defensive rebound by P. Dozier,18,25
133,2,10:02.0,,Personal foul by D. McDermott (drawn by J. Hernangómez),18,25
134,2,9:46.0,,M. Plumlee makes 2-pt layup from 2 ft,18,27
135,2,9:38.0,Offensive foul by D. Sabonis (drawn by M. Plumlee),,18,27
136,2,9:38.0,Turnover by D. Sabonis (offensive foul),,18,27
137,2,9:23.0,,M. Porter misses 2-pt layup from 4 ft (block by J. Holiday),18,27
138,2,9:23.0,,Offensive rebound by Team,18,27
139,2,9:18.0,,J. Hernangómez misses 3-pt jump shot from 27 ft,18,27
140,2,9:14.0,Defensive rebound by T. McConnell,,18,27
141,2,9:10.0,J. Holiday makes 2-pt dunk from 2 ft (assist by T. McConnell),,20,27
142,2,8:57.0,,P. Dozier makes 2-pt jump shot from 15 ft,20,29
143,2,8:44.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by T. McConnell),,23,29
144,2,8:42.0,,Denver full timeout,23,29
145,2,8:35.0,,M. Beasley misses 3-pt jump shot from 25 ft,23,29
146,2,8:32.0,Defensive rebound by J. Holiday,,23,29
147,2,8:15.0,Turnover by A. Holiday (bad pass; steal by J. Hernangómez),,23,29
148,2,8:05.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Beasley),23,31
149,2,7:42.0,J. Holiday misses 3-pt jump shot from 23 ft,,23,31
150,2,7:40.0,Offensive rebound by D. Sabonis,,23,31
151,2,7:40.0,D. Sabonis makes 2-pt layup from 4 ft,,25,31
152,2,7:40.0,Shooting foul by M. Beasley (drawn by D. Sabonis),,25,31
153,2,7:40.0,D. Sabonis misses free throw 1 of 1,,25,31
154,2,7:37.0,,Defensive rebound by M. Porter,25,31
155,2,7:23.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by P. Dozier),25,33
156,2,7:08.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,28,33
157,2,6:54.0,,M. Beasley makes 2-pt layup from 3 ft (assist by M. Plumlee),28,35
158,2,6:47.0,Indiana full timeout,,28,35
159,2,6:47.0,M. Brogdon enters the game for A. Holiday,,28,35
160,2,6:47.0,J. Lamb enters the game for T. McConnell,,28,35
161,2,6:47.0,,J. Grant enters the game for P. Dozier,28,35
162,2,6:47.0,,N. Jokić enters the game for J. Hernangómez,28,35
163,2,6:47.0,,M. Morris enters the game for M. Plumlee,28,35
164,2,6:33.0,Shooting foul by M. Porter (drawn by D. Sabonis),,28,35
165,2,6:33.0,D. Sabonis makes free throw 1 of 2,,29,35
166,2,6:33.0,D. Sabonis misses free throw 2 of 2,,29,35
167,2,6:31.0,,Defensive rebound by J. Grant,29,35
168,2,6:20.0,,M. Beasley misses 3-pt jump shot from 26 ft,29,35
169,2,6:17.0,Defensive rebound by D. Sabonis,,29,35
170,2,6:12.0,Personal foul by J. Grant (drawn by J. Holiday),,29,35
171,2,6:12.0,J. Holiday makes free throw 1 of 2,,30,35
172,2,6:12.0,J. Holiday misses free throw 2 of 2,,30,35
173,2,6:09.0,,Defensive rebound by N. Jokić,30,35
174,2,5:57.0,,M. Porter misses 3-pt jump shot from 25 ft,30,35
175,2,5:55.0,,Offensive rebound by Team,30,35
176,2,5:55.0,Loose ball foul by D. McDermott (drawn by J. Grant),,30,35
177,2,5:55.0,T. Warren enters the game for J. Holiday,,30,35
178,2,5:55.0,,W. Barton enters the game for M. Beasley,30,35
179,2,5:55.0,,T. Craig enters the game for M. Porter,30,35
180,2,5:41.0,,J. Grant makes 2-pt dunk from 1 ft,30,37
181,2,5:24.0,M. Brogdon makes 2-pt layup from 2 ft,,32,37
182,2,5:13.0,,Turnover by J. Grant (traveling),32,37
183,2,5:13.0,M. Turner enters the game for D. McDermott,,32,37
184,2,4:50.0,M. Brogdon misses 2-pt layup from 4 ft (block by T. Craig),,32,37
185,2,4:50.0,Offensive rebound by Team,,32,37
186,2,4:48.0,M. Brogdon misses 2-pt jump shot from 16 ft,,32,37
187,2,4:44.0,,Defensive rebound by N. Jokić,32,37
188,2,4:36.0,,J. Grant misses 3-pt jump shot from 26 ft,32,37
189,2,4:33.0,Defensive rebound by M. Brogdon,,32,37
190,2,4:22.0,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,35,37
191,2,3:57.0,,Shooting foul by M. Turner (drawn by N. Jokić),35,37
192,2,3:57.0,,N. Jokić makes free throw 1 of 2,35,38
193,2,3:57.0,,N. Jokić makes free throw 2 of 2,35,39
194,2,3:34.0,J. Lamb misses 2-pt jump shot from 17 ft,,35,39
195,2,3:33.0,Offensive rebound by M. Turner,,35,39
196,2,3:27.0,D. Sabonis makes 2-pt jump shot from 18 ft (assist by M. Brogdon),,37,39
197,2,3:03.0,,N. Jokić makes 2-pt dunk from 1 ft (assist by M. Morris),37,41
198,2,2:49.0,M. Brogdon makes 3-pt jump shot from 26 ft,,40,41
199,2,2:24.0,,Shooting foul by D. Sabonis (drawn by N. Jokić),40,41
200,2,2:24.0,,N. Jokić misses free throw 1 of 2,40,41
201,2,2:24.0,,Offensive rebound by Team,40,41
202,2,2:24.0,,N. Jokić makes free throw 2 of 2,40,42
203,2,2:09.0,T. Warren misses 2-pt jump shot from 12 ft,,40,42
204,2,2:06.0,,Defensive rebound by W. Barton,40,42
205,2,1:58.0,,Turnover by W. Barton (out of bounds lost ball),40,42
206,2,1:58.0,J. Holiday enters the game for D. Sabonis,,40,42
207,2,1:44.0,T. Warren misses 3-pt jump shot from 24 ft,,40,42
208,2,1:41.0,,Defensive rebound by M. Morris,40,42
209,2,1:37.0,,M. Morris misses 2-pt jump shot from 19 ft,40,42
210,2,1:34.0,,Offensive rebound by J. Grant,40,42
211,2,1:33.0,,J. Grant makes 2-pt layup from 1 ft,40,44
