,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MILWAUKEE_ACTION,PHOENIX_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by W. Matthews),0,2
1,1,11:24.0,D. Booker misses 3-pt jump shot from 27 ft,,0,2
2,1,11:20.0,,Defensive rebound by G. Antetokounmpo,0,2
3,1,11:17.0,,Shooting foul by D. Ayton (drawn by G. Antetokounmpo),0,2
4,1,11:17.0,,G. Antetokounmpo makes free throw 1 of 2,0,3
5,1,11:17.0,,G. Antetokounmpo makes free throw 2 of 2,0,4
6,1,11:07.0,E. Okobo makes 2-pt jump shot from 13 ft,,2,4
7,1,10:57.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,2,4
8,1,10:57.0,Defensive rebound by Team,,2,4
9,1,10:43.0,Turnover by E. Okobo (traveling),,2,4
10,1,10:32.0,,B. Lopez makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),2,6
11,1,10:10.0,K. Oubre makes 2-pt jump shot from 11 ft,,4,6
12,1,10:00.0,,B. Lopez misses 3-pt jump shot from 28 ft,4,6
13,1,9:57.0,Defensive rebound by D. Booker,,4,6
14,1,9:50.0,K. Oubre misses 2-pt jump shot from 11 ft,,4,6
15,1,9:49.0,Offensive rebound by K. Oubre,,4,6
16,1,9:45.0,M. Bridges misses 2-pt jump shot from 10 ft,,4,6
17,1,9:41.0,,Defensive rebound by E. Bledsoe,4,6
18,1,9:28.0,,K. Middleton makes 2-pt jump shot from 12 ft,4,8
19,1,9:17.0,D. Booker misses 2-pt jump shot from 15 ft,,4,8
20,1,9:15.0,Offensive rebound by D. Ayton,,4,8
21,1,9:15.0,D. Ayton misses 2-pt layup at rim,,4,8
22,1,9:14.0,Offensive rebound by D. Ayton,,4,8
23,1,9:13.0,D. Ayton misses 2-pt layup from 3 ft (block by E. Bledsoe),,4,8
24,1,9:11.0,,Defensive rebound by G. Antetokounmpo,4,8
25,1,9:00.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),4,11
26,1,8:47.0,D. Booker makes 2-pt jump shot from 17 ft (assist by E. Okobo),,6,11
27,1,8:37.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,6,13
28,1,8:17.0,D. Ayton misses 2-pt layup from 3 ft,,6,13
29,1,8:14.0,,Defensive rebound by G. Antetokounmpo,6,13
30,1,8:04.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,6,13
31,1,8:01.0,Defensive rebound by M. Bridges,,6,13
32,1,7:54.0,D. Ayton misses 2-pt layup from 2 ft (block by B. Lopez),,6,13
33,1,7:50.0,Offensive rebound by K. Oubre,,6,13
34,1,7:50.0,K. Oubre makes 2-pt layup from 4 ft,,8,13
35,1,7:36.0,,K. Middleton misses 2-pt jump shot from 20 ft,8,13
36,1,7:32.0,,Offensive rebound by G. Antetokounmpo,8,13
37,1,7:32.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,8,13
38,1,7:32.0,,Offensive rebound by G. Antetokounmpo,8,13
39,1,7:31.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,8,13
40,1,7:30.0,Defensive rebound by D. Ayton,,8,13
41,1,7:20.0,D. Booker makes 2-pt jump shot from 10 ft,,10,13
42,1,7:20.0,,Milwaukee full timeout,10,13
43,1,7:05.0,,Turnover by W. Matthews (bad pass),10,13
44,1,6:52.0,K. Oubre misses 2-pt jump shot from 5 ft (block by B. Lopez),,10,13
45,1,6:52.0,Offensive rebound by Team,,10,13
46,1,6:45.0,E. Okobo misses 2-pt jump shot from 14 ft,,10,13
47,1,6:42.0,,Defensive rebound by G. Antetokounmpo,10,13
48,1,6:33.0,,Shooting foul by M. Bridges (drawn by B. Lopez),10,13
49,1,6:33.0,,B. Lopez makes free throw 1 of 2,10,14
50,1,6:33.0,,E. İlyasova enters the game for G. Antetokounmpo,10,14
51,1,6:33.0,,B. Lopez makes free throw 2 of 2,10,15
52,1,6:13.0,M. Bridges misses 3-pt jump shot from 24 ft,,10,15
53,1,6:10.0,,Defensive rebound by K. Middleton,10,15
54,1,6:08.0,,E. İlyasova misses 2-pt layup from 3 ft,10,15
55,1,6:05.0,Defensive rebound by K. Oubre,,10,15
56,1,6:00.0,K. Oubre misses 2-pt jump shot from 8 ft,,10,15
57,1,5:59.0,Offensive rebound by K. Oubre,,10,15
58,1,5:59.0,Personal foul by B. Lopez (drawn by K. Oubre),,10,15
59,1,5:59.0,J. Carter enters the game for E. Okobo,,10,15
60,1,5:59.0,,D. DiVincenzo enters the game for W. Matthews,10,15
61,1,5:52.0,Personal foul by E. İlyasova (drawn by D. Ayton),,10,15
62,1,5:44.0,D. Ayton misses 2-pt jump shot from 13 ft,,10,15
63,1,5:42.0,,Defensive rebound by K. Middleton,10,15
64,1,5:37.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,10,18
65,1,5:30.0,Personal foul by E. İlyasova (drawn by M. Bridges),,10,18
66,1,5:26.0,D. Booker makes 3-pt jump shot from 26 ft (assist by K. Oubre),,13,18
67,1,5:02.0,,Turnover by D. DiVincenzo (lost ball; steal by D. Ayton),13,18
68,1,4:57.0,D. Booker misses 3-pt jump shot from 27 ft,,13,18
69,1,4:55.0,Offensive rebound by K. Oubre,,13,18
70,1,4:48.0,D. Ayton makes 2-pt layup at rim (assist by D. Booker),,15,18
71,1,4:28.0,,E. Bledsoe misses 2-pt layup from 3 ft,15,18
72,1,4:26.0,,Offensive rebound by B. Lopez,15,18
73,1,4:26.0,,B. Lopez makes 2-pt layup from 1 ft,15,20
74,1,4:26.0,Phoenix full timeout,,15,20
75,1,4:26.0,,P. Connaughton enters the game for E. Bledsoe,15,20
76,1,4:26.0,,K. Korver enters the game for B. Lopez,15,20
77,1,4:26.0,,R. Lopez enters the game for K. Middleton,15,20
78,1,4:15.0,Personal foul by K. Korver (drawn by D. Ayton),,15,20
79,1,4:15.0,C. Diallo enters the game for D. Ayton,,15,20
80,1,4:15.0,T. Johnson enters the game for K. Oubre,,15,20
81,1,4:12.0,Personal foul by D. DiVincenzo (drawn by D. Booker),,15,20
82,1,4:12.0,D. Booker makes free throw 1 of 2,,16,20
83,1,4:12.0,D. Booker misses free throw 2 of 2,,16,20
84,1,4:09.0,,Defensive rebound by E. İlyasova,16,20
85,1,3:55.0,,D. DiVincenzo misses 3-pt jump shot from 27 ft,16,20
86,1,3:55.0,,Offensive rebound by Team,16,20
87,1,3:55.0,Loose ball foul by J. Carter (drawn by R. Lopez),,16,20
88,1,3:47.0,,E. İlyasova misses 2-pt layup from 2 ft,16,20
89,1,3:44.0,,Offensive rebound by E. İlyasova,16,20
90,1,3:44.0,,E. İlyasova misses 2-pt layup from 1 ft,16,20
91,1,3:44.0,Defensive rebound by M. Bridges,,16,20
92,1,3:41.0,C. Diallo makes 2-pt layup from 2 ft (assist by J. Carter),,18,20
93,1,3:27.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by P. Connaughton),18,23
94,1,3:09.0,J. Carter makes 3-pt jump shot from 28 ft (assist by D. Booker),,21,23
95,1,2:53.0,,Turnover by E. İlyasova (bad pass; steal by J. Carter),21,23
96,1,2:45.0,T. Johnson misses 3-pt jump shot from 28 ft,,21,23
97,1,2:43.0,,Defensive rebound by R. Lopez,21,23
98,1,2:33.0,,E. İlyasova misses 2-pt jump shot from 14 ft,21,23
99,1,2:30.0,,Offensive rebound by R. Lopez,21,23
100,1,2:25.0,,D. DiVincenzo makes 2-pt layup from 2 ft (assist by K. Korver),21,25
101,1,2:13.0,Personal foul by D. DiVincenzo (drawn by M. Bridges),,21,25
102,1,2:13.0,M. Bridges makes free throw 1 of 2,,22,25
103,1,2:13.0,D. Ayton enters the game for D. Booker,,22,25
104,1,2:13.0,K. Oubre enters the game for C. Diallo,,22,25
105,1,2:13.0,,G. Antetokounmpo enters the game for E. İlyasova,22,25
106,1,2:13.0,M. Bridges misses free throw 2 of 2,,22,25
107,1,2:10.0,,Defensive rebound by G. Antetokounmpo,22,25
108,1,1:58.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by D. DiVincenzo),22,27
109,1,1:35.0,M. Bridges makes 2-pt layup from 2 ft (assist by D. Ayton),,24,27
110,1,1:23.0,,D. DiVincenzo misses 3-pt jump shot from 28 ft,24,27
111,1,1:20.0,Defensive rebound by D. Ayton,,24,27
112,1,1:12.0,D. Ayton misses 2-pt jump shot from 16 ft,,24,27
113,1,1:09.0,,Defensive rebound by R. Lopez,24,27
114,1,1:03.0,,P. Connaughton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),24,29
115,1,0:46.0,D. Ayton misses 2-pt jump shot from 13 ft,,24,29
116,1,0:43.0,,Defensive rebound by D. DiVincenzo,24,29
117,1,0:38.0,,Personal foul by T. Johnson (drawn by G. Antetokounmpo),24,29
118,1,0:38.0,C. Diallo enters the game for M. Bridges,,24,29
119,1,0:33.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,24,29
120,1,0:30.0,Defensive rebound by T. Johnson,,24,29
121,1,0:13.0,D. Ayton misses 2-pt layup from 6 ft,,24,29
