,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW ORLEANS_ACTION,TORONTO_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,P. Siakam makes 2-pt jump shot from 8 ft,,2,0
1,1,11:31.0,,Shooting foul by M. Gasol (drawn by N. Melli),2,0
2,1,11:31.0,,N. Melli makes free throw 1 of 2,2,1
3,1,11:31.0,,N. Melli makes free throw 2 of 2,2,2
4,1,11:16.0,Turnover by K. Lowry (bad pass; steal by L. Ball),,2,2
5,1,11:11.0,,Turnover by J. Holiday (traveling),2,2
6,1,10:59.0,Personal foul by N. Melli (drawn by O. Anunoby),,2,2
7,1,10:46.0,F. VanVleet misses 2-pt layup from 3 ft (block by J. Okafor),,2,2
8,1,10:43.0,,Defensive rebound by L. Ball,2,2
9,1,10:39.0,,B. Ingram makes 2-pt layup from 2 ft,2,4
10,1,10:33.0,F. VanVleet misses 3-pt jump shot from 26 ft,,2,4
11,1,10:33.0,,Defensive rebound by J. Holiday,2,4
12,1,10:26.0,,N. Melli misses 3-pt jump shot from 26 ft,2,4
13,1,10:22.0,Defensive rebound by P. Siakam,,2,4
14,1,10:19.0,P. Siakam makes 2-pt layup from 2 ft,,4,4
15,1,10:19.0,Shooting foul by B. Ingram (drawn by P. Siakam),,4,4
16,1,10:19.0,P. Siakam makes free throw 1 of 1,,5,4
17,1,10:10.0,,L. Ball misses 3-pt jump shot from 25 ft,5,4
18,1,10:05.0,Defensive rebound by O. Anunoby,,5,4
19,1,9:55.0,M. Gasol misses 2-pt layup from 2 ft (block by J. Okafor),,5,4
20,1,9:52.0,,Defensive rebound by J. Okafor,5,4
21,1,9:50.0,,J. Okafor makes 2-pt layup from 2 ft (assist by J. Holiday),5,6
22,1,9:32.0,P. Siakam misses 3-pt jump shot from 26 ft,,5,6
23,1,9:29.0,,Defensive rebound by J. Holiday,5,6
24,1,9:15.0,,B. Ingram misses 3-pt jump shot from 26 ft,5,6
25,1,9:12.0,Defensive rebound by M. Gasol,,5,6
26,1,9:10.0,Turnover by M. Gasol (bad pass; steal by J. Holiday),,5,6
27,1,9:05.0,,N. Melli misses 3-pt jump shot from 26 ft,5,6
28,1,9:02.0,Defensive rebound by P. Siakam,,5,6
29,1,8:49.0,P. Siakam makes 3-pt jump shot from 26 ft (assist by O. Anunoby),,8,6
30,1,8:33.0,,B. Ingram makes 3-pt jump shot from 25 ft (assist by J. Holiday),8,9
31,1,8:33.0,,Shooting foul by O. Anunoby (drawn by B. Ingram),8,9
32,1,8:33.0,,B. Ingram makes free throw 1 of 1,8,10
33,1,8:16.0,M. Gasol misses 2-pt jump shot from 8 ft,,8,10
34,1,8:14.0,,Defensive rebound by B. Ingram,8,10
35,1,8:02.0,,J. Holiday misses 2-pt jump shot from 20 ft,8,10
36,1,7:58.0,Defensive rebound by M. Gasol,,8,10
37,1,7:52.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,11,10
38,1,7:37.0,,Turnover by N. Melli (lost ball; steal by O. Anunoby),11,10
