,QUARTER,TIME_REMAINING,DENVER_ACTION,PHILADELPHIA_ACTION,DENVER_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,W. Barton makes 2-pt jump shot from 17 ft (assist by N. Jokić),,2,0
1,1,11:27.0,,J. Embiid makes 2-pt jump shot from 10 ft (assist by A. Horford),2,2
2,1,11:05.0,G. Harris misses 3-pt jump shot from 25 ft,,2,2
3,1,11:05.0,,Defensive rebound by Team,2,2
4,1,10:50.0,,J. Embiid makes 2-pt jump shot from 16 ft,2,4
5,1,10:27.0,W. Barton makes 2-pt jump shot from 15 ft (assist by N. Jokić),,4,4
6,1,10:12.0,,Personal foul by N. Jokić (drawn by J. Embiid),4,4
7,1,10:00.0,,J. Embiid misses 2-pt jump shot from 15 ft,4,4
8,1,9:57.0,Defensive rebound by J. Murray,,4,4
9,1,9:47.0,P. Millsap misses 3-pt jump shot from 26 ft,,4,4
10,1,9:44.0,,Defensive rebound by B. Simmons,4,4
11,1,9:39.0,,Turnover by A. Horford (bad pass; steal by G. Harris),4,4
12,1,9:34.0,J. Murray misses 3-pt jump shot from 25 ft,,4,4
13,1,9:30.0,,Defensive rebound by B. Simmons,4,4
14,1,9:19.0,,B. Simmons misses 2-pt hook shot from 6 ft,4,4
15,1,9:17.0,Defensive rebound by P. Millsap,,4,4
16,1,9:07.0,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),,6,4
17,1,8:54.0,,J. Richardson misses 2-pt jump shot from 20 ft,6,4
18,1,8:50.0,,Offensive rebound by A. Horford,6,4
19,1,8:48.0,,J. Embiid misses 3-pt jump shot from 25 ft,6,4
20,1,8:45.0,Defensive rebound by N. Jokić,,6,4
21,1,8:33.0,W. Barton makes 3-pt jump shot from 26 ft (assist by G. Harris),,9,4
22,1,8:19.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Embiid),9,6
23,1,8:06.0,W. Barton makes 2-pt jump shot from 9 ft,,11,6
24,1,7:47.0,,A. Horford misses 2-pt jump shot from 12 ft,11,6
25,1,7:44.0,Defensive rebound by G. Harris,,11,6
26,1,7:38.0,Personal foul by T. Harris (drawn by N. Jokić),,11,6
27,1,7:29.0,P. Millsap misses 2-pt layup from 1 ft,,11,6
28,1,7:27.0,,Defensive rebound by A. Horford,11,6
29,1,7:19.0,,J. Richardson misses 2-pt layup from 1 ft (block by W. Barton),11,6
30,1,7:16.0,,Offensive rebound by J. Richardson,11,6
31,1,7:15.0,,J. Richardson misses 2-pt layup from 4 ft,11,6
32,1,7:13.0,Defensive rebound by W. Barton,,11,6
33,1,7:10.0,G. Harris misses 3-pt jump shot from 25 ft,,11,6
34,1,7:06.0,,Defensive rebound by B. Simmons,11,6
35,1,6:51.0,,T. Harris misses 3-pt jump shot from 26 ft,11,6
36,1,6:49.0,,Offensive rebound by B. Simmons,11,6
37,1,6:49.0,,Shooting foul by G. Harris (drawn by T. Harris),11,6
38,1,6:49.0,,Philadelphia full timeout,11,6
39,1,6:49.0,M. Morris enters the game for J. Murray,,11,6
40,1,6:49.0,,J. Ennis enters the game for J. Embiid,11,6
41,1,6:49.0,,M. Thybulle enters the game for J. Richardson,11,6
42,1,6:49.0,,T. Harris makes free throw 1 of 2,11,7
43,1,6:49.0,,T. Harris makes free throw 2 of 2,11,8
44,1,6:35.0,W. Barton misses 3-pt jump shot from 26 ft,,11,8
45,1,6:33.0,Offensive rebound by P. Millsap,,11,8
46,1,6:29.0,Shooting foul by A. Horford (drawn by W. Barton),,11,8
47,1,6:29.0,W. Barton makes free throw 1 of 2,,12,8
48,1,6:29.0,W. Barton makes free throw 2 of 2,,13,8
49,1,6:21.0,,M. Thybulle misses 2-pt layup from 1 ft (block by M. Morris),13,8
50,1,6:17.0,Defensive rebound by G. Harris,,13,8
51,1,6:12.0,Shooting foul by M. Thybulle (drawn by P. Millsap),,13,8
52,1,6:12.0,P. Millsap makes free throw 1 of 2,,14,8
53,1,6:12.0,P. Millsap makes free throw 2 of 2,,15,8
54,1,6:01.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Simmons),15,10
55,1,5:50.0,P. Millsap makes 2-pt layup from 1 ft (assist by W. Barton),,17,10
56,1,5:40.0,,A. Horford misses 3-pt jump shot from 26 ft,17,10
57,1,5:39.0,,Offensive rebound by M. Thybulle,17,10
58,1,5:39.0,,M. Thybulle misses 2-pt dunk at rim,17,10
59,1,5:38.0,Defensive rebound by P. Millsap,,17,10
60,1,5:30.0,W. Barton misses 3-pt jump shot from 26 ft,,17,10
61,1,5:28.0,,Defensive rebound by A. Horford,17,10
62,1,5:19.0,,Turnover by A. Horford (bad pass; steal by P. Millsap),17,10
63,1,5:14.0,G. Harris misses 3-pt jump shot from 25 ft,,17,10
64,1,5:13.0,Offensive rebound by W. Barton,,17,10
65,1,5:13.0,W. Barton misses 2-pt layup from 1 ft,,17,10
66,1,5:12.0,,Defensive rebound by T. Harris,17,10
67,1,4:54.0,,J. Ennis makes 2-pt layup from 2 ft,17,12
68,1,4:32.0,M. Morris misses 2-pt layup from 2 ft,,17,12
69,1,4:30.0,,Defensive rebound by A. Horford,17,12
70,1,4:25.0,,A. Horford misses 3-pt jump shot from 26 ft,17,12
71,1,4:22.0,Defensive rebound by W. Barton,,17,12
72,1,4:11.0,W. Barton misses 3-pt jump shot from 25 ft,,17,12
73,1,4:09.0,Offensive rebound by Team,,17,12
74,1,4:09.0,,Loose ball foul by B. Simmons (drawn by N. Jokić),17,12
75,1,4:09.0,J. Grant enters the game for G. Harris,,17,12
76,1,4:09.0,M. Porter enters the game for P. Millsap,,17,12
77,1,4:09.0,,J. Embiid enters the game for T. Harris,17,12
78,1,4:09.0,,M. Scott enters the game for A. Horford,17,12
79,1,3:54.0,W. Barton makes 2-pt layup at rim (assist by M. Morris),,19,12
80,1,3:37.0,,Personal foul by M. Porter (drawn by B. Simmons),19,12
81,1,3:30.0,,J. Ennis misses 3-pt jump shot from 23 ft,19,12
82,1,3:28.0,,Offensive rebound by J. Embiid,19,12
83,1,3:28.0,,J. Embiid makes 2-pt layup at rim,19,14
84,1,3:16.0,Turnover by M. Morris (lost ball; steal by M. Thybulle),,19,14
85,1,3:12.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by M. Thybulle),19,16
86,1,3:12.0,Denver full timeout,,19,16
87,1,3:12.0,M. Plumlee enters the game for N. Jokić,,19,16
88,1,3:12.0,,F. Korkmaz enters the game for J. Ennis,19,16
89,1,3:12.0,,R. Neto enters the game for B. Simmons,19,16
90,1,3:12.0,,J. Richardson enters the game for M. Thybulle,19,16
91,1,3:00.0,M. Plumlee makes 2-pt dunk at rim (assist by W. Barton),,21,16
92,1,2:42.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by F. Korkmaz),21,19
93,1,2:30.0,Turnover by M. Plumlee (bad pass),,21,19
94,1,2:13.0,,J. Embiid makes 2-pt jump shot from 8 ft,21,21
95,1,1:59.0,M. Porter misses 2-pt jump shot from 15 ft,,21,21
96,1,1:56.0,,Defensive rebound by R. Neto,21,21
97,1,1:40.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Embiid),21,24
98,1,1:30.0,M. Morris makes 2-pt jump shot from 9 ft,,23,24
99,1,1:14.0,,J. Richardson misses 2-pt layup from 2 ft,23,24
100,1,1:11.0,Defensive rebound by M. Morris,,23,24
101,1,0:58.0,Shooting foul by J. Embiid (drawn by M. Porter),,23,24
102,1,0:58.0,M. Porter makes free throw 1 of 2,,24,24
103,1,0:58.0,M. Beasley enters the game for W. Barton,,24,24
104,1,0:58.0,M. Porter makes free throw 2 of 2,,25,24
105,1,0:43.0,,J. Embiid misses 2-pt jump shot from 19 ft,25,24
106,1,0:40.0,Defensive rebound by M. Porter,,25,24
107,1,0:31.0,J. Grant misses 2-pt jump shot from 15 ft,,25,24
108,1,0:28.0,Offensive rebound by M. Porter,,25,24
109,1,0:27.0,M. Porter misses 2-pt layup from 1 ft,,25,24
110,1,0:27.0,,Defensive rebound by J. Embiid,25,24
111,1,0:22.0,,Turnover by J. Embiid (lost ball; steal by M. Plumlee),25,24
112,1,0:21.0,M. Porter makes 2-pt layup from 2 ft (assist by J. Grant),,27,24
113,1,0:06.0,,Personal take foul by M. Morris (drawn by R. Neto),27,24
114,1,0:03.0,,Shooting foul by M. Porter (drawn by J. Embiid),27,24
115,1,0:03.0,,J. Embiid makes free throw 1 of 2,27,25
116,1,0:03.0,,J. Embiid makes free throw 2 of 2,27,26
117,1,0:02.0,Turnover by M. Plumlee (bad pass; steal by J. Richardson),,27,26
118,1,0:00.0,,F. Korkmaz misses 3-pt jump shot from 28 ft,27,26
119,1,0:00.0,,Offensive rebound by Team,27,26
120,2,11:45.0,,T. Harris misses 2-pt jump shot from 16 ft,27,26
121,2,11:41.0,Defensive rebound by M. Plumlee,,27,26
122,2,11:22.0,M. Morris misses 2-pt jump shot from 10 ft,,27,26
123,2,11:20.0,,Defensive rebound by J. Embiid,27,26
124,2,11:12.0,,Turnover by R. Neto (bad pass; steal by J. Grant),27,26
125,2,11:08.0,M. Porter misses 2-pt layup from 3 ft,,27,26
126,2,11:06.0,,Defensive rebound by M. Thybulle,27,26
127,2,11:01.0,,M. Thybulle makes 2-pt dunk at rim (assist by F. Korkmaz),27,28
128,2,10:50.0,M. Plumlee misses 2-pt jump shot from 15 ft,,27,28
129,2,10:46.0,,Defensive rebound by F. Korkmaz,27,28
130,2,10:42.0,,M. Thybulle makes 3-pt jump shot from 23 ft (assist by R. Neto),27,31
131,2,10:42.0,Denver full timeout,,27,31
132,2,10:30.0,Turnover by M. Beasley (out of bounds lost ball),,27,31
133,2,10:16.0,,J. Embiid misses 2-pt layup from 2 ft (block by J. Grant),27,31
134,2,10:16.0,,Offensive rebound by Team,27,31
135,2,10:14.0,,F. Korkmaz makes 3-pt jump shot from 24 ft (assist by R. Neto),27,34
136,2,9:58.0,M. Morris misses 2-pt layup from 2 ft,,27,34
137,2,9:56.0,,Defensive rebound by J. Embiid,27,34
138,2,9:42.0,,J. Embiid misses 2-pt layup from 2 ft (block by M. Morris),27,34
139,2,9:42.0,Defensive rebound by M. Plumlee,,27,34
140,2,9:33.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Grant),,30,34
141,2,9:16.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by J. Embiid),30,37
142,2,9:03.0,J. Grant makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,33,37
143,2,8:46.0,,Shooting foul by M. Plumlee (drawn by J. Embiid),33,37
144,2,8:46.0,,J. Embiid makes free throw 1 of 2,33,38
145,2,8:46.0,W. Barton enters the game for M. Morris,,33,38
146,2,8:46.0,G. Harris enters the game for M. Porter,,33,38
147,2,8:46.0,,B. Simmons enters the game for R. Neto,33,38
148,2,8:46.0,,J. Embiid makes free throw 2 of 2,33,39
149,2,8:31.0,M. Plumlee misses 2-pt hook shot from 6 ft (block by J. Embiid),,33,39
150,2,8:28.0,,Defensive rebound by M. Thybulle,33,39
151,2,8:27.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),33,41
152,2,8:14.0,W. Barton misses 2-pt jump shot from 8 ft,,33,41
153,2,8:14.0,,Defensive rebound by J. Embiid,33,41
154,2,8:08.0,,T. Harris makes 2-pt layup from 1 ft (assist by B. Simmons),33,43
155,2,8:08.0,N. Jokić enters the game for J. Grant,,33,43
156,2,8:08.0,P. Millsap enters the game for M. Plumlee,,33,43
157,2,8:08.0,,A. Horford enters the game for J. Embiid,33,43
158,2,7:45.0,M. Beasley misses 3-pt jump shot from 24 ft,,33,43
159,2,7:43.0,,Defensive rebound by F. Korkmaz,33,43
160,2,7:35.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by B. Simmons),33,46
161,2,7:35.0,Denver full timeout,,33,46
162,2,7:35.0,T. Craig enters the game for M. Beasley,,33,46
163,2,7:17.0,N. Jokić misses 2-pt layup from 2 ft,,33,46
164,2,7:16.0,,Defensive rebound by T. Harris,33,46
165,2,7:16.0,,Technical foul by,33,46
166,2,7:16.0,,T. Harris makes technical free throw,33,47
167,2,7:00.0,,A. Horford misses 3-pt jump shot from 26 ft,33,47
168,2,6:56.0,Defensive rebound by N. Jokić,,33,47
169,2,6:43.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,36,47
170,2,6:22.0,,Shooting foul by G. Harris (drawn by B. Simmons),36,47
171,2,6:22.0,,B. Simmons misses free throw 1 of 2,36,47
172,2,6:22.0,,Offensive rebound by Team,36,47
173,2,6:22.0,,J. Ennis enters the game for F. Korkmaz,36,47
174,2,6:22.0,,B. Simmons makes free throw 2 of 2,36,48
175,2,6:10.0,Turnover by T. Craig (bad pass),,36,48
176,2,5:52.0,,T. Harris misses 2-pt layup from 2 ft (block by N. Jokić),36,48
