,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,I. Bonga misses 2-pt hook shot from 3 ft (block by I. Zubac),0,0
1,1,11:36.0,Defensive rebound by K. Leonard,,0,0
2,1,11:17.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by K. Leonard),,3,0
3,1,11:00.0,,B. Beal misses 2-pt jump shot from 14 ft,3,0
4,1,10:55.0,Defensive rebound by M. Harkless,,3,0
5,1,10:52.0,P. George misses 3-pt jump shot from 26 ft,,3,0
6,1,10:52.0,Offensive rebound by Team,,3,0
7,1,10:46.0,P. George makes 2-pt layup from 3 ft (assist by K. Leonard),,5,0
8,1,10:39.0,,R. Hachimura misses 3-pt jump shot from 23 ft,5,0
9,1,10:37.0,Defensive rebound by P. Beverley,,5,0
10,1,10:30.0,Shooting foul by M. Wagner (drawn by I. Zubac),,5,0
11,1,10:30.0,I. Zubac misses free throw 1 of 2,,5,0
12,1,10:30.0,Offensive rebound by Team,,5,0
13,1,10:30.0,I. Zubac makes free throw 2 of 2,,6,0
14,1,10:16.0,,I. Smith makes 2-pt jump shot from 22 ft (assist by B. Beal),6,2
15,1,10:00.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by P. George),,9,2
16,1,9:47.0,,M. Wagner makes 3-pt jump shot from 25 ft (assist by I. Bonga),9,5
17,1,9:34.0,K. Leonard misses 3-pt jump shot from 27 ft,,9,5
18,1,9:32.0,,Defensive rebound by B. Beal,9,5
19,1,9:29.0,,Turnover by B. Beal (bad pass; steal by K. Leonard),9,5
20,1,9:24.0,P. George makes 3-pt jump shot from 28 ft,,12,5
21,1,9:07.0,,R. Hachimura misses 2-pt jump shot from 10 ft,12,5
22,1,9:05.0,Defensive rebound by P. Beverley,,12,5
23,1,8:59.0,P. George makes 2-pt jump shot from 16 ft,,14,5
24,1,8:58.0,,Washington full timeout,14,5
25,1,8:52.0,Violation by Team (kicked ball),,14,5
26,1,8:43.0,,Turnover by I. Smith (bad pass; steal by P. George),14,5
27,1,8:36.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by I. Zubac),,17,5
28,1,8:19.0,,R. Hachimura misses 2-pt layup from 3 ft,17,5
29,1,8:15.0,Defensive rebound by P. George,,17,5
30,1,8:10.0,Personal foul by I. Bonga (drawn by I. Zubac),,17,5
31,1,8:07.0,Offensive foul by I. Zubac (drawn by I. Bonga),,17,5
32,1,8:07.0,Turnover by I. Zubac (offensive foul),,17,5
33,1,7:45.0,,I. Smith makes 3-pt jump shot from 27 ft,17,8
34,1,7:30.0,P. George misses 3-pt jump shot from 26 ft,,17,8
35,1,7:28.0,,Defensive rebound by I. Smith,17,8
36,1,7:23.0,,M. Wagner makes 3-pt jump shot from 26 ft (assist by I. Smith),17,11
37,1,7:10.0,Def 3 sec tech foul by Team,,17,11
38,1,7:10.0,P. George makes technical free throw,,18,11
39,1,7:04.0,P. George misses 3-pt jump shot from 25 ft,,18,11
40,1,7:01.0,,Defensive rebound by M. Wagner,18,11
41,1,6:56.0,,B. Beal misses 3-pt jump shot from 29 ft,18,11
42,1,6:52.0,Defensive rebound by P. George,,18,11
43,1,6:46.0,P. George makes 2-pt layup from 3 ft,,20,11
44,1,6:34.0,,R. Hachimura misses 2-pt layup from 4 ft,20,11
45,1,6:32.0,,Offensive rebound by M. Wagner,20,11
46,1,6:31.0,,Shooting foul by P. Beverley (drawn by M. Wagner),20,11
47,1,6:31.0,,T. Brown enters the game for I. Bonga,20,11
48,1,6:31.0,,M. Wagner makes free throw 1 of 2,20,12
49,1,6:31.0,,M. Wagner misses free throw 2 of 2,20,12
50,1,6:29.0,Defensive rebound by K. Leonard,,20,12
51,1,6:22.0,P. Beverley misses 3-pt jump shot from 27 ft,,20,12
52,1,6:17.0,,Defensive rebound by M. Wagner,20,12
53,1,6:01.0,,R. Hachimura makes 2-pt dunk from 3 ft (assist by I. Smith),20,14
54,1,5:48.0,K. Leonard misses 2-pt jump shot from 21 ft,,20,14
55,1,5:46.0,,Defensive rebound by M. Wagner,20,14
56,1,5:41.0,,Shooting foul by K. Leonard (drawn by R. Hachimura),20,14
57,1,5:41.0,,R. Hachimura makes free throw 1 of 2,20,15
58,1,5:41.0,,R. Hachimura makes free throw 2 of 2,20,16
59,1,5:30.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by K. Leonard),,23,16
60,1,5:16.0,,Turnover by I. Smith (bad pass; steal by P. George),23,16
61,1,5:10.0,K. Leonard makes 2-pt dunk from 3 ft (assist by P. George),,25,16
62,1,4:43.0,,R. Hachimura misses 2-pt jump shot from 20 ft,25,16
63,1,4:42.0,Defensive rebound by P. Beverley,,25,16
64,1,4:39.0,I. Zubac makes 2-pt dunk from 2 ft (assist by M. Harkless),,27,16
65,1,4:39.0,,Washington full timeout,27,16
66,1,4:39.0,Technical foul by M. Harkless,,27,16
67,1,4:39.0,,Technical foul by S. Brooks,27,16
68,1,4:27.0,,I. Smith makes 3-pt jump shot from 24 ft (assist by T. Brown),27,19
69,1,4:06.0,K. Leonard makes 2-pt jump shot from 21 ft,,29,19
