,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
0,1,11:44.0,N. Bjelica misses 2-pt hook shot from 6 ft,,0,0
1,1,11:40.0,Offensive rebound by N. Bjelica,,0,0
2,1,11:39.0,N. Bjelica makes 2-pt layup from 5 ft,,2,0
3,1,11:25.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by C. McCollum),2,2
4,1,11:25.0,,Shooting foul by N. Bjelica (drawn by H. Whiteside),2,2
5,1,11:25.0,,H. Whiteside misses free throw 1 of 1,2,2
6,1,11:23.0,Defensive rebound by H. Giles,,2,2
7,1,11:12.0,H. Barnes misses 2-pt jump shot from 9 ft,,2,2
8,1,11:10.0,,Defensive rebound by H. Whiteside,2,2
9,1,10:59.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Lillard),2,4
10,1,10:47.0,H. Giles misses 2-pt jump shot from 17 ft,,2,4
11,1,10:45.0,,Defensive rebound by T. Ariza,2,4
12,1,10:36.0,,H. Whiteside misses 2-pt jump shot from 2 ft (block by B. Bogdanović),2,4
13,1,10:33.0,Defensive rebound by B. Bogdanović,,2,4
14,1,10:27.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,5,4
15,1,9:58.0,,Turnover by H. Whiteside (lost ball; steal by B. Bogdanović),5,4
16,1,9:54.0,H. Giles makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,7,4
17,1,9:31.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by C. Anthony),7,7
18,1,9:14.0,D. Fox misses 2-pt jump shot from 19 ft,,7,7
19,1,9:13.0,,Defensive rebound by T. Ariza,7,7
20,1,8:55.0,,C. Anthony misses 3-pt jump shot from 25 ft,7,7
21,1,8:53.0,Defensive rebound by B. Bogdanović,,7,7
22,1,8:51.0,H. Barnes makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),,10,7
23,1,8:37.0,,D. Lillard misses 3-pt jump shot from 31 ft,10,7
24,1,8:35.0,Defensive rebound by H. Giles,,10,7
25,1,8:24.0,N. Bjelica makes 2-pt jump shot from 4 ft (assist by B. Bogdanović),,12,7
26,1,8:14.0,,C. McCollum misses 3-pt jump shot from 25 ft,12,7
27,1,8:12.0,Defensive rebound by D. Fox,,12,7
28,1,8:11.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Fox),,14,7
29,1,8:11.0,,Portland full timeout,14,7
30,1,7:55.0,,C. McCollum misses 3-pt jump shot from 28 ft,14,7
31,1,7:51.0,Defensive rebound by H. Giles,,14,7
32,1,7:38.0,D. Fox makes 2-pt jump shot from 9 ft (assist by B. Bogdanović),,16,7
33,1,7:29.0,,T. Ariza misses 3-pt jump shot from 24 ft,16,7
34,1,7:29.0,Defensive rebound by D. Fox,,16,7
35,1,7:19.0,D. Fox misses 2-pt jump shot from 9 ft,,16,7
36,1,7:17.0,,Defensive rebound by C. Anthony,16,7
