,QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
0,1,11:50.0,J. Brunson makes 2-pt layup from 1 ft (assist by T. Hardaway),,2,0
1,1,11:50.0,Shooting foul by D. Dedmon (drawn by J. Brunson),,2,0
2,1,11:50.0,J. Brunson misses free throw 1 of 1,,2,0
3,1,11:48.0,,Defensive rebound by J. Collins,2,0
4,1,11:48.0,,Personal take foul by J. Brunson (drawn by J. Collins),2,0
5,1,11:48.0,D. Wright enters the game for J. Brunson,,2,0
6,1,11:37.0,,Turnover by K. Huerter (bad pass),2,0
7,1,11:29.0,T. Hardaway makes 2-pt jump shot from 13 ft (assist by M. Kleber),,4,0
8,1,11:18.0,,J. Collins makes 3-pt jump shot from 27 ft (assist by T. Young),4,3
9,1,11:03.0,T. Hardaway misses 3-pt jump shot from 25 ft,,4,3
10,1,11:00.0,,Defensive rebound by T. Young,4,3
11,1,10:51.0,,J. Collins misses 2-pt jump shot from 9 ft,4,3
12,1,10:48.0,Defensive rebound by M. Kleber,,4,3
13,1,10:44.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,4,3
14,1,10:41.0,,Defensive rebound by J. Collins,4,3
15,1,10:35.0,,T. Young misses 3-pt jump shot from 26 ft,4,3
16,1,10:32.0,Defensive rebound by D. Finney-Smith,,4,3
17,1,10:27.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Wright),,7,3
18,1,10:07.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),7,5
19,1,9:45.0,D. Wright makes 3-pt jump shot from 26 ft (assist by S. Curry),,10,5
20,1,9:32.0,,Offensive foul by T. Young (drawn by T. Hardaway),10,5
21,1,9:32.0,,Turnover by T. Young (offensive foul),10,5
22,1,9:22.0,D. Wright misses 2-pt layup from 2 ft,,10,5
23,1,9:20.0,,Defensive rebound by J. Collins,10,5
24,1,9:14.0,,D. Dedmon misses 2-pt layup from 2 ft,10,5
25,1,9:12.0,Defensive rebound by S. Curry,,10,5
26,1,9:08.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by S. Curry),,13,5
27,1,9:06.0,,Atlanta full timeout,13,5
28,1,9:06.0,,T. Graham enters the game for D. Dedmon,13,5
29,1,8:45.0,,J. Collins misses 2-pt layup from 2 ft (block by M. Kleber),13,5
30,1,8:42.0,Defensive rebound by M. Kleber,,13,5
31,1,8:40.0,S. Curry makes 3-pt jump shot from 27 ft,,16,5
32,1,8:26.0,,T. Young makes 2-pt layup from 1 ft,16,7
33,1,8:17.0,Turnover by D. Finney-Smith (traveling),,16,7
34,1,8:06.0,,Shooting foul by M. Kleber (drawn by C. Reddish),16,7
35,1,8:06.0,,C. Reddish makes free throw 1 of 2,16,8
36,1,8:06.0,M. Kidd-Gilchrist enters the game for M. Kleber,,16,8
37,1,8:06.0,,C. Reddish makes free throw 2 of 2,16,9
38,1,7:50.0,S. Curry misses 3-pt jump shot from 26 ft,,16,9
39,1,7:44.0,,Defensive rebound by J. Collins,16,9
40,1,7:37.0,,K. Huerter misses 3-pt jump shot from 29 ft,16,9
41,1,7:34.0,Defensive rebound by D. Wright,,16,9
42,1,7:29.0,T. Hardaway misses 3-pt jump shot from 29 ft,,16,9
43,1,7:25.0,,Defensive rebound by T. Young,16,9
44,1,7:19.0,,Personal foul by M. Kidd-Gilchrist (drawn by T. Young),16,9
45,1,7:13.0,,K. Huerter misses 3-pt jump shot from 27 ft,16,9
46,1,7:11.0,Defensive rebound by D. Wright,,16,9
47,1,7:07.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,16,9
48,1,7:02.0,,Defensive rebound by J. Collins,16,9
49,1,6:53.0,,T. Graham misses 3-pt jump shot from 23 ft,16,9
50,1,6:50.0,,Offensive rebound by Team,16,9
51,1,6:42.0,,Turnover by T. Young (bad pass; steal by D. Wright),16,9
52,1,6:38.0,Turnover by D. Finney-Smith (lost ball; steal by T. Graham),,16,9
53,1,6:34.0,,J. Collins misses 2-pt layup from 7 ft,16,9
54,1,6:31.0,,Offensive rebound by J. Collins,16,9
55,1,6:31.0,,J. Collins misses 2-pt layup from 2 ft,16,9
56,1,6:28.0,,Offensive rebound by T. Graham,16,9
57,1,6:28.0,,T. Graham makes 2-pt layup from 1 ft,16,11
58,1,6:20.0,D. Wright makes 2-pt layup from 1 ft,,18,11
59,1,6:05.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Huerter),18,13
60,1,6:05.0,M. Kleber enters the game for D. Finney-Smith,,18,13
61,1,6:05.0,C. Lee enters the game for T. Hardaway,,18,13
62,1,6:05.0,,D. Dedmon enters the game for J. Collins,18,13
63,1,5:52.0,M. Kidd-Gilchrist misses 2-pt hook shot from 7 ft,,18,13
64,1,5:50.0,,Defensive rebound by D. Dedmon,18,13
65,1,5:46.0,,Shooting foul by S. Curry (drawn by T. Young),18,13
66,1,5:46.0,,T. Young makes free throw 1 of 2,18,14
