,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:45.0,,D. Finney-Smith makes 2-pt hook shot from 3 ft,0,2
1,1,11:23.0,J. Jackson misses 3-pt jump shot from 26 ft,,0,2
2,1,11:19.0,,Defensive rebound by T. Hardaway,0,2
3,1,11:15.0,,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith),0,5
4,1,10:59.0,J. Morant makes 2-pt jump shot from 12 ft (assist by K. Anderson),,2,5
5,1,10:44.0,,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Brunson),2,7
6,1,10:29.0,D. Brooks makes 2-pt jump shot from 14 ft,,4,7
7,1,10:20.0,,K. Porziņģis misses 3-pt jump shot from 28 ft,4,7
8,1,10:20.0,Defensive rebound by D. Brooks,,4,7
9,1,10:07.0,D. Brooks misses 2-pt jump shot from 17 ft,,4,7
10,1,10:06.0,,Defensive rebound by Team,4,7
11,1,10:06.0,Loose ball foul by J. Valančiūnas (drawn by K. Porziņģis),,4,7
12,1,9:53.0,,J. Brunson makes 2-pt jump shot from 17 ft (assist by M. Kleber),4,9
13,1,9:30.0,Turnover by J. Morant (bad pass; steal by K. Porziņģis),,4,9
14,1,9:26.0,,Personal foul by J. Morant (drawn by D. Finney-Smith),4,9
15,1,9:14.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,4,9
16,1,9:12.0,,Offensive rebound by M. Kleber,4,9
17,1,9:12.0,,M. Kleber makes 2-pt layup at rim,4,11
18,1,9:12.0,Memphis full timeout,,4,11
19,1,8:56.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,4,11
20,1,8:52.0,,Defensive rebound by T. Hardaway,4,11
21,1,8:39.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,4,11
22,1,8:37.0,Defensive rebound by J. Jackson,,4,11
23,1,8:36.0,Turnover by J. Jackson (bad pass; steal by D. Finney-Smith),,4,11
24,1,8:33.0,,D. Finney-Smith misses 2-pt layup from 2 ft (block by J. Jackson),4,11
25,1,8:31.0,Defensive rebound by J. Valančiūnas,,4,11
26,1,8:24.0,K. Anderson misses 3-pt jump shot from 23 ft,,4,11
27,1,8:19.0,,Defensive rebound by T. Hardaway,4,11
28,1,8:16.0,,Turnover by D. Finney-Smith (lost ball; steal by K. Anderson),4,11
29,1,8:06.0,J. Morant makes 2-pt layup at rim,,6,11
30,1,7:54.0,,J. Brunson misses 2-pt layup from 2 ft,6,11
31,1,7:54.0,,Offensive rebound by M. Kleber,6,11
32,1,7:50.0,,M. Kleber makes 2-pt layup at rim,6,13
33,1,7:38.0,J. Morant makes 3-pt jump shot from 28 ft (assist by J. Jackson),,9,13
34,1,7:26.0,,M. Kleber misses 3-pt jump shot from 26 ft,9,13
35,1,7:23.0,Defensive rebound by D. Brooks,,9,13
36,1,7:16.0,Personal foul by M. Kleber (drawn by J. Jackson),,9,13
37,1,7:08.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by D. Brooks),,12,13
38,1,6:54.0,,Shooting foul by J. Morant (drawn by J. Brunson),12,13
39,1,6:54.0,,J. Brunson makes free throw 1 of 2,12,14
40,1,6:54.0,,J. Brunson makes free throw 2 of 2,12,15
41,1,6:37.0,Turnover by J. Jackson (bad pass; steal by K. Porziņģis),,12,15
42,1,6:28.0,,K. Porziņģis makes 2-pt jump shot from 21 ft,12,17
43,1,6:07.0,J. Morant makes 2-pt layup from 2 ft,,14,17
44,1,5:54.0,,K. Porziņģis makes 2-pt jump shot from 21 ft,14,19
45,1,5:40.0,J. Jackson makes 2-pt dunk from 1 ft (assist by K. Anderson),,16,19
46,1,5:31.0,,Personal foul by D. Brooks (drawn by T. Hardaway),16,19
47,1,5:31.0,B. Clarke enters the game for J. Morant,,16,19
48,1,5:31.0,T. Jones enters the game for J. Valančiūnas,,16,19
49,1,5:31.0,,R. Broekhoff enters the game for D. Finney-Smith,16,19
50,1,5:31.0,,D. Wright enters the game for M. Kleber,16,19
51,1,5:21.0,,J. Brunson makes 2-pt jump shot from 8 ft,16,21
52,1,5:07.0,T. Jones makes 2-pt jump shot from 5 ft (assist by B. Clarke),,18,21
53,1,4:57.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,18,21
54,1,4:53.0,Defensive rebound by B. Clarke,,18,21
55,1,4:49.0,D. Brooks misses 3-pt jump shot from 26 ft,,18,21
56,1,4:46.0,,Defensive rebound by K. Porziņģis,18,21
57,1,4:38.0,,T. Hardaway misses 2-pt layup from 3 ft,18,21
58,1,4:36.0,Defensive rebound by K. Anderson,,18,21
59,1,4:34.0,Offensive foul by K. Anderson (drawn by J. Brunson),,18,21
60,1,4:34.0,Turnover by K. Anderson (offensive foul),,18,21
61,1,4:34.0,J. Jackson enters the game for K. Anderson,,18,21
62,1,4:34.0,D. Melton enters the game for D. Brooks,,18,21
63,1,4:15.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Brunson),18,24
64,1,4:01.0,J. Jackson misses 2-pt jump shot from 6 ft,,18,24
65,1,4:01.0,,Defensive rebound by K. Porziņģis,18,24
66,1,3:50.0,,Shooting foul by T. Jones (drawn by D. Wright),18,24
67,1,3:50.0,,D. Wright misses free throw 1 of 2,18,24
68,1,3:50.0,,Offensive rebound by Team,18,24
69,1,3:50.0,,D. Wright makes free throw 2 of 2,18,25
70,1,3:40.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by T. Jones),,21,25
71,1,3:31.0,,Dallas full timeout,21,25
72,1,3:24.0,,Turnover by J. Brunson (bad pass; steal by J. Jackson),21,25
73,1,3:19.0,B. Clarke makes 2-pt dunk at rim (assist by J. Jackson),,23,25
74,1,2:56.0,,T. Hardaway misses 3-pt jump shot from 25 ft,23,25
75,1,2:55.0,Defensive rebound by Team,,23,25
76,1,2:55.0,,J. Jackson enters the game for J. Brunson,23,25
77,1,2:39.0,T. Jones makes 2-pt layup from 1 ft (assist by J. Jackson),,25,25
78,1,2:32.0,,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. Wright),25,28
79,1,2:17.0,J. Jackson makes 2-pt dunk from 1 ft (assist by T. Jones),,27,28
80,1,2:17.0,Shooting foul by R. Broekhoff (drawn by J. Jackson),,27,28
81,1,2:17.0,,W. Cauley-Stein enters the game for R. Broekhoff,27,28
82,1,2:17.0,,M. Kleber enters the game for K. Porziņģis,27,28
83,1,2:17.0,J. Jackson misses free throw 1 of 1,,27,28
84,1,2:15.0,,Defensive rebound by M. Kleber,27,28
85,1,1:56.0,,Turnover by D. Wright (bad pass; steal by J. Jackson),27,28
86,1,1:53.0,D. Melton makes 2-pt dunk from 1 ft (assist by B. Clarke),,29,28
87,1,1:53.0,,Dallas full timeout,29,28
88,1,1:53.0,J. Valančiūnas enters the game for J. Jackson,,29,28
89,1,1:43.0,,Personal foul by D. Melton (drawn by T. Hardaway),29,28
90,1,1:43.0,,T. Hardaway makes free throw 1 of 2,29,29
91,1,1:43.0,,T. Hardaway makes free throw 2 of 2,29,30
92,1,1:28.0,D. Melton misses 2-pt jump shot from 15 ft,,29,30
93,1,1:24.0,,Defensive rebound by D. Wright,29,30
94,1,1:12.0,,T. Hardaway misses 2-pt layup from 2 ft (block by B. Clarke),29,30
95,1,1:09.0,Defensive rebound by T. Jones,,29,30
96,1,0:48.0,J. Valančiūnas misses 2-pt jump shot from 6 ft,,29,30
97,1,0:46.0,,Defensive rebound by W. Cauley-Stein,29,30
98,1,0:32.0,,T. Hardaway misses 2-pt jump shot from 20 ft,29,30
99,1,0:32.0,Defensive rebound by B. Clarke,,29,30
100,1,0:11.0,T. Jones makes 2-pt jump shot from 13 ft,,31,30
101,1,0:04.0,,Personal foul by J. Jackson (drawn by D. Wright),31,30
102,1,0:04.0,,D. Wright makes free throw 1 of 2,31,31
103,1,0:04.0,,D. Wright makes free throw 2 of 2,31,32
104,1,0:04.0,J. Jackson enters the game for J. Valančiūnas,,31,32
105,1,0:00.0,D. Melton misses 2-pt jump shot from 19 ft,,31,32
106,1,0:00.0,Offensive rebound by Team,,31,32
107,2,11:45.0,B. Clarke misses 2-pt jump shot from 11 ft (block by W. Cauley-Stein),,31,32
108,2,11:43.0,,Defensive rebound by W. Cauley-Stein,31,32
109,2,11:31.0,,J. Jackson misses 2-pt jump shot from 11 ft,31,32
110,2,11:28.0,Defensive rebound by J. Valančiūnas,,31,32
111,2,11:19.0,J. Jackson misses 3-pt jump shot from 25 ft,,31,32
112,2,11:15.0,,Defensive rebound by D. Finney-Smith,31,32
113,2,11:00.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Wright),31,35
114,2,10:40.0,J. Jackson misses 2-pt layup from 3 ft (block by W. Cauley-Stein),,31,35
115,2,10:38.0,,Defensive rebound by D. Wright,31,35
116,2,10:30.0,,J. Jackson misses 2-pt jump shot from 4 ft,31,35
117,2,10:29.0,Defensive rebound by J. Valančiūnas,,31,35
118,2,10:20.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by J. Morant),,34,35
119,2,10:04.0,,D. Wright misses 3-pt jump shot from 25 ft,34,35
120,2,10:02.0,,Offensive rebound by W. Cauley-Stein,34,35
121,2,9:57.0,,D. Wright misses 2-pt jump shot from 16 ft,34,35
122,2,9:57.0,Defensive rebound by J. Jackson,,34,35
123,2,9:48.0,Personal foul by W. Cauley-Stein (drawn by B. Clarke),,34,35
124,2,9:48.0,K. Anderson enters the game for B. Clarke,,34,35
125,2,9:48.0,D. Brooks enters the game for J. Jackson,,34,35
126,2,9:41.0,J. Morant makes 2-pt jump shot from 11 ft,,36,35
127,2,9:29.0,,J. Jackson misses 2-pt jump shot from 9 ft,36,35
