,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:47.0,R. Hachimura misses 2-pt jump shot from 13 ft,,0,0
1,1,11:43.0,,Defensive rebound by R. Arcidiacono,0,0
2,1,11:28.0,,D. Gafford misses 2-pt dunk from 1 ft,0,0
3,1,11:25.0,Defensive rebound by B. Beal,,0,0
4,1,11:19.0,B. Beal makes 2-pt layup from 2 ft,,2,0
5,1,11:07.0,,Z. LaVine misses 2-pt layup from 2 ft,2,0
6,1,11:06.0,,Offensive rebound by D. Gafford,2,0
7,1,11:06.0,,D. Gafford makes 2-pt layup from 1 ft,2,2
8,1,11:06.0,,Shooting foul by I. Mahinmi (drawn by D. Gafford),2,2
9,1,11:06.0,,D. Gafford misses free throw 1 of 1,2,2
10,1,11:04.0,Defensive rebound by R. Hachimura,,2,2
11,1,10:47.0,B. Beal misses 3-pt jump shot from 25 ft,,2,2
12,1,10:44.0,Offensive rebound by B. Beal,,2,2
13,1,10:43.0,R. Hachimura makes 2-pt jump shot from 16 ft (assist by B. Beal),,4,2
14,1,10:26.0,,Turnover by D. Gafford (bad pass; steal by I. Mahinmi),4,2
15,1,10:20.0,Shooting foul by D. Gafford (drawn by I. Mahinmi),,4,2
16,1,10:20.0,I. Mahinmi misses free throw 1 of 2,,4,2
17,1,10:20.0,Offensive rebound by Team,,4,2
18,1,10:20.0,I. Mahinmi makes free throw 2 of 2,,5,2
19,1,10:07.0,,Turnover by Z. LaVine (bad pass; steal by B. Beal),5,2
20,1,10:02.0,R. Hachimura makes 2-pt layup from 3 ft,,7,2
21,1,9:47.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,7,2
22,1,9:45.0,Defensive rebound by R. Hachimura,,7,2
23,1,9:43.0,Shooting foul by D. Gafford (drawn by R. Hachimura),,7,2
24,1,9:43.0,R. Hachimura makes free throw 1 of 2,,8,2
25,1,9:43.0,,C. Felício enters the game for D. Gafford,8,2
26,1,9:43.0,R. Hachimura makes free throw 2 of 2,,9,2
27,1,9:30.0,,R. Arcidiacono misses 3-pt jump shot from 22 ft,9,2
28,1,9:27.0,Defensive rebound by R. Hachimura,,9,2
29,1,9:16.0,R. Hachimura misses 3-pt jump shot from 26 ft,,9,2
30,1,9:14.0,,Defensive rebound by Z. LaVine,9,2
31,1,9:08.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by T. Satoranský),9,5
32,1,9:00.0,B. Beal makes 3-pt jump shot from 26 ft (assist by R. Hachimura),,12,5
33,1,8:46.0,,Z. LaVine misses 3-pt jump shot from 25 ft,12,5
34,1,8:44.0,,Offensive rebound by C. Felício,12,5
35,1,8:29.0,,Turnover by Team (shot clock),12,5
36,1,8:18.0,Turnover by I. Bonga (traveling),,12,5
37,1,8:18.0,Violation by Team (delay of game),,12,5
38,1,8:03.0,,T. Young makes 3-pt jump shot from 25 ft (assist by Z. LaVine),12,8
39,1,7:50.0,B. Beal makes 3-pt jump shot from 26 ft (assist by I. Mahinmi),,15,8
40,1,7:36.0,,T. Young makes 3-pt jump shot from 25 ft (assist by T. Satoranský),15,11
41,1,7:12.0,R. Hachimura misses 2-pt jump shot from 20 ft,,15,11
42,1,7:10.0,,Defensive rebound by C. Felício,15,11
43,1,7:00.0,,Turnover by Z. LaVine (bad pass),15,11
44,1,6:45.0,Turnover by B. Beal (bad pass),,15,11
45,1,6:45.0,,Chicago full timeout,15,11
46,1,6:45.0,,C. White enters the game for T. Satoranský,15,11
47,1,6:34.0,,Turnover by Z. LaVine (traveling),15,11
48,1,6:11.0,B. Beal misses 3-pt jump shot from 26 ft,,15,11
49,1,6:07.0,Offensive rebound by I. Bonga,,15,11
50,1,6:04.0,B. Beal misses 3-pt jump shot from 23 ft,,15,11
51,1,6:01.0,,Defensive rebound by C. White,15,11
52,1,5:56.0,,C. White makes 2-pt layup from 2 ft,15,13
53,1,5:50.0,R. Hachimura makes 2-pt layup from 1 ft (assist by I. Smith),,17,13
54,1,5:31.0,,Z. LaVine makes 2-pt layup from 2 ft,17,15
55,1,5:31.0,,Shooting foul by I. Smith (drawn by Z. LaVine),17,15
56,1,5:31.0,D. Bertāns enters the game for I. Bonga,,17,15
57,1,5:31.0,M. Wagner enters the game for I. Mahinmi,,17,15
58,1,5:31.0,,Z. LaVine makes free throw 1 of 1,17,16
59,1,5:15.0,M. Wagner misses 3-pt jump shot from 25 ft,,17,16
60,1,5:12.0,,Defensive rebound by T. Young,17,16
61,1,5:07.0,,C. White misses 3-pt jump shot from 26 ft,17,16
62,1,5:04.0,,Offensive rebound by C. Felício,17,16
63,1,4:58.0,,T. Young makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),17,19
64,1,4:37.0,I. Smith makes 3-pt jump shot from 26 ft (assist by D. Bertāns),,20,19
65,1,4:29.0,,Turnover by C. Felício (bad pass; steal by I. Smith),20,19
66,1,4:28.0,Turnover by I. Smith (lost ball; steal by C. White),,20,19
67,1,4:24.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,20,19
68,1,4:21.0,Defensive rebound by R. Hachimura,,20,19
69,1,4:19.0,Turnover by R. Hachimura (lost ball; steal by T. Young),,20,19
70,1,4:11.0,,Offensive foul by C. White (drawn by M. Wagner),20,19
71,1,4:11.0,,Turnover by C. White (offensive foul),20,19
72,1,4:11.0,,S. Harrison enters the game for R. Arcidiacono,20,19
73,1,3:53.0,B. Beal makes 2-pt layup from 2 ft (assist by M. Wagner),,22,19
74,1,3:35.0,,T. Young misses 2-pt layup from 2 ft,22,19
75,1,3:32.0,Defensive rebound by R. Hachimura,,22,19
76,1,3:22.0,Shooting foul by T. Young (drawn by M. Wagner),,22,19
77,1,3:22.0,M. Wagner makes free throw 1 of 2,,23,19
78,1,3:22.0,T. Brown enters the game for R. Hachimura,,23,19
79,1,3:22.0,S. Napier enters the game for I. Smith,,23,19
80,1,3:22.0,,A. Mokoka enters the game for T. Young,23,19
81,1,3:22.0,M. Wagner makes free throw 2 of 2,,24,19
82,1,3:01.0,,C. Felício misses 2-pt layup from 3 ft (block by M. Wagner),24,19
83,1,2:58.0,Defensive rebound by D. Bertāns,,24,19
84,1,2:51.0,Personal foul by S. Harrison (drawn by S. Napier),,24,19
85,1,2:51.0,Washington full timeout,,24,19
86,1,2:51.0,,T. Satoranský enters the game for Z. LaVine,24,19
87,1,2:40.0,T. Brown makes 2-pt layup from 2 ft (assist by M. Wagner),,26,19
88,1,2:28.0,,C. White makes 3-pt jump shot from 25 ft (assist by T. Satoranský),26,22
89,1,2:13.0,Def 3 sec tech foul by Team,,26,22
90,1,2:13.0,B. Beal makes technical free throw,,27,22
91,1,2:13.0,J. Robinson enters the game for B. Beal,,27,22
92,1,2:07.0,D. Bertāns misses 3-pt jump shot from 26 ft,,27,22
93,1,2:04.0,,Defensive rebound by C. Felício,27,22
94,1,1:51.0,,C. White makes 2-pt jump shot from 7 ft,27,24
95,1,1:41.0,M. Wagner misses 2-pt layup from 2 ft,,27,24
96,1,1:39.0,,Defensive rebound by C. White,27,24
97,1,1:28.0,,C. White makes 2-pt jump shot from 14 ft (assist by T. Satoranský),27,26
98,1,1:28.0,,Shooting foul by J. Robinson (drawn by C. White),27,26
99,1,1:28.0,,C. White makes free throw 1 of 1,27,27
100,1,1:15.0,J. Robinson misses 3-pt jump shot from 24 ft,,27,27
101,1,1:11.0,Offensive rebound by T. Brown,,27,27
102,1,1:00.0,Offensive foul by S. Napier (drawn by C. White),,27,27
103,1,1:00.0,Turnover by S. Napier (offensive foul),,27,27
104,1,0:57.0,,C. White makes 3-pt jump shot from 25 ft (assist by T. Satoranský),27,30
105,1,0:45.0,Shooting foul by C. Felício (drawn by M. Wagner),,27,30
106,1,0:45.0,M. Wagner makes free throw 1 of 2,,28,30
107,1,0:45.0,M. Wagner makes free throw 2 of 2,,29,30
108,1,0:32.0,,C. White misses 3-pt jump shot from 27 ft,29,30
109,1,0:31.0,,Offensive rebound by S. Harrison,29,30
110,1,0:30.0,,S. Harrison misses 2-pt layup at rim,29,30
111,1,0:29.0,,Offensive rebound by S. Harrison,29,30
112,1,0:28.0,,S. Harrison misses 2-pt jump shot at rim,29,30
113,1,0:27.0,,Offensive rebound by C. Felício,29,30
114,1,0:26.0,,C. Felício makes 2-pt layup at rim,29,32
115,1,0:06.0,T. Brown makes 2-pt dunk from 1 ft (assist by S. Napier),,31,32
116,1,0:02.0,,C. White makes 3-pt jump shot from 27 ft,31,35
117,2,11:48.0,,Personal foul by T. Brown (drawn by D. Gafford),31,35
118,2,11:44.0,,Turnover by C. White (bad pass),31,35
119,2,11:18.0,J. Robinson makes 2-pt layup from 2 ft,,33,35
120,2,11:03.0,,D. Gafford makes 2-pt layup from 1 ft (assist by A. Mokoka),33,37
121,2,11:03.0,,Shooting foul by D. Bertāns (drawn by D. Gafford),33,37
122,2,11:03.0,T. Bryant enters the game for M. Wagner,,33,37
123,2,11:03.0,,D. Gafford misses free throw 1 of 1,33,37
124,2,10:59.0,Defensive rebound by T. Bryant,,33,37
125,2,10:47.0,Turnover by S. Napier (bad pass; steal by T. Satoranský),,33,37
126,2,10:42.0,,Turnover by S. Harrison (bad pass; steal by T. Brown),33,37
127,2,10:33.0,T. Bryant makes 2-pt jump shot from 10 ft (assist by T. Brown),,35,37
128,2,10:18.0,,T. Satoranský makes 2-pt jump shot from 15 ft,35,39
129,2,10:03.0,Turnover by D. Bertāns (bad pass; steal by T. Satoranský),,35,39
130,2,9:46.0,,T. Satoranský misses 2-pt layup from 2 ft,35,39
131,2,9:44.0,Defensive rebound by J. Robinson,,35,39
132,2,9:38.0,T. Brown misses 2-pt layup from 4 ft,,35,39
133,2,9:38.0,Offensive rebound by Team,,35,39
134,2,9:37.0,Turnover by S. Napier (step out of bounds),,35,39
135,2,9:13.0,,D. Gafford makes 2-pt layup from 4 ft,35,41
136,2,9:08.0,Personal foul by S. Harrison (drawn by S. Napier),,35,41
137,2,9:08.0,,Z. LaVine enters the game for C. White,35,41
138,2,9:05.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by T. Brown),,38,41
139,2,8:48.0,,Turnover by S. Harrison (lost ball; steal by J. Robinson),38,41
140,2,8:46.0,J. Robinson misses 2-pt layup from 3 ft (block by D. Gafford),,38,41
141,2,8:44.0,,Defensive rebound by S. Harrison,38,41
142,2,8:37.0,,T. Satoranský misses 3-pt jump shot from 25 ft,38,41
143,2,8:35.0,Defensive rebound by J. Robinson,,38,41
144,2,8:25.0,T. Bryant makes 2-pt dunk from 1 ft (assist by S. Napier),,40,41
145,2,8:16.0,,Chicago full timeout,40,41
146,2,8:16.0,B. Beal enters the game for T. Brown,,40,41
147,2,8:16.0,,R. Arcidiacono enters the game for D. Gafford,40,41
148,2,8:16.0,,C. Felício enters the game for S. Harrison,40,41
149,2,8:16.0,,T. Young enters the game for A. Mokoka,40,41
150,2,8:06.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),40,44
151,2,7:45.0,Turnover by D. Bertāns (bad pass; steal by C. Felício),,40,44
152,2,7:40.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),40,47
153,2,7:28.0,Shooting foul by C. Felício (drawn by B. Beal),,40,47
154,2,7:28.0,B. Beal makes free throw 1 of 2,,41,47
155,2,7:28.0,R. Hachimura enters the game for T. Bryant,,41,47
156,2,7:28.0,I. Smith enters the game for S. Napier,,41,47
157,2,7:28.0,B. Beal makes free throw 2 of 2,,42,47
158,2,7:19.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by T. Satoranský),42,49
159,2,7:19.0,,Shooting foul by B. Beal (drawn by Z. LaVine),42,49
160,2,7:19.0,,Z. LaVine makes free throw 1 of 1,42,50
161,2,7:01.0,B. Beal misses 2-pt layup from 5 ft,,42,50
162,2,6:58.0,,Defensive rebound by Z. LaVine,42,50
163,2,6:54.0,,T. Satoranský makes 2-pt dunk at rim (assist by R. Arcidiacono),42,52
164,2,6:54.0,,Shooting foul by D. Bertāns (drawn by T. Satoranský),42,52
165,2,6:54.0,,T. Satoranský makes free throw 1 of 1,42,53
166,2,6:38.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by R. Hachimura),,45,53
167,2,6:24.0,,Z. LaVine misses 3-pt jump shot from 32 ft,45,53
168,2,6:22.0,Defensive rebound by Team,,45,53
169,2,6:13.0,D. Bertāns misses 3-pt jump shot from 24 ft,,45,53
170,2,6:10.0,,Defensive rebound by T. Satoranský,45,53
171,2,6:05.0,,T. Young makes 2-pt layup from 1 ft (assist by T. Satoranský),45,55
172,2,5:44.0,B. Beal makes 2-pt layup from 1 ft,,47,55
173,2,5:38.0,,Personal foul by R. Hachimura (drawn by C. Felício),47,55
174,2,5:38.0,,Instant Replay (Request: Ruling Stands),47,55
175,2,5:38.0,,C. Felício makes free throw 1 of 2,47,56
176,2,5:38.0,I. Bonga enters the game for J. Robinson,,47,56
177,2,5:38.0,,C. White enters the game for R. Arcidiacono,47,56
178,2,5:38.0,,C. Felício makes free throw 2 of 2,47,57
179,2,5:32.0,Personal foul by C. Felício (drawn by R. Hachimura),,47,57
180,2,5:32.0,,D. Gafford enters the game for C. Felício,47,57
181,2,5:20.0,Turnover by R. Hachimura (bad pass),,47,57
