,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
0,1,11:32.0,,Turnover by Team (shot clock),0,0
1,1,11:25.0,Turnover by (8 sec),,0,0
2,1,11:13.0,,Turnover by B. Lopez (lost ball),0,0
3,1,11:13.0,,Loose ball foul by B. Lopez (drawn by I. Bonga),0,0
4,1,10:56.0,I. Mahinmi misses 3-pt jump shot from 27 ft,,0,0
5,1,10:53.0,,Defensive rebound by W. Matthews,0,0
6,1,10:45.0,,Shooting foul by I. Mahinmi (drawn by E. İlyasova),0,0
7,1,10:45.0,,E. İlyasova makes free throw 1 of 2,0,1
8,1,10:45.0,,E. İlyasova makes free throw 2 of 2,0,2
9,1,10:36.0,Shooting foul by W. Matthews (drawn by B. Beal),,0,2
10,1,10:36.0,B. Beal misses free throw 1 of 2,,0,2
11,1,10:36.0,Offensive rebound by Team,,0,2
12,1,10:36.0,B. Beal makes free throw 2 of 2,,1,2
13,1,10:26.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by W. Matthews),1,4
14,1,10:11.0,I. Thomas misses 2-pt jump shot from 15 ft,,1,4
15,1,10:08.0,,Defensive rebound by W. Matthews,1,4
16,1,10:01.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by B. Lopez),1,7
17,1,9:47.0,Turnover by I. Mahinmi (bad pass),,1,7
18,1,9:37.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,1,7
19,1,9:34.0,Defensive rebound by I. Mahinmi,,1,7
20,1,9:31.0,B. Beal misses 2-pt jump shot from 17 ft,,1,7
21,1,9:27.0,,Defensive rebound by K. Middleton,1,7
22,1,9:19.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by B. Lopez),1,10
23,1,9:19.0,Washington full timeout,,1,10
24,1,9:04.0,B. Beal misses 2-pt jump shot from 22 ft,,1,10
25,1,9:00.0,,Defensive rebound by E. İlyasova,1,10
26,1,8:55.0,,Personal foul by I. Bonga (drawn by E. Bledsoe),1,10
27,1,8:43.0,,B. Lopez misses 2-pt hook shot from 4 ft,1,10
28,1,8:41.0,Defensive rebound by I. Mahinmi,,1,10
29,1,8:35.0,I. Thomas misses 3-pt jump shot from 27 ft,,1,10
30,1,8:32.0,,Defensive rebound by E. İlyasova,1,10
31,1,8:25.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),1,13
32,1,8:10.0,I. Thomas makes 3-pt jump shot from 27 ft (assist by I. Mahinmi),,4,13
33,1,8:00.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,4,16
34,1,7:49.0,Shooting foul by E. İlyasova (drawn by B. Beal),,4,16
35,1,7:49.0,B. Beal makes free throw 1 of 2,,5,16
36,1,7:49.0,B. Beal makes free throw 2 of 2,,6,16
37,1,7:36.0,,E. İlyasova misses 2-pt layup from 3 ft,6,16
38,1,7:33.0,,Offensive rebound by E. İlyasova,6,16
39,1,7:33.0,,E. İlyasova misses 2-pt layup at rim,6,16
40,1,7:32.0,Defensive rebound by I. Mahinmi,,6,16
41,1,7:19.0,I. Mahinmi makes 2-pt hook shot from 7 ft (assist by I. Thomas),,8,16
42,1,7:03.0,,B. Lopez makes 2-pt layup from 2 ft (assist by E. İlyasova),8,18
43,1,6:51.0,I. Mahinmi misses 3-pt jump shot from 27 ft,,8,18
44,1,6:48.0,,Defensive rebound by E. Bledsoe,8,18
45,1,6:37.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),8,21
46,1,6:18.0,I. Mahinmi misses 2-pt hook shot from 3 ft,,8,21
47,1,6:15.0,,Defensive rebound by K. Middleton,8,21
48,1,6:02.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,8,21
49,1,6:00.0,Defensive rebound by I. Bonga,,8,21
50,1,5:52.0,I. Thomas makes 2-pt jump shot from 10 ft (assist by T. Bryant),,10,21
51,1,5:43.0,,K. Middleton makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),10,24
52,1,5:42.0,Washington full timeout,,10,24
53,1,5:42.0,D. Bertāns enters the game for T. Bryant,,10,24
54,1,5:42.0,,P. Connaughton enters the game for E. İlyasova,10,24
55,1,5:42.0,,D. DiVincenzo enters the game for W. Matthews,10,24
56,1,5:28.0,I. Mahinmi misses 2-pt layup from 3 ft (block by B. Lopez),,10,24
57,1,5:24.0,,Defensive rebound by D. DiVincenzo,10,24
58,1,5:16.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),10,27
59,1,4:56.0,B. Beal makes 2-pt layup from 2 ft,,12,27
60,1,4:51.0,,Shooting foul by I. Thomas (drawn by E. Bledsoe),12,27
61,1,4:51.0,,E. Bledsoe makes free throw 1 of 2,12,28
62,1,4:51.0,A. Pasečņiks enters the game for I. Mahinmi,,12,28
63,1,4:51.0,I. Smith enters the game for I. Thomas,,12,28
64,1,4:51.0,,G. Hill enters the game for D. DiVincenzo,12,28
65,1,4:51.0,,E. Bledsoe makes free throw 2 of 2,12,29
66,1,4:42.0,Shooting foul by G. Hill (drawn by B. Beal),,12,29
67,1,4:42.0,B. Beal makes free throw 1 of 2,,13,29
68,1,4:42.0,,D. DiVincenzo enters the game for E. Bledsoe,13,29
69,1,4:42.0,B. Beal makes free throw 2 of 2,,14,29
70,1,4:31.0,,K. Middleton misses 2-pt jump shot from 11 ft,14,29
71,1,4:29.0,,Offensive rebound by P. Connaughton,14,29
72,1,4:26.0,,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by K. Middleton),14,32
73,1,4:12.0,Shooting foul by D. DiVincenzo (drawn by B. Beal),,14,32
74,1,4:12.0,B. Beal makes free throw 1 of 2,,15,32
75,1,4:12.0,T. Brown enters the game for I. Bonga,,15,32
76,1,4:12.0,,K. Korver enters the game for B. Lopez,15,32
77,1,4:12.0,,R. Lopez enters the game for K. Middleton,15,32
78,1,4:12.0,B. Beal makes free throw 2 of 2,,16,32
79,1,4:03.0,,Offensive foul by R. Lopez (drawn by T. Brown),16,32
80,1,4:03.0,,Turnover by R. Lopez (offensive foul),16,32
81,1,3:53.0,Def 3 sec tech foul by Team,,16,32
82,1,3:53.0,B. Beal makes technical free throw,,17,32
83,1,3:45.0,B. Beal misses 2-pt jump shot from 9 ft,,17,32
84,1,3:41.0,,Defensive rebound by D. DiVincenzo,17,32
85,1,3:24.0,,R. Lopez makes 2-pt hook shot from 5 ft,17,34
86,1,3:11.0,A. Pasečņiks misses 2-pt jump shot from 11 ft,,17,34
87,1,3:08.0,,Defensive rebound by K. Korver,17,34
88,1,2:54.0,,Offensive foul by R. Lopez (drawn by A. Pasečņiks),17,34
89,1,2:54.0,,Turnover by R. Lopez (offensive foul),17,34
90,1,2:39.0,B. Beal misses 2-pt jump shot from 12 ft,,17,34
91,1,2:36.0,,Defensive rebound by D. DiVincenzo,17,34
92,1,2:24.0,,D. DiVincenzo makes 2-pt jump shot from 14 ft,17,36
93,1,2:16.0,B. Beal makes 3-pt jump shot from 26 ft (assist by I. Smith),,20,36
94,1,1:52.0,,R. Lopez makes 2-pt hook shot from 7 ft,20,38
95,1,1:39.0,A. Pasečņiks misses 2-pt layup from 5 ft (block by R. Lopez),,20,38
96,1,1:36.0,,Defensive rebound by K. Korver,20,38
97,1,1:35.0,,Personal foul by I. Smith (drawn by G. Hill),20,38
98,1,1:35.0,G. Payton enters the game for B. Beal,,20,38
99,1,1:31.0,,Turnover by K. Korver (bad pass; steal by I. Smith),20,38
100,1,1:15.0,I. Smith misses 2-pt jump shot from 16 ft,,20,38
101,1,1:12.0,,Defensive rebound by D. DiVincenzo,20,38
102,1,1:07.0,,D. DiVincenzo makes 2-pt layup from 2 ft,20,40
103,1,1:02.0,T. Brown misses 3-pt jump shot from 24 ft,,20,40
104,1,1:00.0,,Defensive rebound by P. Connaughton,20,40
105,1,0:52.0,,R. Lopez misses 3-pt jump shot from 27 ft,20,40
106,1,0:49.0,Defensive rebound by T. Brown,,20,40
107,1,0:44.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by T. Brown),,23,40
108,1,0:35.0,,Turnover by G. Hill (traveling),23,40
109,1,0:35.0,,E. İlyasova enters the game for P. Connaughton,23,40
110,1,0:30.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by I. Smith),,26,40
111,1,0:10.0,,G. Hill misses 3-pt jump shot from 26 ft,26,40
112,1,0:10.0,Defensive rebound by Team,,26,40
113,1,0:10.0,,Loose ball foul by E. İlyasova (drawn by D. Bertāns),26,40
114,1,0:10.0,D. Bertāns misses free throw 1 of 2,,26,40
115,1,0:10.0,Offensive rebound by Team,,26,40
116,1,0:10.0,D. Bertāns makes free throw 2 of 2,,27,40
117,1,0:04.0,,Personal foul by A. Pasečņiks (drawn by R. Lopez),27,40
118,1,0:04.0,Technical foul by M. Budenholzer,,27,40
119,1,0:04.0,T. Brown makes technical free throw,,28,40
120,1,0:04.0,,R. Lopez makes free throw 1 of 2,28,41
121,1,0:04.0,,P. Connaughton enters the game for E. İlyasova,28,41
122,1,0:04.0,,R. Lopez makes free throw 2 of 2,28,42
123,1,0:00.0,T. Brown misses 2-pt jump shot from 20 ft,,28,42
