,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:37.0,,Personal foul by E. Fournier (drawn by J. Collins),0,0
1,1,11:27.0,,B. Fernando makes 2-pt layup from 2 ft (assist by J. Collins),0,2
2,1,11:08.0,M. Fultz misses 2-pt jump shot from 16 ft,,0,2
3,1,11:05.0,,Defensive rebound by B. Fernando,0,2
4,1,10:49.0,,Turnover by D. Hunter (lost ball; steal by M. Fultz),0,2
5,1,10:44.0,E. Fournier makes 2-pt layup from 1 ft,,2,2
6,1,10:33.0,,T. Young misses 3-pt jump shot from 29 ft,2,2
7,1,10:30.0,Defensive rebound by A. Gordon,,2,2
8,1,10:26.0,A. Gordon misses 3-pt jump shot from 25 ft,,2,2
9,1,10:21.0,,Defensive rebound by D. Hunter,2,2
10,1,10:15.0,,D. Hunter misses 2-pt jump shot from 11 ft,2,2
11,1,10:12.0,Defensive rebound by A. Gordon,,2,2
12,1,9:54.0,J. Ennis misses 2-pt layup from 1 ft,,2,2
13,1,9:49.0,,Defensive rebound by T. Young,2,2
14,1,9:39.0,,B. Fernando misses 3-pt jump shot from 23 ft,2,2
15,1,9:36.0,Defensive rebound by M. Fultz,,2,2
16,1,9:20.0,N. Vučević makes 2-pt hook shot from 8 ft,,4,2
17,1,9:04.0,,T. Young makes 2-pt jump shot from 17 ft,4,4
18,1,8:50.0,E. Fournier misses 2-pt layup from 4 ft,,4,4
19,1,8:48.0,,Defensive rebound by B. Fernando,4,4
20,1,8:45.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),4,6
21,1,8:45.0,,Shooting foul by N. Vučević (drawn by J. Collins),4,6
22,1,8:45.0,,J. Collins makes free throw 1 of 1,4,7
23,1,8:36.0,Personal foul by K. Huerter (drawn by J. Ennis),,4,7
24,1,8:31.0,Turnover by E. Fournier (bad pass),,4,7
25,1,8:20.0,,Turnover by T. Young (bad pass; steal by M. Fultz),4,7
26,1,8:16.0,M. Fultz makes 2-pt layup from 3 ft,,6,7
27,1,7:57.0,,T. Young misses 2-pt jump shot from 21 ft,6,7
