,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:44.0,M. Fultz makes 2-pt jump shot from 15 ft,,2,0
1,1,11:27.0,,B. Beal misses 2-pt jump shot from 9 ft,2,0
2,1,11:26.0,Defensive rebound by K. Birch,,2,0
3,1,11:20.0,Turnover by E. Fournier (bad pass; steal by I. Thomas),,2,0
4,1,11:15.0,,I. Bonga makes 2-pt layup from 2 ft (assist by I. Thomas),2,2
5,1,10:59.0,J. Isaac makes 2-pt jump shot from 1 ft,,4,2
6,1,10:59.0,Shooting foul by I. Bonga (drawn by J. Isaac),,4,2
7,1,10:59.0,J. Isaac misses free throw 1 of 1,,4,2
8,1,10:56.0,,Defensive rebound by D. Bertāns,4,2
9,1,10:44.0,,R. Hachimura misses 2-pt jump shot from 3 ft (block by K. Birch),4,2
10,1,10:42.0,,Offensive rebound by D. Bertāns,4,2
11,1,10:40.0,,D. Bertāns makes 2-pt hook shot from 3 ft,4,4
12,1,10:18.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Isaac),,7,4
13,1,10:08.0,,D. Bertāns misses 3-pt jump shot from 25 ft,7,4
14,1,10:06.0,Defensive rebound by M. Fultz,,7,4
15,1,9:49.0,M. Fultz misses 2-pt jump shot from 12 ft,,7,4
16,1,9:47.0,,Defensive rebound by I. Bonga,7,4
17,1,9:33.0,,R. Hachimura misses 3-pt jump shot from 26 ft,7,4
18,1,9:31.0,Defensive rebound by J. Isaac,,7,4
19,1,9:29.0,Turnover by J. Isaac (traveling),,7,4
20,1,9:23.0,,I. Thomas makes 2-pt jump shot from 3 ft,7,6
21,1,9:06.0,E. Fournier makes 2-pt jump shot from 18 ft (assist by K. Birch),,9,6
22,1,8:59.0,,B. Beal makes 2-pt layup from 1 ft,9,8
23,1,8:59.0,Violation by Team (def goaltending),,9,8
24,1,8:38.0,M. Fultz misses 2-pt jump shot from 14 ft,,9,8
25,1,8:37.0,Offensive rebound by A. Gordon,,9,8
26,1,8:37.0,A. Gordon makes 2-pt dunk from 1 ft,,11,8
27,1,8:20.0,,I. Thomas misses 2-pt layup from 1 ft,11,8
28,1,8:18.0,Defensive rebound by K. Birch,,11,8
29,1,8:10.0,J. Isaac misses 3-pt jump shot from 25 ft,,11,8
30,1,8:08.0,Offensive rebound by A. Gordon,,11,8
31,1,8:05.0,E. Fournier misses 3-pt jump shot from 26 ft,,11,8
32,1,8:01.0,,Defensive rebound by R. Hachimura,11,8
33,1,7:55.0,,B. Beal misses 2-pt jump shot from 8 ft,11,8
34,1,7:52.0,Defensive rebound by M. Fultz,,11,8
35,1,7:45.0,J. Isaac misses 3-pt jump shot from 26 ft,,11,8
36,1,7:45.0,Offensive rebound by Team,,11,8
37,1,7:45.0,,Loose ball foul by I. Bonga (drawn by A. Gordon),11,8
38,1,7:43.0,Turnover by M. Fultz (bad pass; steal by I. Bonga),,11,8
39,1,7:36.0,,B. Beal makes 2-pt dunk from 2 ft (assist by R. Hachimura),11,10
40,1,7:21.0,J. Isaac makes 2-pt jump shot from 19 ft (assist by A. Gordon),,13,10
41,1,7:11.0,,Turnover by B. Beal (bad pass),13,10
42,1,6:56.0,A. Gordon makes 2-pt jump shot from 12 ft,,15,10
43,1,6:55.0,,Washington full timeout,15,10
44,1,6:55.0,,J. McRae enters the game for I. Bonga,15,10
45,1,6:43.0,,R. Hachimura makes 2-pt jump shot from 3 ft (assist by B. Beal),15,12
46,1,6:43.0,,Shooting foul by K. Birch (drawn by R. Hachimura),15,12
47,1,6:43.0,,R. Hachimura makes free throw 1 of 1,15,13
48,1,6:27.0,A. Gordon misses 2-pt jump shot from 8 ft,,15,13
49,1,6:25.0,,Defensive rebound by B. Beal,15,13
50,1,6:18.0,,R. Hachimura misses 2-pt jump shot from 14 ft,15,13
51,1,6:15.0,Defensive rebound by A. Gordon,,15,13
52,1,5:58.0,E. Fournier misses 2-pt jump shot from 12 ft,,15,13
53,1,5:57.0,,Defensive rebound by R. Hachimura,15,13
54,1,5:53.0,,I. Thomas misses 3-pt jump shot from 26 ft,15,13
55,1,5:49.0,Defensive rebound by A. Gordon,,15,13
56,1,5:43.0,M. Fultz makes 2-pt layup from 1 ft,,17,13
57,1,5:25.0,,B. Beal makes 2-pt layup from 1 ft,17,15
58,1,5:17.0,M. Fultz makes 2-pt layup from 6 ft,,19,15
59,1,5:05.0,,B. Beal makes 2-pt layup from 1 ft,19,17
60,1,5:00.0,Orlando full timeout,,19,17
61,1,5:00.0,T. Ross enters the game for A. Gordon,,19,17
62,1,5:00.0,,T. Brown enters the game for R. Hachimura,19,17
63,1,4:53.0,M. Fultz makes 2-pt jump shot from 16 ft,,21,17
64,1,4:40.0,,Shooting foul by J. Isaac (drawn by B. Beal),21,17
65,1,4:40.0,,B. Beal misses free throw 1 of 2,21,17
66,1,4:40.0,,Offensive rebound by Team,21,17
67,1,4:40.0,D. Augustin enters the game for E. Fournier,,21,17
68,1,4:40.0,M. Carter-Williams enters the game for M. Fultz,,21,17
69,1,4:40.0,,B. Beal makes free throw 2 of 2,21,18
70,1,4:25.0,T. Ross makes 2-pt jump shot from 19 ft (assist by J. Isaac),,23,18
71,1,4:17.0,,Shooting foul by T. Ross (drawn by D. Bertāns),23,18
72,1,4:17.0,,D. Bertāns makes free throw 1 of 3,23,19
73,1,4:17.0,,D. Bertāns makes free throw 2 of 3,23,20
74,1,4:17.0,,D. Bertāns makes free throw 3 of 3,23,21
75,1,4:02.0,T. Ross makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,26,21
76,1,3:58.0,,Turnover by I. Thomas (bad pass),26,21
77,1,3:58.0,M. Bamba enters the game for K. Birch,,26,21
78,1,3:48.0,M. Bamba makes 2-pt dunk from 1 ft (assist by M. Carter-Williams),,28,21
