,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:43.0,B. Biyombo misses 2-pt hook shot from 6 ft (block by T. Thompson),,0,0
1,1,11:39.0,,Defensive rebound by K. Love,0,0
2,1,11:28.0,,Shooting foul by P. Washington (drawn by K. Love),0,0
3,1,11:28.0,,K. Love makes free throw 1 of 2,0,1
4,1,11:28.0,,K. Love makes free throw 2 of 2,0,2
5,1,11:14.0,M. Bridges misses 3-pt jump shot from 25 ft,,0,2
6,1,11:12.0,,Defensive rebound by K. Love,0,2
7,1,11:01.0,,C. Sexton misses 2-pt jump shot from 4 ft,0,2
8,1,10:59.0,Defensive rebound by B. Biyombo,,0,2
9,1,10:55.0,Turnover by T. Rozier (traveling),,0,2
10,1,10:29.0,,T. Thompson misses 2-pt hook shot from 3 ft,0,2
11,1,10:26.0,Defensive rebound by T. Rozier,,0,2
12,1,10:22.0,T. Rozier misses 2-pt jump shot from 5 ft,,0,2
13,1,10:20.0,Offensive rebound by T. Rozier,,0,2
14,1,10:19.0,T. Rozier misses 2-pt layup from 6 ft,,0,2
15,1,10:17.0,Offensive rebound by B. Biyombo,,0,2
16,1,10:17.0,B. Biyombo misses 2-pt layup from 2 ft,,0,2
17,1,10:16.0,Offensive rebound by B. Biyombo,,0,2
18,1,10:16.0,B. Biyombo misses 2-pt layup at rim,,0,2
19,1,10:15.0,,Defensive rebound by D. Garland,0,2
20,1,9:58.0,,C. Sexton makes 3-pt jump shot from 23 ft (assist by D. Garland),0,5
21,1,9:41.0,B. Biyombo makes 2-pt jump shot from 4 ft (assist by D. Graham),,2,5
22,1,9:27.0,,D. Garland misses 3-pt jump shot from 30 ft,2,5
23,1,9:25.0,Defensive rebound by M. Bridges,,2,5
24,1,9:15.0,T. Rozier misses 3-pt jump shot from 25 ft,,2,5
25,1,9:11.0,,Defensive rebound by T. Thompson,2,5
26,1,9:01.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by D. Garland),2,8
27,1,8:40.0,P. Washington misses 3-pt jump shot from 26 ft,,2,8
28,1,8:37.0,,Defensive rebound by T. Thompson,2,8
29,1,8:30.0,,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),2,10
30,1,8:13.0,P. Washington makes 2-pt dunk from 1 ft (assist by T. Rozier),,4,10
31,1,7:57.0,,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),4,12
32,1,7:57.0,Charlotte full timeout,,4,12
33,1,7:57.0,D. Bacon enters the game for M. Bridges,,4,12
34,1,7:42.0,T. Rozier makes 2-pt layup from 2 ft (assist by P. Washington),,6,12
35,1,7:24.0,,D. Garland makes 3-pt jump shot from 27 ft,6,15
36,1,7:03.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by P. Washington),,9,15
37,1,6:52.0,,C. Sexton misses 2-pt layup from 2 ft,9,15
38,1,6:47.0,,Offensive rebound by T. Thompson,9,15
39,1,6:47.0,,T. Thompson makes 2-pt layup from 1 ft,9,17
40,1,6:30.0,P. Washington makes 2-pt layup from 2 ft,,11,17
41,1,6:19.0,,K. Love misses 3-pt jump shot from 29 ft,11,17
42,1,6:17.0,Defensive rebound by D. Bacon,,11,17
43,1,6:11.0,T. Rozier misses 2-pt layup from 1 ft,,11,17
44,1,6:07.0,,Defensive rebound by C. Osman,11,17
45,1,6:04.0,,K. Love makes 3-pt jump shot from 27 ft (assist by C. Osman),11,20
46,1,5:45.0,P. Washington makes 2-pt layup from 1 ft (assist by D. Graham),,13,20
47,1,5:32.0,,Turnover by C. Osman (traveling),13,20
48,1,5:32.0,M. Monk enters the game for B. Biyombo,,13,20
49,1,5:32.0,C. Zeller enters the game for T. Rozier,,13,20
50,1,5:32.0,,M. Dellavedova enters the game for D. Garland,13,20
51,1,5:18.0,D. Graham misses 2-pt jump shot from 6 ft,,13,20
52,1,5:16.0,,Defensive rebound by K. Love,13,20
53,1,5:15.0,,Shooting foul by D. Bacon (drawn by C. Sexton),13,20
54,1,5:15.0,,C. Sexton misses free throw 1 of 2,13,20
55,1,5:15.0,,Offensive rebound by Team,13,20
56,1,5:15.0,,C. Sexton makes free throw 2 of 2,13,21
57,1,5:00.0,P. Washington misses 2-pt jump shot from 7 ft (block by K. Love),,13,21
58,1,4:57.0,Offensive rebound by P. Washington,,13,21
59,1,4:51.0,M. Monk misses 3-pt jump shot from 26 ft,,13,21
60,1,4:48.0,,Defensive rebound by T. Thompson,13,21
61,1,4:39.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,13,21
62,1,4:35.0,,Offensive rebound by T. Thompson,13,21
63,1,4:35.0,,T. Thompson misses 2-pt layup from 1 ft,13,21
64,1,4:34.0,Defensive rebound by C. Zeller,,13,21
65,1,4:31.0,Shooting foul by K. Love (drawn by C. Zeller),,13,21
66,1,4:31.0,C. Zeller makes free throw 1 of 2,,14,21
67,1,4:31.0,M. Williams enters the game for P. Washington,,14,21
68,1,4:31.0,,K. Porter enters the game for C. Osman,14,21
69,1,4:31.0,C. Zeller makes free throw 2 of 2,,15,21
70,1,4:17.0,,K. Love misses 3-pt jump shot from 26 ft,15,21
71,1,4:15.0,Defensive rebound by C. Zeller,,15,21
72,1,4:06.0,Personal foul by C. Sexton (drawn by M. Williams),,15,21
73,1,4:06.0,,L. Nance enters the game for K. Love,15,21
74,1,4:00.0,C. Zeller makes 2-pt dunk from 1 ft,,17,21
75,1,3:51.0,,Turnover by C. Sexton (bad pass; steal by D. Graham),17,21
76,1,3:47.0,D. Bacon makes 2-pt layup from 1 ft,,19,21
77,1,3:47.0,,Violation by Team (def goaltending),19,21
78,1,3:30.0,,C. Sexton makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),19,24
79,1,3:14.0,Turnover by C. Zeller (bad pass; steal by T. Thompson),,19,24
80,1,3:06.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,19,24
81,1,3:03.0,Defensive rebound by M. Williams,,19,24
82,1,2:51.0,C. Zeller makes 2-pt dunk from 1 ft (assist by D. Graham),,21,24
83,1,2:42.0,,Turnover by T. Thompson (traveling),21,24
84,1,2:42.0,,Cleveland full timeout,21,24
85,1,2:42.0,,D. Garland enters the game for M. Dellavedova,21,24
86,1,2:42.0,,J. Henson enters the game for T. Thompson,21,24
87,1,2:25.0,D. Bacon makes 3-pt jump shot from 25 ft (assist by C. Zeller),,24,24
88,1,2:01.0,,Turnover by D. Garland (step out of bounds),24,24
89,1,1:46.0,M. Monk makes 3-pt jump shot from 23 ft (assist by M. Williams),,27,24
90,1,1:34.0,,D. Garland makes 3-pt jump shot from 23 ft (assist by C. Sexton),27,27
91,1,1:19.0,D. Bacon misses 2-pt jump shot from 1 ft,,27,27
92,1,1:17.0,Offensive rebound by C. Zeller,,27,27
93,1,1:16.0,C. Zeller makes 2-pt layup from 1 ft,,29,27
94,1,0:59.0,,K. Porter makes 2-pt dunk at rim (assist by J. Henson),29,29
95,1,0:37.0,Shooting foul by J. Henson (drawn by C. Zeller),,29,29
96,1,0:37.0,C. Zeller makes free throw 1 of 2,,30,29
97,1,0:37.0,T. Rozier enters the game for D. Graham,,30,29
98,1,0:37.0,C. Zeller makes free throw 2 of 2,,31,29
99,1,0:17.0,,Turnover by C. Sexton (bad pass; steal by M. Williams),31,29
