,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
0,1,11:36.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,2,0
1,1,11:23.0,,Shooting foul by P. Tucker (drawn by J. Collins),2,0
2,1,11:23.0,,J. Collins makes free throw 1 of 2,2,1
3,1,11:23.0,,J. Collins makes free throw 2 of 2,2,2
4,1,11:14.0,Shooting foul by T. Young (drawn by J. Harden),,2,2
5,1,11:14.0,J. Harden makes free throw 1 of 2,,3,2
6,1,11:14.0,J. Harden makes free throw 2 of 2,,4,2
7,1,11:01.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),4,4
8,1,10:51.0,J. Harden misses 3-pt jump shot from 26 ft (block by C. Reddish),,4,4
9,1,10:48.0,,Defensive rebound by T. Young,4,4
10,1,10:39.0,,Turnover by T. Young (lost ball; steal by C. Capela),4,4
11,1,10:34.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,6,4
12,1,10:18.0,,C. Reddish misses 2-pt jump shot from 20 ft,6,4
13,1,10:16.0,Defensive rebound by C. Capela,,6,4
14,1,10:04.0,J. Harden makes 3-pt jump shot from 26 ft,,9,4
15,1,9:52.0,,T. Young misses 2-pt jump shot from 12 ft,9,4
16,1,9:50.0,Defensive rebound by C. Capela,,9,4
17,1,9:44.0,Shooting foul by D. Hunter (drawn by C. Capela),,9,4
18,1,9:44.0,Technical foul by T. Young,,9,4
19,1,9:44.0,J. Harden makes technical free throw,,10,4
20,1,9:44.0,C. Capela makes free throw 1 of 2,,11,4
21,1,9:44.0,C. Capela makes free throw 2 of 2,,12,4
22,1,9:37.0,,C. Reddish misses 2-pt dunk from 1 ft (block by D. House),12,4
23,1,9:37.0,,Offensive rebound by Team,12,4
24,1,9:29.0,,T. Young makes 2-pt jump shot from 10 ft (assist by D. Hunter),12,6
25,1,9:16.0,E. Gordon misses 3-pt jump shot from 25 ft,,12,6
26,1,9:13.0,,Defensive rebound by C. Reddish,12,6
27,1,9:00.0,,T. Young misses 2-pt jump shot from 7 ft,12,6
28,1,8:56.0,,Offensive rebound by J. Collins,12,6
