,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHARLOTTE_ACTION,MEMPHIS_SCORE,CHARLOTTE_SCORE
0,1,11:36.0,J. Crowder misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,Offensive rebound by J. Valančiūnas,,0,0
2,1,11:34.0,J. Valančiūnas makes 2-pt layup from 1 ft,,2,0
3,1,11:19.0,,Turnover by C. Zeller (bad pass; steal by J. Crowder),2,0
4,1,11:15.0,J. Valančiūnas misses 2-pt hook shot from 8 ft,,2,0
5,1,11:14.0,Offensive rebound by J. Valančiūnas,,2,0
6,1,11:12.0,J. Valančiūnas makes 2-pt layup from 1 ft,,4,0
7,1,10:58.0,,P. Washington misses 3-pt jump shot from 23 ft,4,0
8,1,10:56.0,Defensive rebound by J. Valančiūnas,,4,0
9,1,10:44.0,J. Jackson makes 2-pt dunk from 2 ft (assist by D. Brooks),,6,0
10,1,10:35.0,,Turnover by D. Graham (bad pass),6,0
11,1,10:21.0,J. Valančiūnas misses 2-pt layup from 2 ft,,6,0
12,1,10:21.0,,Defensive rebound by T. Rozier,6,0
13,1,10:01.0,,P. Washington misses 3-pt jump shot from 25 ft,6,0
14,1,9:58.0,Defensive rebound by J. Crowder,,6,0
15,1,9:46.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,9,0
16,1,9:30.0,,D. Graham makes 2-pt jump shot from 19 ft,9,2
17,1,9:23.0,J. Morant misses 2-pt layup from 3 ft (block by D. Graham),,9,2
18,1,9:20.0,,Defensive rebound by C. Zeller,9,2
19,1,9:15.0,,Turnover by T. Rozier (bad pass; steal by J. Morant),9,2
20,1,9:10.0,J. Morant makes 2-pt layup from 3 ft,,11,2
21,1,9:05.0,,Turnover by D. Graham (bad pass),11,2
22,1,8:49.0,Turnover by J. Valančiūnas (lost ball; steal by C. Zeller),,11,2
23,1,8:38.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Graham),11,5
24,1,8:20.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by J. Morant),,13,5
25,1,8:03.0,,D. Graham makes 3-pt jump shot from 23 ft (assist by T. Rozier),13,8
26,1,7:44.0,J. Valančiūnas misses 2-pt layup from 4 ft (block by P. Washington),,13,8
27,1,7:41.0,Offensive rebound by J. Valančiūnas,,13,8
28,1,7:39.0,J. Valančiūnas makes 2-pt jump shot from 5 ft,,15,8
29,1,7:29.0,,C. Zeller makes 2-pt layup from 2 ft (assist by T. Rozier),15,10
30,1,7:11.0,D. Brooks makes 2-pt jump shot from 10 ft,,17,10
31,1,7:04.0,,C. Zeller makes 3-pt jump shot from 25 ft (assist by D. Graham),17,13
32,1,7:03.0,Memphis full timeout,,17,13
33,1,7:03.0,,M. Monk enters the game for D. Graham,17,13
34,1,6:49.0,D. Brooks misses 3-pt jump shot from 26 ft,,17,13
35,1,6:45.0,,Defensive rebound by C. Zeller,17,13
36,1,6:38.0,,M. Bridges misses 2-pt jump shot from 4 ft,17,13
37,1,6:36.0,Defensive rebound by J. Valančiūnas,,17,13
38,1,6:32.0,Personal foul by M. Bridges (drawn by J. Morant),,17,13
39,1,6:32.0,B. Clarke enters the game for J. Morant,,17,13
40,1,6:32.0,T. Jones enters the game for J. Valančiūnas,,17,13
41,1,6:20.0,Turnover by T. Jones (bad pass; steal by C. Zeller),,17,13
42,1,6:13.0,,Turnover by T. Rozier (bad pass; steal by D. Brooks),17,13
43,1,6:03.0,D. Brooks misses 3-pt jump shot from 26 ft,,17,13
44,1,5:59.0,,Defensive rebound by M. Monk,17,13
45,1,5:52.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Bridges),17,16
46,1,5:36.0,J. Jackson misses 2-pt jump shot from 8 ft (block by P. Washington),,17,16
47,1,5:36.0,Offensive rebound by Team,,17,16
48,1,5:36.0,M. Guduric enters the game for D. Brooks,,17,16
49,1,5:36.0,,M. Williams enters the game for P. Washington,17,16
50,1,5:27.0,B. Clarke makes 2-pt jump shot from 3 ft (assist by J. Crowder),,19,16
51,1,5:15.0,,Turnover by M. Monk (bad pass),19,16
52,1,5:15.0,,C. Martin enters the game for M. Bridges,19,16
53,1,4:55.0,J. Jackson misses 3-pt jump shot from 26 ft,,19,16
54,1,4:52.0,,Defensive rebound by C. Zeller,19,16
55,1,4:40.0,,T. Rozier makes 2-pt jump shot from 14 ft (assist by C. Zeller),19,18
56,1,4:29.0,Turnover by B. Clarke (step out of bounds),,19,18
57,1,4:29.0,,B. Biyombo enters the game for C. Zeller,19,18
58,1,4:14.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Monk),19,21
59,1,4:13.0,Memphis full timeout,,19,21
60,1,4:13.0,K. Anderson enters the game for J. Crowder,,19,21
61,1,4:13.0,S. Hill enters the game for J. Jackson,,19,21
62,1,3:51.0,M. Guduric misses 3-pt jump shot from 27 ft,,19,21
63,1,3:48.0,Offensive rebound by K. Anderson,,19,21
64,1,3:46.0,T. Jones misses 2-pt jump shot from 5 ft,,19,21
65,1,3:42.0,Offensive rebound by B. Clarke,,19,21
66,1,3:42.0,B. Clarke misses 2-pt layup from 1 ft,,19,21
67,1,3:41.0,,Defensive rebound by C. Martin,19,21
68,1,3:26.0,,T. Rozier misses 2-pt jump shot from 9 ft,19,21
69,1,3:24.0,Defensive rebound by S. Hill,,19,21
70,1,3:17.0,B. Clarke makes 2-pt layup from 1 ft (assist by K. Anderson),,21,21
71,1,3:00.0,,M. Williams misses 2-pt jump shot from 19 ft,21,21
72,1,2:58.0,Defensive rebound by M. Guduric,,21,21
73,1,2:48.0,S. Hill makes 3-pt jump shot from 25 ft (assist by T. Jones),,24,21
74,1,2:35.0,,B. Biyombo misses 2-pt layup from 2 ft,24,21
75,1,2:35.0,,Offensive rebound by M. Williams,24,21
76,1,2:35.0,,Shooting foul by S. Hill (drawn by M. Williams),24,21
77,1,2:35.0,,M. Williams makes free throw 1 of 2,24,22
78,1,2:35.0,,D. Graham enters the game for T. Rozier,24,22
79,1,2:35.0,,M. Williams makes free throw 2 of 2,24,23
80,1,2:17.0,K. Anderson misses 2-pt jump shot from 15 ft,,24,23
81,1,2:13.0,,Defensive rebound by C. Martin,24,23
82,1,2:08.0,,M. Monk misses 3-pt jump shot from 25 ft,24,23
83,1,2:06.0,Defensive rebound by K. Anderson,,24,23
84,1,2:02.0,Offensive foul by B. Clarke (drawn by C. Martin),,24,23
85,1,2:02.0,Turnover by B. Clarke (offensive foul),,24,23
86,1,2:02.0,J. Valančiūnas enters the game for B. Clarke,,24,23
87,1,1:49.0,,M. Williams misses 3-pt jump shot from 23 ft,24,23
88,1,1:46.0,Defensive rebound by K. Anderson,,24,23
89,1,1:44.0,Offensive foul by K. Anderson (drawn by C. Martin),,24,23
90,1,1:44.0,Turnover by K. Anderson (offensive foul),,24,23
91,1,1:33.0,,Shooting foul by S. Hill (drawn by M. Williams),24,23
92,1,1:33.0,,M. Williams misses free throw 1 of 2,24,23
93,1,1:33.0,,Offensive rebound by Team,24,23
94,1,1:33.0,,M. Williams misses free throw 2 of 2,24,23
95,1,1:30.0,Defensive rebound by J. Valančiūnas,,24,23
96,1,1:19.0,Turnover by J. Valančiūnas (lost ball; steal by B. Biyombo),,24,23
97,1,1:15.0,,M. Monk makes 2-pt layup from 1 ft,24,25
98,1,1:01.0,Turnover by J. Valančiūnas (lost ball; steal by M. Williams),,24,25
99,1,0:56.0,,M. Monk makes 2-pt layup from 1 ft (assist by M. Williams),24,27
