,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DALLAS_ACTION,CLEVELAND_SCORE,DALLAS_SCORE
0,1,11:44.0,C. Osman makes 2-pt jump shot from 5 ft,,2,0
1,1,11:30.0,,L. Dončić misses 2-pt jump shot from 9 ft,2,0
2,1,11:26.0,Defensive rebound by K. Love,,2,0
3,1,11:06.0,D. Garland misses 2-pt jump shot from 11 ft,,2,0
4,1,11:02.0,,Defensive rebound by L. Dončić,2,0
5,1,10:54.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),2,3
6,1,10:40.0,K. Love misses 3-pt jump shot from 25 ft,,2,3
7,1,10:37.0,,Defensive rebound by D. Finney-Smith,2,3
8,1,10:30.0,,L. Dončić makes 2-pt layup from 2 ft,2,5
9,1,10:13.0,Turnover by K. Love (lost ball; steal by D. Finney-Smith),,2,5
10,1,10:09.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,2,7
11,1,9:51.0,D. Garland misses 3-pt jump shot from 25 ft,,2,7
12,1,9:48.0,,Defensive rebound by K. Porziņģis,2,7
13,1,9:36.0,,Offensive foul by L. Dončić (drawn by C. Sexton),2,7
14,1,9:36.0,,Turnover by L. Dončić (offensive foul),2,7
15,1,9:15.0,K. Love makes 2-pt hook shot from 7 ft (assist by T. Thompson),,4,7
16,1,9:02.0,,Personal foul by C. Sexton (drawn by L. Dončić),4,7
17,1,8:48.0,,T. Hardaway makes 3-pt jump shot from 25 ft,4,10
18,1,8:37.0,T. Thompson makes 2-pt dunk from 1 ft (assist by C. Sexton),,6,10
19,1,8:22.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,6,10
20,1,8:18.0,Defensive rebound by C. Sexton,,6,10
21,1,8:17.0,C. Sexton makes 2-pt layup from 2 ft,,8,10
22,1,8:00.0,,L. Dončić makes 2-pt layup from 2 ft (assist by T. Hardaway),8,12
23,1,7:46.0,Turnover by C. Sexton (bad pass; steal by T. Hardaway),,8,12
24,1,7:43.0,,T. Hardaway misses 3-pt jump shot from 25 ft,8,12
25,1,7:38.0,,Offensive rebound by D. Powell,8,12
26,1,7:35.0,,L. Dončić makes 2-pt layup from 1 ft (assist by D. Powell),8,14
27,1,7:16.0,D. Garland makes 3-pt jump shot from 28 ft (assist by K. Love),,11,14
28,1,7:00.0,,L. Dončić misses 3-pt jump shot from 25 ft,11,14
29,1,6:57.0,Defensive rebound by K. Love,,11,14
30,1,6:45.0,C. Sexton misses 2-pt jump shot from 18 ft,,11,14
31,1,6:42.0,,Defensive rebound by L. Dončić,11,14
32,1,6:39.0,,Personal foul by C. Osman (drawn by L. Dončić),11,14
33,1,6:39.0,,Dallas full timeout,11,14
34,1,6:30.0,,L. Dončić misses 2-pt jump shot from 2 ft,11,14
35,1,6:28.0,Defensive rebound by K. Love,,11,14
36,1,6:22.0,C. Sexton misses 3-pt jump shot from 25 ft,,11,14
37,1,6:19.0,,Defensive rebound by L. Dončić,11,14
38,1,6:12.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,11,14
39,1,6:08.0,Defensive rebound by K. Love,,11,14
40,1,5:52.0,C. Osman makes 3-pt jump shot from 25 ft (assist by T. Thompson),,14,14
41,1,5:32.0,,K. Porziņģis misses 2-pt jump shot from 13 ft,14,14
42,1,5:30.0,Defensive rebound by C. Osman,,14,14
43,1,5:17.0,C. Osman misses 3-pt jump shot from 25 ft,,14,14
44,1,5:14.0,,Defensive rebound by K. Porziņģis,14,14
45,1,5:06.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),14,17
46,1,4:50.0,Shooting foul by D. Powell (drawn by K. Love),,14,17
