,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
0,1,11:41.0,P. Washington misses 3-pt jump shot from 22 ft,,0,0
1,1,11:37.0,,Defensive rebound by S. Hill,0,0
2,1,11:27.0,,D. Jones makes 3-pt jump shot from 25 ft (assist by K. Nunn),0,3
3,1,11:16.0,M. Bridges misses 2-pt layup from 3 ft (block by D. Jones),,0,3
4,1,11:13.0,Offensive rebound by Team,,0,3
5,1,11:03.0,C. Martin makes 2-pt jump shot from 18 ft,,2,3
6,1,10:37.0,,D. Jones makes 3-pt jump shot from 26 ft (assist by S. Hill),2,6
7,1,10:28.0,Turnover by D. Graham (lost ball; steal by D. Jones),,2,6
8,1,10:24.0,,Turnover by K. Nunn (out of bounds lost ball),2,6
9,1,10:08.0,C. Zeller makes 3-pt jump shot from 26 ft (assist by P. Washington),,5,6
10,1,9:43.0,,B. Adebayo makes 2-pt hook shot from 3 ft,5,8
11,1,9:29.0,C. Martin makes 2-pt layup from 3 ft (assist by M. Bridges),,7,8
12,1,9:18.0,,K. Nunn makes 2-pt layup from 3 ft,7,10
13,1,9:09.0,Turnover by C. Zeller (lost ball; steal by D. Robinson),,7,10
14,1,8:57.0,,D. Jones makes 2-pt jump shot from 6 ft (assist by K. Nunn),7,12
15,1,8:45.0,C. Zeller misses 2-pt layup from 2 ft,,7,12
16,1,8:43.0,Offensive rebound by C. Zeller,,7,12
17,1,8:42.0,C. Zeller misses 2-pt layup from 3 ft (block by S. Hill),,7,12
18,1,8:39.0,,Defensive rebound by D. Robinson,7,12
19,1,8:32.0,,K. Nunn makes 3-pt jump shot from 26 ft (assist by B. Adebayo),7,15
20,1,8:06.0,P. Washington misses 3-pt jump shot from 27 ft,,7,15
21,1,8:03.0,Offensive rebound by C. Zeller,,7,15
22,1,8:01.0,P. Washington makes 2-pt layup from 1 ft (assist by C. Zeller),,9,15
23,1,7:45.0,,B. Adebayo makes 2-pt layup from 3 ft,9,17
24,1,7:45.0,Charlotte full timeout,,9,17
25,1,7:45.0,J. McDaniels enters the game for P. Washington,,9,17
26,1,7:22.0,Turnover by D. Graham (bad pass),,9,17
27,1,7:11.0,,D. Robinson misses 3-pt jump shot from 25 ft,9,17
28,1,7:08.0,Defensive rebound by M. Bridges,,9,17
29,1,7:03.0,M. Bridges misses 2-pt layup from 4 ft (block by S. Hill),,9,17
30,1,7:00.0,Offensive rebound by C. Zeller,,9,17
31,1,7:00.0,C. Zeller makes 2-pt layup from 3 ft,,11,17
32,1,6:48.0,,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),11,20
33,1,6:34.0,D. Graham misses 3-pt jump shot from 26 ft,,11,20
34,1,6:29.0,,Defensive rebound by D. Robinson,11,20
35,1,6:21.0,,D. Jones makes 2-pt dunk from 2 ft (assist by B. Adebayo),11,22
36,1,6:04.0,M. Bridges misses 2-pt hook shot from 7 ft,,11,22
37,1,6:02.0,,Defensive rebound by B. Adebayo,11,22
38,1,5:59.0,,K. Nunn makes 2-pt layup from 2 ft (assist by B. Adebayo),11,24
39,1,5:49.0,Turnover by D. Graham (bad pass),,11,24
40,1,5:49.0,B. Biyombo enters the game for C. Martin,,11,24
41,1,5:49.0,C. Martin enters the game for C. Zeller,,11,24
42,1,5:49.0,,G. Dragić enters the game for S. Hill,11,24
43,1,5:35.0,,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Dragić),11,26
44,1,5:23.0,M. Bridges misses 2-pt layup from 6 ft,,11,26
45,1,5:20.0,,Defensive rebound by B. Adebayo,11,26
46,1,5:08.0,,Turnover by G. Dragić (bad pass),11,26
47,1,4:51.0,Personal foul by K. Nunn (drawn by D. Graham),,11,26
48,1,4:51.0,,A. Iguodala enters the game for B. Adebayo,11,26
49,1,4:38.0,B. Biyombo misses 2-pt hook shot from 4 ft (block by D. Jones),,11,26
