,QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,N. Powell misses 3-pt jump shot from 26 ft,,0,0
1,1,11:46.0,,Defensive rebound by J. Toscano-Anderson,0,0
2,1,11:35.0,,D. Lee makes 3-pt jump shot from 24 ft (assist by J. Toscano-Anderson),0,3
3,1,11:28.0,Personal foul by M. Chriss (drawn by K. Lowry),,0,3
4,1,11:17.0,P. Siakam misses 2-pt hook shot from 12 ft,,0,3
5,1,11:16.0,,Defensive rebound by M. Chriss,0,3
6,1,11:06.0,,M. Chriss misses 2-pt hook shot from 8 ft,0,3
7,1,11:05.0,Defensive rebound by P. Siakam,,0,3
8,1,10:59.0,Shooting foul by J. Toscano-Anderson (drawn by P. Siakam),,0,3
9,1,10:59.0,P. Siakam makes free throw 1 of 2,,1,3
10,1,10:59.0,P. Siakam makes free throw 2 of 2,,2,3
11,1,10:47.0,,A. Wiggins makes 2-pt jump shot from 12 ft,2,5
12,1,10:30.0,N. Powell makes 2-pt jump shot from 6 ft (assist by K. Lowry),,4,5
13,1,10:19.0,,Personal foul by S. Ibaka (drawn by M. Chriss),4,5
14,1,10:11.0,,M. Chriss makes 2-pt layup from 3 ft (assist by S. Curry),4,7
15,1,10:05.0,K. Lowry makes 3-pt jump shot from 27 ft,,7,7
16,1,9:58.0,,Personal foul by N. Powell (drawn by S. Curry),7,7
17,1,9:45.0,,A. Wiggins makes 2-pt layup from 3 ft (assist by S. Curry),7,9
18,1,9:34.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,9,9
19,1,9:21.0,,J. Toscano-Anderson misses 3-pt jump shot from 27 ft,9,9
20,1,9:19.0,Defensive rebound by S. Ibaka,,9,9
21,1,9:01.0,S. Ibaka makes 2-pt hook shot from 5 ft (assist by P. Siakam),,11,9
22,1,8:50.0,,S. Curry misses 3-pt jump shot from 30 ft,11,9
23,1,8:48.0,Defensive rebound by O. Anunoby,,11,9
24,1,8:44.0,Shooting foul by A. Wiggins (drawn by K. Lowry),,11,9
25,1,8:44.0,K. Lowry makes free throw 1 of 2,,12,9
26,1,8:44.0,K. Lowry makes free throw 2 of 2,,13,9
27,1,8:26.0,,A. Wiggins misses 3-pt jump shot from 27 ft,13,9
28,1,8:24.0,Defensive rebound by S. Ibaka,,13,9
29,1,8:19.0,K. Lowry misses 3-pt jump shot from 25 ft,,13,9
30,1,8:17.0,,Defensive rebound by S. Curry,13,9
31,1,8:11.0,,S. Curry misses 3-pt jump shot from 31 ft,13,9
32,1,8:09.0,,Offensive rebound by J. Toscano-Anderson,13,9
33,1,8:04.0,,D. Lee makes 3-pt jump shot from 29 ft (assist by J. Toscano-Anderson),13,12
34,1,7:50.0,N. Powell misses 2-pt layup from 4 ft (block by M. Chriss),,13,12
35,1,7:49.0,Offensive rebound by Team,,13,12
36,1,7:39.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,16,12
37,1,7:18.0,,A. Wiggins misses 2-pt jump shot from 5 ft,16,12
38,1,7:17.0,,Offensive rebound by A. Wiggins,16,12
39,1,7:17.0,,A. Wiggins misses 2-pt layup from 1 ft,16,12
40,1,7:16.0,,Offensive rebound by A. Wiggins,16,12
41,1,7:08.0,,M. Chriss misses 3-pt jump shot from 27 ft,16,12
42,1,7:06.0,Defensive rebound by S. Ibaka,,16,12
43,1,6:58.0,N. Powell makes 2-pt jump shot from 6 ft (assist by K. Lowry),,18,12
44,1,6:57.0,,Golden State full timeout,18,12
45,1,6:44.0,,M. Chriss makes 2-pt dunk from 2 ft (assist by S. Curry),18,14
46,1,6:23.0,O. Anunoby makes 3-pt jump shot from 26 ft (assist by P. Siakam),,21,14
47,1,6:23.0,,M. Mulder enters the game for S. Curry,21,14
48,1,6:23.0,,E. Paschall enters the game for J. Toscano-Anderson,21,14
49,1,6:08.0,,M. Mulder makes 2-pt layup from 3 ft (assist by D. Lee),21,16
50,1,6:01.0,N. Powell misses 3-pt jump shot from 27 ft,,21,16
51,1,5:57.0,Offensive rebound by O. Anunoby,,21,16
