,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MIAMI_ACTION,LA LAKERS_SCORE,MIAMI_SCORE
0,1,11:42.0,,B. Adebayo misses 2-pt layup from 5 ft (block by A. Davis),0,0
1,1,11:37.0,,Offensive rebound by B. Adebayo,0,0
2,1,11:34.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by B. Adebayo),0,3
3,1,11:18.0,Turnover by D. Green (lost ball; steal by J. Butler),,0,3
4,1,11:13.0,,J. Butler makes 2-pt dunk from 1 ft,0,5
5,1,11:09.0,A. Davis misses 2-pt jump shot from 17 ft,,0,5
6,1,11:08.0,,Defensive rebound by B. Adebayo,0,5
7,1,11:07.0,,B. Adebayo misses 2-pt layup from 2 ft,0,5
8,1,11:06.0,Defensive rebound by A. Davis,,0,5
9,1,10:49.0,L. James misses 3-pt jump shot from 23 ft,,0,5
10,1,10:46.0,,Defensive rebound by J. Butler,0,5
11,1,10:35.0,,Turnover by J. Butler (lost ball; steal by J. McGee),0,5
12,1,10:11.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,2,5
13,1,9:55.0,,D. Robinson misses 3-pt jump shot from 23 ft,2,5
14,1,9:55.0,Defensive rebound by J. McGee,,2,5
15,1,9:48.0,D. Green makes 3-pt jump shot from 26 ft (assist by J. McGee),,5,5
16,1,9:34.0,,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Nunn),5,8
17,1,9:13.0,J. McGee makes 2-pt hook shot from 7 ft,,7,8
18,1,8:58.0,,D. Robinson misses 3-pt jump shot from 26 ft,7,8
19,1,8:56.0,Defensive rebound by J. McGee,,7,8
20,1,8:51.0,Turnover by L. James (bad pass; steal by J. Butler),,7,8
21,1,8:46.0,,D. Robinson misses 2-pt layup from 9 ft (block by D. Green),7,8
22,1,8:46.0,,Offensive rebound by Team,7,8
23,1,8:39.0,,K. Nunn makes 2-pt dunk from 2 ft (assist by B. Adebayo),7,10
24,1,8:23.0,L. James misses 2-pt layup from 1 ft,,7,10
25,1,8:18.0,Offensive rebound by A. Davis,,7,10
26,1,8:18.0,A. Davis makes 2-pt dunk from 1 ft,,9,10
27,1,8:08.0,,K. Nunn makes 2-pt jump shot from 20 ft,9,12
28,1,8:02.0,Turnover by L. James (bad pass),,9,12
29,1,7:44.0,,J. Butler misses 3-pt jump shot from 23 ft,9,12
30,1,7:42.0,Defensive rebound by J. McGee,,9,12
31,1,7:27.0,L. James makes 3-pt jump shot from 26 ft (assist by A. Davis),,12,12
32,1,7:13.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Nunn),12,14
33,1,7:13.0,,Shooting foul by J. McGee (drawn by B. Adebayo),12,14
