,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
0,1,11:42.0,J. Harris misses 2-pt layup from 2 ft (block by D. Jones),,0,0
1,1,11:42.0,Offensive rebound by J. Allen,,0,0
2,1,11:42.0,Personal foul by J. Parker (drawn by J. Allen),,0,0
3,1,11:35.0,J. Allen makes 2-pt jump shot from 10 ft (assist by J. Harris),,2,0
4,1,11:17.0,,C. Reddish makes 3-pt jump shot from 25 ft (assist by T. Young),2,3
5,1,11:03.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,2,3
6,1,11:00.0,,Defensive rebound by D. Jones,2,3
7,1,10:53.0,,T. Young makes 2-pt jump shot from 13 ft,2,5
8,1,10:41.0,Turnover by J. Allen (traveling),,2,5
9,1,10:31.0,,T. Young misses 3-pt jump shot from 33 ft,2,5
10,1,10:27.0,Defensive rebound by T. Prince,,2,5
11,1,10:14.0,J. Allen misses 2-pt layup from 2 ft,,2,5
12,1,10:11.0,,Defensive rebound by D. Jones,2,5
13,1,10:04.0,,C. Reddish makes 2-pt layup from 3 ft (assist by T. Young),2,7
14,1,9:38.0,G. Temple misses 3-pt jump shot from 23 ft,,2,7
15,1,9:36.0,,Defensive rebound by Team,2,7
16,1,9:27.0,,J. Parker misses 2-pt layup from 2 ft,2,7
17,1,9:23.0,,Offensive rebound by D. Bembry,2,7
18,1,9:21.0,,D. Jones makes 2-pt dunk from 1 ft (assist by D. Bembry),2,9
19,1,9:21.0,Brooklyn full timeout,,2,9
20,1,9:06.0,S. Dinwiddie makes 2-pt layup from 1 ft,,4,9
21,1,8:53.0,,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),4,11
22,1,8:35.0,T. Prince misses 2-pt layup from 1 ft,,4,11
23,1,8:31.0,Offensive rebound by J. Allen,,4,11
24,1,8:30.0,T. Prince makes 3-pt jump shot from 23 ft (assist by J. Allen),,7,11
25,1,8:18.0,,Personal foul by G. Temple (drawn by T. Young),7,11
26,1,8:13.0,,J. Parker makes 2-pt layup from 2 ft,7,13
27,1,8:13.0,Violation by Team (def goaltending),,7,13
28,1,7:58.0,S. Dinwiddie misses 2-pt jump shot from 16 ft,,7,13
29,1,7:58.0,Offensive rebound by Team,,7,13
30,1,7:58.0,Turnover by S. Dinwiddie (traveling),,7,13
31,1,7:58.0,D. Musa enters the game for G. Temple,,7,13
32,1,7:47.0,,T. Young misses 2-pt jump shot from 6 ft,7,13
33,1,7:44.0,Defensive rebound by S. Dinwiddie,,7,13
34,1,7:32.0,T. Prince misses 3-pt jump shot from 23 ft,,7,13
35,1,7:29.0,,Defensive rebound by J. Parker,7,13
36,1,7:17.0,,D. Jones makes 2-pt dunk from 1 ft (assist by D. Bembry),7,15
37,1,7:09.0,Shooting foul by D. Jones (drawn by S. Dinwiddie),,7,15
38,1,7:09.0,S. Dinwiddie makes free throw 1 of 2,,8,15
39,1,7:09.0,S. Dinwiddie makes free throw 2 of 2,,9,15
40,1,6:59.0,,T. Young misses 2-pt jump shot from 10 ft,9,15
41,1,6:55.0,Defensive rebound by T. Prince,,9,15
42,1,6:53.0,S. Dinwiddie makes 2-pt layup at rim (assist by T. Prince),,11,15
43,1,6:53.0,,Violation by Team (def goaltending),11,15
44,1,6:37.0,,J. Parker makes 2-pt layup from 1 ft (assist by D. Bembry),11,17
45,1,6:27.0,J. Harris misses 2-pt layup from 2 ft (block by D. Bembry),,11,17
46,1,6:17.0,Offensive rebound by J. Allen,,11,17
47,1,6:17.0,J. Allen makes 2-pt dunk from 1 ft,,13,17
48,1,5:59.0,,Turnover by T. Young (bad pass; steal by S. Dinwiddie),13,17
49,1,5:41.0,S. Dinwiddie misses 3-pt jump shot from 29 ft,,13,17
50,1,5:35.0,,Defensive rebound by C. Reddish,13,17
51,1,5:27.0,,Shooting foul by D. Musa (drawn by D. Jones),13,17
52,1,5:27.0,,D. Jones makes free throw 1 of 2,13,18
53,1,5:27.0,I. Shumpert enters the game for J. Harris,,13,18
54,1,5:27.0,,V. Carter enters the game for J. Parker,13,18
55,1,5:27.0,,E. Turner enters the game for C. Reddish,13,18
56,1,5:27.0,,D. Jones misses free throw 2 of 2,13,18
57,1,5:25.0,Defensive rebound by T. Prince,,13,18
58,1,5:14.0,T. Prince misses 2-pt layup from 2 ft,,13,18
59,1,5:11.0,Offensive rebound by J. Allen,,13,18
60,1,5:10.0,J. Allen makes 2-pt layup from 1 ft,,15,18
61,1,4:53.0,,D. Jones makes 2-pt hook shot from 5 ft (assist by E. Turner),15,20
62,1,4:35.0,T. Prince makes 2-pt jump shot from 17 ft,,17,20
63,1,4:20.0,,T. Young misses 3-pt jump shot from 26 ft,17,20
64,1,4:17.0,Defensive rebound by J. Allen,,17,20
65,1,4:12.0,Turnover by S. Dinwiddie (bad pass),,17,20
66,1,4:12.0,D. Jordan enters the game for J. Allen,,17,20
67,1,4:12.0,D. Nwaba enters the game for T. Prince,,17,20
68,1,4:12.0,,K. Huerter enters the game for D. Bembry,17,20
69,1,4:12.0,,A. Len enters the game for D. Jones,17,20
70,1,4:12.0,,T. Wallace enters the game for T. Young,17,20
71,1,3:51.0,,V. Carter makes 2-pt jump shot from 15 ft,17,22
72,1,3:33.0,D. Musa misses 2-pt layup from 2 ft (block by V. Carter),,17,22
73,1,3:33.0,Offensive rebound by Team,,17,22
74,1,3:33.0,T. Pinson enters the game for S. Dinwiddie,,17,22
75,1,3:33.0,G. Temple enters the game for D. Musa,,17,22
76,1,3:20.0,Turnover by T. Pinson (bad pass; steal by K. Huerter),,17,22
77,1,3:14.0,,A. Len makes 2-pt layup from 1 ft (assist by E. Turner),17,24
78,1,2:54.0,G. Temple makes 3-pt jump shot from 26 ft (assist by D. Nwaba),,20,24
79,1,2:37.0,,T. Wallace misses 3-pt jump shot from 26 ft,20,24
80,1,2:35.0,Defensive rebound by I. Shumpert,,20,24
81,1,2:32.0,G. Temple misses 2-pt layup from 1 ft,,20,24
