,QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
0,1,11:41.0,R. O'Neale misses 3-pt jump shot from 26 ft,,0,0
1,1,11:39.0,Offensive rebound by B. Bogdanović,,0,0
2,1,11:32.0,D. Mitchell misses 3-pt jump shot from 23 ft,,0,0
3,1,11:28.0,,Defensive rebound by C. Sexton,0,0
4,1,11:14.0,,L. Nance misses 3-pt jump shot from 25 ft,0,0
5,1,11:11.0,Defensive rebound by R. O'Neale,,0,0
6,1,11:01.0,Turnover by D. Mitchell (lost ball; steal by K. Love),,0,0
7,1,10:57.0,,K. Porter makes 2-pt dunk from 1 ft (assist by C. Osman),0,2
8,1,10:37.0,Personal foul by C. Osman (drawn by R. O'Neale),,0,2
9,1,10:37.0,,Cleveland full timeout,0,2
10,1,10:37.0,,Instant Replay (Challenge: Stands),0,2
11,1,10:23.0,B. Bogdanović misses 3-pt jump shot from 30 ft,,0,2
12,1,10:20.0,,Defensive rebound by K. Love,0,2
13,1,10:14.0,,Turnover by K. Love (bad pass),0,2
14,1,10:00.0,R. O'Neale makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,3,2
15,1,9:45.0,,C. Sexton misses 2-pt layup from 2 ft,3,2
16,1,9:43.0,Defensive rebound by D. Mitchell,,3,2
17,1,9:37.0,R. Gobert makes 2-pt dunk at rim (assist by M. Conley),,5,2
18,1,9:26.0,,K. Love misses 3-pt jump shot from 29 ft,5,2
19,1,9:25.0,Defensive rebound by Team,,5,2
20,1,9:14.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,8,2
21,1,8:52.0,,C. Osman misses 3-pt jump shot from 23 ft,8,2
22,1,8:50.0,Defensive rebound by M. Conley,,8,2
23,1,8:42.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,8,2
24,1,8:39.0,,Defensive rebound by K. Love,8,2
25,1,8:28.0,,Shooting foul by M. Conley (drawn by C. Sexton),8,2
26,1,8:28.0,,C. Sexton makes free throw 1 of 2,8,3
27,1,8:28.0,,C. Sexton makes free throw 2 of 2,8,4
28,1,8:09.0,D. Mitchell misses 3-pt jump shot from 26 ft,,8,4
29,1,8:06.0,,Defensive rebound by C. Sexton,8,4
30,1,7:55.0,,Personal foul by D. Mitchell (drawn by C. Sexton),8,4
31,1,7:44.0,,Personal foul by M. Conley (drawn by C. Sexton),8,4
32,1,7:44.0,J. Ingles enters the game for M. Conley,,8,4
33,1,7:36.0,,C. Sexton makes 2-pt jump shot from 15 ft,8,6
34,1,7:20.0,R. Gobert makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,10,6
35,1,7:01.0,,C. Osman misses 2-pt layup from 1 ft,10,6
36,1,7:01.0,,Offensive rebound by C. Osman,10,6
37,1,6:57.0,,K. Love makes 3-pt jump shot from 23 ft (assist by C. Osman),10,9
38,1,6:46.0,Turnover by R. Gobert (bad pass),,10,9
39,1,6:46.0,,M. Dellavedova enters the game for L. Nance,10,9
40,1,6:46.0,,A. Žižić enters the game for C. Osman,10,9
41,1,6:26.0,,A. Žižić misses 2-pt hook shot at rim,10,9
42,1,6:23.0,Defensive rebound by R. Gobert,,10,9
43,1,6:14.0,R. O'Neale misses 3-pt jump shot from 24 ft,,10,9
44,1,6:13.0,Offensive rebound by Team,,10,9
45,1,6:13.0,,Loose ball foul by A. Žižić (drawn by R. Gobert),10,9
46,1,6:10.0,B. Bogdanović misses 2-pt layup from 1 ft,,10,9
47,1,6:10.0,Offensive rebound by B. Bogdanović,,10,9
48,1,6:10.0,Shooting foul by K. Porter (drawn by B. Bogdanović),,10,9
49,1,6:10.0,B. Bogdanović misses free throw 1 of 2,,10,9
50,1,6:10.0,Offensive rebound by Team,,10,9
51,1,6:10.0,B. Bogdanović makes free throw 2 of 2,,11,9
52,1,5:53.0,,K. Love misses 2-pt jump shot from 10 ft,11,9
53,1,5:51.0,Defensive rebound by D. Mitchell,,11,9
54,1,5:41.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,14,9
55,1,5:27.0,,C. Sexton makes 2-pt jump shot from 5 ft,14,11
56,1,5:16.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,16,11
57,1,5:07.0,,Turnover by K. Porter (bad pass; steal by B. Bogdanović),16,11
58,1,5:02.0,Turnover by D. Mitchell (lost ball; steal by M. Dellavedova),,16,11
59,1,4:55.0,,K. Love makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),16,14
60,1,4:38.0,B. Bogdanović makes 2-pt layup from 1 ft,,18,14
61,1,4:29.0,,K. Porter makes 2-pt jump shot from 14 ft,18,16
62,1,4:27.0,Utah full timeout,,18,16
63,1,4:27.0,J. Clarkson enters the game for R. O'Neale,,18,16
64,1,4:27.0,,L. Nance enters the game for K. Love,18,16
