,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,,Turnover by (8 sec),0,0
1,1,11:27.0,Turnover by Team (shot clock),,0,0
2,1,11:01.0,,S. Milton makes 2-pt jump shot from 9 ft,0,2
3,1,10:50.0,G. Robinson makes 2-pt dunk at rim (assist by D. Green),,2,2
4,1,10:23.0,,T. Harris misses 3-pt jump shot from 26 ft,2,2
5,1,10:21.0,Defensive rebound by D. Green,,2,2
6,1,10:14.0,D. Lee misses 3-pt jump shot from 24 ft,,2,2
7,1,10:12.0,,Defensive rebound by A. Horford,2,2
8,1,10:06.0,,T. Harris makes 2-pt layup from 2 ft,2,4
9,1,9:57.0,G. Robinson makes 2-pt layup from 1 ft (assist by D. Russell),,4,4
10,1,9:40.0,,T. Harris makes 2-pt jump shot from 11 ft,4,6
11,1,9:26.0,D. Green makes 3-pt jump shot from 26 ft (assist by D. Lee),,7,6
12,1,8:59.0,,J. Embiid makes 2-pt jump shot from 6 ft,7,8
13,1,8:44.0,D. Russell misses 2-pt jump shot from 7 ft,,7,8
14,1,8:42.0,,Defensive rebound by J. Embiid,7,8
15,1,8:38.0,,Shooting foul by D. Green (drawn by B. Simmons),7,8
16,1,8:38.0,,B. Simmons makes free throw 1 of 2,7,9
17,1,8:38.0,,B. Simmons makes free throw 2 of 2,7,10
18,1,8:30.0,Turnover by D. Russell (bad pass),,7,10
19,1,8:16.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. Harris),7,12
20,1,8:16.0,Violation by Team (def goaltending),,7,12
21,1,8:14.0,Golden State full timeout,,7,12
22,1,8:06.0,G. Robinson misses 3-pt jump shot from 25 ft,,7,12
23,1,8:03.0,,Defensive rebound by A. Horford,7,12
24,1,7:52.0,,B. Simmons misses 2-pt hook shot from 6 ft,7,12
25,1,7:49.0,Defensive rebound by D. Green,,7,12
26,1,7:44.0,D. Lee misses 2-pt jump shot from 7 ft,,7,12
27,1,7:41.0,Offensive rebound by G. Robinson,,7,12
28,1,7:40.0,D. Russell makes 3-pt jump shot from 24 ft (assist by G. Robinson),,10,12
29,1,7:17.0,,J. Embiid makes 2-pt layup from 3 ft (assist by A. Horford),10,14
30,1,7:09.0,M. Chriss makes 2-pt dunk from 1 ft (assist by D. Green),,12,14
31,1,6:56.0,,J. Embiid misses 3-pt jump shot from 24 ft,12,14
32,1,6:54.0,Defensive rebound by Team,,12,14
33,1,6:43.0,Turnover by D. Russell (out of bounds lost ball),,12,14
34,1,6:43.0,,F. Korkmaz enters the game for J. Embiid,12,14
35,1,6:43.0,,M. Thybulle enters the game for S. Milton,12,14
36,1,6:30.0,,B. Simmons misses 2-pt layup from 4 ft (block by D. Green),12,14
37,1,6:28.0,Defensive rebound by G. Robinson,,12,14
