,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,J. Hernangómez makes 2-pt dunk at rim (assist by M. Beasley),,2,0
1,1,11:31.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by L. Ball),2,3
2,1,11:14.0,D. Russell makes 2-pt jump shot from 22 ft,,4,3
3,1,10:58.0,,Turnover by J. Holiday (bad pass; steal by N. Reid),4,3
4,1,10:44.0,D. Russell makes 3-pt jump shot from 26 ft,,7,3
5,1,10:27.0,,J. Holiday makes 2-pt layup from 2 ft,7,5
6,1,10:18.0,D. Russell misses 3-pt jump shot from 26 ft,,7,5
7,1,10:15.0,,Defensive rebound by B. Ingram,7,5
8,1,10:05.0,,J. Holiday misses 3-pt jump shot from 25 ft,7,5
9,1,10:02.0,Defensive rebound by N. Reid,,7,5
10,1,9:56.0,M. Beasley misses 3-pt jump shot from 26 ft,,7,5
11,1,9:53.0,,Defensive rebound by J. Holiday,7,5
12,1,9:41.0,,B. Ingram misses 2-pt layup from 2 ft,7,5
13,1,9:37.0,,Offensive rebound by B. Ingram,7,5
14,1,9:37.0,,B. Ingram misses 2-pt layup from 1 ft,7,5
15,1,9:36.0,Defensive rebound by D. Russell,,7,5
16,1,9:33.0,J. Okogie misses 2-pt layup from 2 ft,,7,5
17,1,9:31.0,Offensive rebound by N. Reid,,7,5
18,1,9:30.0,Turnover by N. Reid (lost ball; steal by Z. Williamson),,7,5
19,1,9:27.0,,Shooting foul by M. Beasley (drawn by B. Ingram),7,5
20,1,9:27.0,,B. Ingram makes free throw 1 of 2,7,6
21,1,9:27.0,,B. Ingram makes free throw 2 of 2,7,7
22,1,9:19.0,N. Reid misses 3-pt jump shot from 26 ft,,7,7
23,1,9:15.0,,Defensive rebound by L. Ball,7,7
24,1,9:06.0,,Z. Williamson misses 2-pt layup from 3 ft (block by N. Reid),7,7
25,1,8:59.0,,Offensive rebound by Z. Williamson,7,7
26,1,8:59.0,,Z. Williamson makes 2-pt dunk from 1 ft,7,9
27,1,8:48.0,Turnover by J. Hernangómez (bad pass; steal by Z. Williamson),,7,9
28,1,8:48.0,,Personal foul by J. Hernangómez (drawn by L. Ball),7,9
29,1,8:41.0,,L. Ball misses 3-pt jump shot from 26 ft,7,9
30,1,8:39.0,Defensive rebound by N. Reid,,7,9
31,1,8:23.0,M. Beasley makes 2-pt layup from 2 ft,,9,9
32,1,8:11.0,,B. Ingram misses 2-pt layup from 1 ft,9,9
33,1,8:09.0,Defensive rebound by J. Hernangómez,,9,9
34,1,8:05.0,Turnover by D. Russell (bad pass),,9,9
35,1,7:45.0,,Turnover by L. Ball (bad pass),9,9
36,1,7:38.0,Turnover by M. Beasley (bad pass; steal by B. Ingram),,9,9
37,1,7:34.0,,B. Ingram makes 2-pt layup from 2 ft,9,11
38,1,7:25.0,D. Russell makes 2-pt layup from 3 ft,,11,11
39,1,7:21.0,,J. Holiday makes 2-pt layup from 2 ft (assist by L. Ball),11,13
40,1,7:21.0,,Shooting foul by M. Beasley (drawn by J. Holiday),11,13
41,1,7:21.0,,J. Holiday makes free throw 1 of 1,11,14
42,1,7:05.0,N. Reid misses 2-pt dunk from 2 ft,,11,14
43,1,7:02.0,,Defensive rebound by Z. Williamson,11,14
44,1,7:00.0,,Z. Williamson makes 2-pt layup from 1 ft (assist by L. Ball),11,16
45,1,7:00.0,Minnesota full timeout,,11,16
46,1,7:00.0,J. Culver enters the game for M. Beasley,,11,16
