,QUARTER,TIME_REMAINING,DALLAS_ACTION,MIAMI_ACTION,DALLAS_SCORE,MIAMI_SCORE
0,1,11:41.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by K. Nunn),0,2
1,1,11:15.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,0,2
2,1,11:10.0,,Defensive rebound by D. Robinson,0,2
3,1,11:07.0,,B. Adebayo misses 2-pt layup from 9 ft,0,2
4,1,11:06.0,Defensive rebound by D. Finney-Smith,,0,2
5,1,11:06.0,Personal foul by B. Adebayo (drawn by D. Finney-Smith),,0,2
6,1,10:57.0,T. Hardaway makes 2-pt layup from 2 ft (assist by L. Dončić),,2,2
7,1,10:34.0,,J. Butler makes 2-pt layup from 3 ft,2,4
8,1,10:30.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),,5,4
9,1,10:06.0,,B. Adebayo misses 2-pt jump shot from 16 ft,5,4
10,1,10:04.0,Defensive rebound by K. Porziņģis,,5,4
11,1,9:57.0,L. Dončić misses 2-pt jump shot from 7 ft,,5,4
12,1,9:52.0,,Defensive rebound by K. Nunn,5,4
13,1,9:45.0,,B. Adebayo misses 2-pt layup from 3 ft,5,4
14,1,9:45.0,Defensive rebound by Team,,5,4
15,1,9:35.0,T. Hardaway makes 3-pt jump shot from 27 ft,,8,4
16,1,9:20.0,,J. Butler misses 2-pt jump shot from 10 ft,8,4
17,1,9:18.0,,Offensive rebound by D. Jones,8,4
18,1,9:18.0,,D. Jones makes 2-pt layup at rim,8,6
19,1,9:07.0,T. Hardaway misses 3-pt jump shot from 23 ft,,8,6
20,1,9:05.0,,Defensive rebound by J. Butler,8,6
21,1,8:56.0,,D. Jones misses 2-pt jump shot from 15 ft,8,6
22,1,8:54.0,Defensive rebound by L. Dončić,,8,6
23,1,8:44.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by T. Hardaway),,11,6
24,1,8:27.0,,B. Adebayo makes 2-pt jump shot from 7 ft (assist by J. Butler),11,8
25,1,8:13.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,11,8
26,1,8:09.0,,Defensive rebound by J. Butler,11,8
