,QUARTER,TIME_REMAINING,DALLAS_ACTION,WASHINGTON_ACTION,DALLAS_SCORE,WASHINGTON_SCORE
0,1,11:44.0,T. Hardaway makes 2-pt layup from 1 ft (assist by K. Porziņģis),,2,0
1,1,11:30.0,,B. Beal makes 2-pt jump shot from 12 ft,2,2
2,1,11:19.0,Personal foul by I. Bonga (drawn by T. Hardaway),,2,2
3,1,11:08.0,K. Porziņģis makes 2-pt dunk from 2 ft (assist by T. Hardaway),,4,2
4,1,10:53.0,,R. Hachimura makes 3-pt jump shot from 22 ft (assist by I. Smith),4,5
5,1,10:44.0,T. Hardaway misses 3-pt jump shot from 27 ft,,4,5
6,1,10:41.0,,Defensive rebound by B. Beal,4,5
7,1,10:38.0,,B. Beal misses 3-pt jump shot from 30 ft,4,5
8,1,10:33.0,Defensive rebound by K. Porziņģis,,4,5
9,1,10:24.0,K. Porziņģis misses 3-pt jump shot from 30 ft,,4,5
10,1,10:21.0,Offensive rebound by T. Hardaway,,4,5
11,1,10:18.0,C. Lee makes 3-pt jump shot from 29 ft (assist by T. Hardaway),,7,5
12,1,10:05.0,,I. Smith misses 2-pt layup from 1 ft,7,5
13,1,10:02.0,Defensive rebound by D. Finney-Smith,,7,5
14,1,9:58.0,C. Lee misses 3-pt jump shot from 27 ft,,7,5
15,1,9:56.0,,Defensive rebound by R. Hachimura,7,5
16,1,9:49.0,,I. Bonga makes 3-pt jump shot from 23 ft (assist by R. Hachimura),7,8
17,1,9:22.0,T. Hardaway misses 2-pt jump shot from 15 ft,,7,8
18,1,9:18.0,Offensive rebound by D. Finney-Smith,,7,8
19,1,9:17.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,7,8
20,1,9:15.0,,Defensive rebound by I. Mahinmi,7,8
21,1,9:10.0,,Personal foul by C. Lee (drawn by R. Hachimura),7,8
22,1,9:04.0,,I. Smith misses 2-pt jump shot from 20 ft,7,8
23,1,9:00.0,Defensive rebound by K. Porziņģis,,7,8
24,1,8:54.0,D. Finney-Smith makes 2-pt layup from 2 ft,,9,8
25,1,8:27.0,,B. Beal misses 2-pt jump shot from 12 ft,9,8
26,1,8:24.0,Defensive rebound by K. Porziņģis,,9,8
27,1,8:15.0,Turnover by K. Porziņģis (bad pass; steal by I. Bonga),,9,8
28,1,8:10.0,,R. Hachimura makes 2-pt dunk from 2 ft (assist by I. Bonga),9,10
29,1,7:53.0,J. Brunson misses 3-pt jump shot from 27 ft,,9,10
30,1,7:49.0,,Defensive rebound by R. Hachimura,9,10
31,1,7:35.0,,B. Beal misses 2-pt jump shot from 3 ft (block by K. Porziņģis),9,10
32,1,7:32.0,Defensive rebound by T. Hardaway,,9,10
33,1,7:30.0,J. Brunson makes 2-pt jump shot from 3 ft (assist by T. Hardaway),,11,10
34,1,7:16.0,,Turnover by I. Bonga (bad pass; steal by T. Hardaway),11,10
35,1,7:00.0,K. Porziņģis misses 3-pt jump shot from 30 ft,,11,10
36,1,6:58.0,,Defensive rebound by R. Hachimura,11,10
37,1,6:54.0,,Turnover by I. Smith (bad pass),11,10
38,1,6:54.0,,Washington full timeout,11,10
39,1,6:54.0,S. Curry enters the game for J. Brunson,,11,10
40,1,6:54.0,M. Kleber enters the game for D. Finney-Smith,,11,10
41,1,6:54.0,D. Wright enters the game for C. Lee,,11,10
42,1,6:34.0,M. Kleber makes 3-pt jump shot from 28 ft (assist by D. Wright),,14,10
43,1,6:14.0,,B. Beal misses 3-pt jump shot from 28 ft,14,10
44,1,6:12.0,Defensive rebound by K. Porziņģis,,14,10
45,1,6:05.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by M. Kleber),,17,10
46,1,5:52.0,,I. Smith misses 2-pt jump shot from 14 ft,17,10
47,1,5:49.0,Defensive rebound by K. Porziņģis,,17,10
48,1,5:43.0,Turnover by T. Hardaway (bad pass; steal by R. Hachimura),,17,10
49,1,5:35.0,,R. Hachimura makes 2-pt jump shot from 5 ft,17,12
50,1,5:22.0,T. Hardaway misses 3-pt jump shot from 28 ft,,17,12
51,1,5:19.0,Offensive rebound by S. Curry,,17,12
52,1,5:16.0,D. Wright misses 2-pt layup from 2 ft,,17,12
53,1,5:16.0,,Defensive rebound by Team,17,12
54,1,5:16.0,Loose ball foul by K. Porziņģis (drawn by B. Beal),,17,12
55,1,5:16.0,R. Broekhoff enters the game for K. Porziņģis,,17,12
56,1,5:16.0,,D. Bertāns enters the game for R. Hachimura,17,12
57,1,5:16.0,,M. Wagner enters the game for I. Mahinmi,17,12
58,1,5:02.0,,B. Beal makes 2-pt layup from 2 ft,17,14
59,1,4:50.0,S. Curry misses 3-pt jump shot from 25 ft,,17,14
60,1,4:47.0,,Defensive rebound by I. Smith,17,14
61,1,4:40.0,,D. Bertāns misses 2-pt layup from 2 ft,17,14
62,1,4:39.0,Defensive rebound by M. Kleber,,17,14
63,1,4:33.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Wright),,20,14
64,1,4:14.0,,I. Bonga misses 2-pt jump shot from 2 ft,20,14
65,1,4:12.0,,Offensive rebound by M. Wagner,20,14
66,1,4:12.0,,M. Wagner makes 2-pt layup at rim,20,16
67,1,4:02.0,M. Kleber makes 2-pt dunk from 3 ft (assist by S. Curry),,22,16
68,1,3:48.0,,B. Beal makes 2-pt dunk from 2 ft (assist by I. Smith),22,18
69,1,3:47.0,Dallas full timeout,,22,18
70,1,3:47.0,C. Lee enters the game for T. Hardaway,,22,18
71,1,3:47.0,,T. Brown enters the game for I. Bonga,22,18
72,1,3:47.0,,S. Napier enters the game for I. Smith,22,18
73,1,3:25.0,D. Wright misses 2-pt jump shot from 17 ft,,22,18
74,1,3:21.0,Offensive rebound by R. Broekhoff,,22,18
75,1,3:19.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,22,18
76,1,3:19.0,Offensive rebound by M. Kleber,,22,18
77,1,3:11.0,Shooting foul by M. Wagner (drawn by S. Curry),,22,18
78,1,3:11.0,S. Curry makes free throw 1 of 3,,23,18
79,1,3:11.0,S. Curry makes free throw 2 of 3,,24,18
80,1,3:11.0,S. Curry makes free throw 3 of 3,,25,18
81,1,3:01.0,,Personal foul by C. Lee (drawn by M. Wagner),25,18
82,1,2:57.0,,B. Beal misses 2-pt jump shot from 17 ft,25,18
83,1,2:54.0,Defensive rebound by D. Wright,,25,18
