,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW ORLEANS_ACTION,LA CLIPPERS_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by K. Leonard),,3,0
1,1,11:32.0,,Turnover by J. Redick (bad pass; steal by R. McGruder),3,0
2,1,11:29.0,Shooting foul by B. Ingram (drawn by I. Zubac),,3,0
3,1,11:29.0,I. Zubac makes free throw 1 of 2,,4,0
4,1,11:29.0,I. Zubac misses free throw 2 of 2,,4,0
5,1,11:29.0,,Defensive rebound by L. Ball,4,0
6,1,11:16.0,,Turnover by B. Ingram (out of bounds lost ball),4,0
7,1,10:59.0,K. Leonard misses 3-pt jump shot from 25 ft,,4,0
8,1,10:56.0,,Defensive rebound by B. Ingram,4,0
9,1,10:44.0,,Shooting foul by I. Zubac (drawn by D. Favors),4,0
10,1,10:44.0,,D. Favors makes free throw 1 of 2,4,1
11,1,10:44.0,,D. Favors misses free throw 2 of 2,4,1
12,1,10:42.0,Defensive rebound by I. Zubac,,4,1
13,1,10:30.0,K. Leonard makes 2-pt jump shot from 11 ft (assist by P. Beverley),,6,1
14,1,10:30.0,Shooting foul by L. Ball (drawn by K. Leonard),,6,1
15,1,10:30.0,K. Leonard makes free throw 1 of 1,,7,1
16,1,10:21.0,,D. Favors makes 2-pt layup from 2 ft (assist by L. Ball),7,3
17,1,10:11.0,R. McGruder misses 3-pt jump shot from 25 ft,,7,3
18,1,10:08.0,,Defensive rebound by D. Favors,7,3
19,1,9:58.0,,D. Favors makes 2-pt hook shot from 6 ft (assist by B. Ingram),7,5
20,1,9:37.0,I. Zubac misses 2-pt jump shot from 19 ft,,7,5
21,1,9:33.0,,Defensive rebound by J. Redick,7,5
22,1,9:25.0,,B. Ingram makes 3-pt jump shot from 27 ft,7,8
23,1,9:10.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by I. Zubac),,10,8
24,1,8:56.0,,D. Favors makes 2-pt jump shot from 3 ft (assist by B. Ingram),10,10
25,1,8:38.0,K. Leonard makes 2-pt jump shot from 16 ft (assist by P. Beverley),,12,10
26,1,8:25.0,,Personal foul by R. McGruder (drawn by B. Ingram),12,10
27,1,8:18.0,,J. Redick misses 2-pt jump shot from 18 ft,12,10
28,1,8:14.0,Defensive rebound by P. Beverley,,12,10
29,1,8:08.0,P. Beverley misses 3-pt jump shot from 25 ft,,12,10
30,1,8:03.0,Offensive rebound by I. Zubac,,12,10
31,1,7:54.0,I. Zubac misses 2-pt jump shot from 17 ft,,12,10
32,1,7:51.0,,Defensive rebound by B. Ingram,12,10
33,1,7:46.0,,J. Hart misses 3-pt jump shot from 26 ft,12,10
34,1,7:42.0,Defensive rebound by R. McGruder,,12,10
35,1,7:41.0,Turnover by R. McGruder (bad pass; steal by J. Hart),,12,10
36,1,7:34.0,,Turnover by J. Redick (bad pass; steal by K. Leonard),12,10
37,1,7:32.0,K. Leonard makes 2-pt dunk from 2 ft (assist by L. Shamet),,14,10
38,1,7:14.0,,D. Favors makes 2-pt jump shot from 9 ft (assist by L. Ball),14,12
39,1,7:02.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Beverley),,17,12
40,1,6:47.0,,Turnover by L. Ball (bad pass; steal by P. Beverley),17,12
41,1,6:40.0,L. Shamet misses 3-pt jump shot from 25 ft,,17,12
42,1,6:40.0,,Defensive rebound by L. Ball,17,12
43,1,6:27.0,,Turnover by L. Ball (bad pass),17,12
44,1,6:27.0,,New Orleans full timeout,17,12
45,1,6:14.0,K. Leonard makes 2-pt jump shot from 12 ft,,19,12
46,1,5:58.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Redick),19,15
47,1,5:49.0,Turnover by P. Beverley (bad pass; steal by L. Ball),,19,15
48,1,5:48.0,,L. Ball makes 2-pt layup from 2 ft,19,17
