,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,J. Embiid makes 2-pt jump shot from 16 ft (assist by A. Horford),,2,0
1,1,11:24.0,,Shooting foul by T. Harris (drawn by S. Adams),2,0
2,1,11:24.0,,S. Adams makes free throw 1 of 2,2,1
3,1,11:24.0,,S. Adams misses free throw 2 of 2,2,1
4,1,11:21.0,Defensive rebound by J. Embiid,,2,1
5,1,11:11.0,Offensive foul by J. Richardson (drawn by T. Ferguson),,2,1
6,1,11:11.0,Turnover by J. Richardson (offensive foul),,2,1
7,1,10:56.0,,T. Ferguson misses 3-pt jump shot from 27 ft,2,1
8,1,10:53.0,Defensive rebound by T. Harris,,2,1
9,1,10:44.0,Turnover by T. Harris (bad pass; steal by T. Ferguson),,2,1
10,1,10:28.0,,C. Paul makes 2-pt layup from 2 ft (assist by T. Ferguson),2,3
11,1,10:17.0,B. Simmons makes 2-pt layup from 1 ft (assist by A. Horford),,4,3
12,1,10:05.0,,S. Adams misses 2-pt jump shot from 14 ft,4,3
13,1,10:02.0,Defensive rebound by J. Embiid,,4,3
14,1,9:52.0,T. Harris makes 3-pt jump shot from 23 ft (assist by B. Simmons),,7,3
15,1,9:36.0,,Turnover by D. Gallinari (lost ball; steal by J. Richardson),7,3
16,1,9:32.0,Turnover by B. Simmons (lost ball; steal by S. Gilgeous-Alexander),,7,3
17,1,9:25.0,,Turnover by S. Gilgeous-Alexander (bad pass),7,3
18,1,9:12.0,J. Richardson makes 2-pt jump shot from 14 ft,,9,3
19,1,9:00.0,,C. Paul misses 2-pt jump shot from 9 ft,9,3
20,1,8:55.0,,Offensive rebound by C. Paul,9,3
21,1,8:53.0,,D. Gallinari misses 3-pt jump shot from 26 ft,9,3
22,1,8:51.0,Defensive rebound by T. Harris,,9,3
23,1,8:38.0,J. Embiid makes 3-pt jump shot from 29 ft (assist by A. Horford),,12,3
24,1,8:37.0,,Oklahoma City full timeout,12,3
25,1,8:14.0,,S. Adams misses 2-pt layup from 5 ft,12,3
26,1,8:12.0,Defensive rebound by J. Embiid,,12,3
27,1,8:06.0,J. Richardson misses 3-pt jump shot from 24 ft,,12,3
28,1,8:02.0,,Defensive rebound by S. Gilgeous-Alexander,12,3
29,1,7:51.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 22 ft,12,3
30,1,7:48.0,Defensive rebound by J. Embiid,,12,3
31,1,7:45.0,Personal foul by S. Gilgeous-Alexander (drawn by B. Simmons),,12,3
