,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,J. Harris misses 3-pt jump shot from 26 ft,0,0
1,1,11:37.0,Defensive rebound by B. Hield,,0,0
2,1,11:17.0,H. Barnes misses 3-pt jump shot from 25 ft,,0,0
3,1,11:14.0,,Defensive rebound by J. Allen,0,0
4,1,11:06.0,,T. Prince misses 3-pt jump shot from 25 ft,0,0
5,1,11:02.0,Defensive rebound by R. Holmes,,0,0
6,1,10:42.0,Turnover by B. Hield (bad pass; steal by J. Allen),,0,0
7,1,10:35.0,,Turnover by T. Prince (lost ball; steal by C. Joseph),0,0
8,1,10:27.0,Offensive foul by R. Holmes (drawn by S. Dinwiddie),,0,0
9,1,10:27.0,Turnover by R. Holmes (offensive foul),,0,0
10,1,10:12.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),0,3
11,1,9:52.0,Turnover by H. Barnes (bad pass; steal by S. Dinwiddie),,0,3
12,1,9:44.0,,T. Prince misses 2-pt layup from 2 ft,0,3
13,1,9:42.0,Defensive rebound by N. Bjelica,,0,3
14,1,9:34.0,H. Barnes makes 2-pt hook shot from 5 ft (assist by C. Joseph),,2,3
15,1,9:18.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,2,3
16,1,9:15.0,Defensive rebound by R. Holmes,,2,3
17,1,9:00.0,B. Hield misses 2-pt jump shot from 14 ft,,2,3
18,1,8:56.0,,Defensive rebound by J. Harris,2,3
19,1,8:48.0,,J. Harris makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),2,6
20,1,8:29.0,R. Holmes makes 2-pt layup at rim (assist by C. Joseph),,4,6
21,1,8:19.0,,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),4,8
22,1,8:09.0,C. Joseph makes 2-pt jump shot from 15 ft,,6,8
23,1,7:50.0,,Shooting foul by C. Joseph (drawn by S. Dinwiddie),6,8
24,1,7:50.0,,S. Dinwiddie makes free throw 1 of 2,6,9
25,1,7:50.0,,S. Dinwiddie makes free throw 2 of 2,6,10
26,1,7:40.0,B. Hield misses 3-pt jump shot from 25 ft,,6,10
27,1,7:38.0,,Defensive rebound by J. Harris,6,10
28,1,7:28.0,,T. Prince misses 2-pt jump shot from 6 ft,6,10
29,1,7:26.0,,Offensive rebound by T. Prince,6,10
30,1,7:24.0,,G. Temple misses 3-pt jump shot from 25 ft,6,10
31,1,7:20.0,,Offensive rebound by J. Harris,6,10
32,1,7:16.0,,J. Harris makes 2-pt layup from 1 ft,6,12
33,1,7:04.0,H. Barnes makes 2-pt layup from 2 ft (assist by C. Joseph),,8,12
34,1,6:50.0,,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),8,14
35,1,6:30.0,H. Barnes misses 2-pt jump shot from 11 ft,,8,14
36,1,6:28.0,,Defensive rebound by J. Allen,8,14
37,1,6:19.0,,T. Prince misses 3-pt jump shot from 24 ft,8,14
38,1,6:14.0,Defensive rebound by C. Joseph,,8,14
39,1,6:05.0,B. Hield makes 2-pt layup from 3 ft,,10,14
40,1,6:05.0,,Brooklyn full timeout,10,14
41,1,6:05.0,Y. Ferrell enters the game for H. Barnes,,10,14
42,1,6:05.0,J. James enters the game for C. Joseph,,10,14
43,1,6:05.0,,D. Musa enters the game for G. Temple,10,14
44,1,5:55.0,,Offensive foul by J. Allen (drawn by Y. Ferrell),10,14
45,1,5:55.0,,Turnover by J. Allen (offensive foul),10,14
46,1,5:44.0,B. Hield makes 2-pt jump shot from 19 ft (assist by Y. Ferrell),,12,14
47,1,5:28.0,,S. Dinwiddie makes 2-pt layup from 4 ft,12,16
48,1,5:21.0,Shooting foul by S. Dinwiddie (drawn by B. Hield),,12,16
49,1,5:21.0,B. Hield makes free throw 1 of 3,,13,16
50,1,5:21.0,B. Hield makes free throw 2 of 3,,14,16
51,1,5:21.0,,I. Shumpert enters the game for J. Harris,14,16
52,1,5:21.0,B. Hield makes free throw 3 of 3,,15,16
53,1,5:07.0,,S. Dinwiddie makes 2-pt jump shot from 9 ft,15,18
54,1,4:48.0,Turnover by Y. Ferrell (traveling),,15,18
55,1,4:32.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,15,18
56,1,4:29.0,,Offensive rebound by D. Musa,15,18
57,1,4:23.0,,I. Shumpert misses 3-pt jump shot from 26 ft,15,18
58,1,4:19.0,Defensive rebound by N. Bjelica,,15,18
59,1,4:10.0,B. Hield misses 3-pt jump shot from 25 ft,,15,18
60,1,4:07.0,,Defensive rebound by I. Shumpert,15,18
61,1,4:05.0,,Turnover by T. Prince (traveling),15,18
62,1,4:05.0,D. Dedmon enters the game for R. Holmes,,15,18
63,1,4:05.0,,D. Jordan enters the game for J. Allen,15,18
64,1,4:05.0,,G. Temple enters the game for T. Prince,15,18
65,1,3:51.0,D. Dedmon misses 2-pt jump shot from 10 ft,,15,18
66,1,3:49.0,,Defensive rebound by D. Musa,15,18
67,1,3:38.0,,G. Temple misses 3-pt jump shot from 23 ft,15,18
68,1,3:34.0,,Offensive rebound by D. Jordan,15,18
69,1,3:29.0,,Turnover by I. Shumpert (bad pass; steal by N. Bjelica),15,18
70,1,3:24.0,B. Hield makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),,18,18
71,1,3:08.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by D. Musa),18,21
72,1,2:50.0,Sacramento full timeout,,18,21
73,1,2:50.0,H. Barnes enters the game for N. Bjelica,,18,21
74,1,2:50.0,,T. Pinson enters the game for S. Dinwiddie,18,21
75,1,2:48.0,Personal foul by G. Temple (drawn by B. Hield),,18,21
76,1,2:42.0,B. Hield makes 2-pt layup from 1 ft (assist by J. James),,20,21
77,1,2:32.0,,T. Pinson misses 2-pt layup from 2 ft,20,21
78,1,2:29.0,Defensive rebound by H. Barnes,,20,21
