,QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
0,1,11:36.0,D. Hunter misses 2-pt jump shot from 14 ft,,0,0
1,1,11:34.0,,Defensive rebound by S. Napier,0,0
2,1,11:22.0,,Turnover by S. Napier (bad pass; steal by J. Teague),0,0
3,1,11:17.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by J. Teague),,3,0
4,1,11:04.0,,B. Beal makes 3-pt jump shot from 26 ft,3,3
5,1,10:52.0,D. Dedmon misses 2-pt hook shot from 7 ft,,3,3
6,1,10:49.0,,Defensive rebound by T. Bryant,3,3
7,1,10:30.0,,T. Bryant misses 2-pt jump shot from 6 ft,3,3
8,1,10:28.0,Defensive rebound by J. Collins,,3,3
9,1,10:26.0,Shooting foul by J. Robinson (drawn by J. Collins),,3,3
10,1,10:26.0,J. Collins makes free throw 1 of 2,,4,3
11,1,10:26.0,J. Collins makes free throw 2 of 2,,5,3
12,1,10:15.0,,Shooting foul by J. Collins (drawn by T. Bryant),5,3
13,1,10:15.0,,T. Bryant makes free throw 1 of 2,5,4
14,1,10:15.0,,T. Bryant misses free throw 2 of 2,5,4
15,1,10:11.0,Defensive rebound by D. Dedmon,,5,4
16,1,10:01.0,J. Collins misses 2-pt layup from 3 ft (block by B. Beal),,5,4
17,1,9:59.0,,Defensive rebound by B. Beal,5,4
18,1,9:52.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by S. Napier),5,7
19,1,9:33.0,D. Dedmon misses 2-pt layup from 5 ft,,5,7
20,1,9:31.0,,Defensive rebound by S. Napier,5,7
21,1,9:19.0,,Turnover by B. Beal (lost ball; steal by D. Dedmon),5,7
22,1,9:11.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by D. Hunter),,8,7
23,1,8:48.0,,Turnover by S. Napier (bad pass; steal by D. Dedmon),8,7
24,1,8:29.0,J. Teague misses 2-pt jump shot from 6 ft,,8,7
25,1,8:29.0,,Defensive rebound by Team,8,7
26,1,8:21.0,,J. Robinson makes 3-pt jump shot from 25 ft (assist by S. Napier),8,10
27,1,8:08.0,K. Huerter misses 3-pt jump shot from 24 ft,,8,10
28,1,8:05.0,,Defensive rebound by J. Robinson,8,10
29,1,7:50.0,,Turnover by S. Napier (bad pass; steal by K. Huerter),8,10
30,1,7:44.0,J. Collins makes 2-pt dunk from 3 ft (assist by J. Teague),,10,10
31,1,7:24.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by S. Napier),10,13
32,1,7:08.0,D. Dedmon makes 3-pt jump shot from 28 ft,,13,13
33,1,6:52.0,,Shooting foul by J. Collins (drawn by T. Bryant),13,13
34,1,6:52.0,,Washington full timeout,13,13
35,1,6:52.0,B. Fernando enters the game for J. Collins,,13,13
36,1,6:52.0,C. Reddish enters the game for D. Dedmon,,13,13
37,1,6:52.0,,T. Bryant makes free throw 1 of 2,13,14
38,1,6:52.0,,T. Bryant makes free throw 2 of 2,13,15
39,1,6:43.0,K. Huerter misses 3-pt jump shot from 27 ft,,13,15
40,1,6:40.0,Offensive rebound by D. Hunter,,13,15
41,1,6:40.0,D. Hunter makes 2-pt jump shot from 16 ft,,15,15
42,1,6:26.0,,B. Beal misses 3-pt jump shot from 25 ft,15,15
43,1,6:23.0,Defensive rebound by D. Hunter,,15,15
44,1,6:21.0,Turnover by C. Reddish (out of bounds lost ball),,15,15
45,1,6:21.0,T. Graham enters the game for J. Teague,,15,15
46,1,6:06.0,,S. Napier misses 3-pt jump shot from 26 ft (block by K. Huerter),15,15
47,1,6:03.0,,Offensive rebound by Team,15,15
48,1,6:03.0,,M. Wagner enters the game for T. Bryant,15,15
49,1,6:00.0,,S. Napier misses 3-pt jump shot from 23 ft,15,15
50,1,5:57.0,Defensive rebound by D. Hunter,,15,15
51,1,5:36.0,T. Graham misses 3-pt jump shot from 45 ft,,15,15
52,1,5:35.0,Offensive rebound by Team,,15,15
53,1,5:35.0,Turnover by Team (shot clock),,15,15
54,1,5:35.0,,T. Brown enters the game for J. Robinson,15,15
55,1,5:23.0,,Turnover by S. Napier (bad pass),15,15
56,1,5:09.0,K. Huerter makes 2-pt jump shot from 13 ft,,17,15
57,1,5:09.0,,D. Bertāns enters the game for R. Hachimura,17,15
58,1,4:50.0,,Shooting foul by K. Huerter (drawn by S. Napier),17,15
59,1,4:50.0,,S. Napier makes free throw 1 of 2,17,16
60,1,4:50.0,B. Goodwin enters the game for K. Huerter,,17,16
61,1,4:50.0,,S. Napier makes free throw 2 of 2,17,17
62,1,4:32.0,B. Fernando makes 2-pt layup from 3 ft,,19,17
63,1,4:19.0,,M. Wagner makes 2-pt dunk at rim (assist by B. Beal),19,19
64,1,4:01.0,T. Graham misses 3-pt jump shot from 24 ft,,19,19
65,1,3:58.0,,Defensive rebound by T. Brown,19,19
66,1,3:55.0,,Shooting foul by B. Fernando (drawn by T. Brown),19,19
67,1,3:55.0,,T. Brown makes free throw 1 of 2,19,20
68,1,3:55.0,V. Carter enters the game for D. Hunter,,19,20
69,1,3:55.0,,I. Bonga enters the game for S. Napier,19,20
70,1,3:55.0,,T. Brown makes free throw 2 of 2,19,21
71,1,3:42.0,Personal foul by D. Bertāns (drawn by B. Fernando),,19,21
72,1,3:35.0,Offensive foul by T. Graham (drawn by M. Wagner),,19,21
73,1,3:35.0,Turnover by T. Graham (offensive foul),,19,21
74,1,3:23.0,,Offensive foul by M. Wagner (drawn by C. Reddish),19,21
75,1,3:23.0,,Turnover by M. Wagner (offensive foul),19,21
76,1,3:10.0,C. Reddish makes 2-pt jump shot from 18 ft,,21,21
77,1,3:00.0,,T. Brown makes 2-pt layup from 2 ft (assist by B. Beal),21,23
78,1,2:44.0,C. Reddish makes 2-pt jump shot from 20 ft,,23,23
79,1,2:29.0,,M. Wagner makes 2-pt layup from 2 ft,23,25
80,1,2:14.0,C. Reddish makes 3-pt jump shot from 26 ft,,26,25
81,1,1:58.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Brown),26,27
82,1,1:47.0,C. Reddish makes 3-pt jump shot from 30 ft (assist by B. Goodwin),,29,27
83,1,1:29.0,,I. Bonga makes 2-pt layup at rim,29,29
