,QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
0,1,11:41.0,S. Mykhailiuk misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,,Defensive rebound by R. Gobert,0,0
2,1,11:21.0,,B. Bogdanović misses 2-pt layup from 3 ft,0,0
3,1,11:20.0,,Offensive rebound by Team,0,0
4,1,11:12.0,,Turnover by B. Bogdanović (bad pass; steal by A. Drummond),0,0
5,1,10:59.0,A. Drummond misses 2-pt hook shot from 7 ft,,0,0
6,1,10:56.0,,Defensive rebound by R. Gobert,0,0
7,1,10:44.0,,J. Ingles misses 3-pt jump shot from 25 ft,0,0
8,1,10:41.0,Defensive rebound by A. Drummond,,0,0
9,1,10:29.0,T. Frazier makes 2-pt jump shot from 11 ft (assist by A. Drummond),,2,0
10,1,10:14.0,,D. Mitchell misses 2-pt jump shot from 18 ft,2,0
11,1,10:11.0,Defensive rebound by A. Drummond,,2,0
12,1,9:57.0,T. Snell makes 2-pt layup from 4 ft (assist by T. Frazier),,4,0
13,1,9:45.0,,Turnover by J. Ingles (bad pass),4,0
14,1,9:25.0,Turnover by T. Frazier (bad pass; steal by R. Gobert),,4,0
15,1,9:22.0,,Offensive foul by D. Mitchell (drawn by T. Frazier),4,0
16,1,9:22.0,,Turnover by D. Mitchell (offensive foul),4,0
17,1,9:08.0,A. Drummond misses 2-pt hook shot from 4 ft,,4,0
18,1,9:07.0,,Defensive rebound by R. Gobert,4,0
19,1,9:01.0,,Shooting foul by A. Drummond (drawn by J. Ingles),4,0
20,1,9:01.0,,J. Ingles misses free throw 1 of 2,4,0
21,1,9:01.0,,Offensive rebound by Team,4,0
22,1,9:01.0,,J. Ingles makes free throw 2 of 2,4,1
23,1,8:40.0,A. Drummond misses 2-pt layup from 2 ft,,4,1
24,1,8:37.0,,Defensive rebound by D. Mitchell,4,1
25,1,8:34.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,4,1
26,1,8:32.0,Defensive rebound by T. Frazier,,4,1
27,1,8:27.0,T. Frazier makes 2-pt layup from 2 ft,,6,1
28,1,8:20.0,,Utah full timeout,6,1
29,1,8:07.0,,Shooting foul by T. Snell (drawn by B. Bogdanović),6,1
30,1,8:07.0,,B. Bogdanović makes free throw 1 of 2,6,2
31,1,8:07.0,,B. Bogdanović makes free throw 2 of 2,6,3
32,1,7:54.0,,Violation by Team (kicked ball),6,3
33,1,7:42.0,T. Frazier misses 2-pt jump shot from 10 ft,,6,3
34,1,7:39.0,Offensive rebound by T. Frazier,,6,3
35,1,7:37.0,T. Snell misses 3-pt jump shot from 24 ft,,6,3
36,1,7:35.0,,Defensive rebound by R. Gobert,6,3
37,1,7:32.0,,Shooting foul by S. Mykhailiuk (drawn by D. Mitchell),6,3
38,1,7:32.0,,D. Mitchell makes free throw 1 of 2,6,4
39,1,7:32.0,,D. Mitchell makes free throw 2 of 2,6,5
40,1,7:11.0,S. Mykhailiuk misses 2-pt layup from 1 ft (block by R. Gobert),,6,5
41,1,7:09.0,,Defensive rebound by R. Gobert,6,5
42,1,6:59.0,,R. Gobert makes 2-pt layup from 3 ft (assist by J. Ingles),6,7
43,1,6:47.0,Personal foul by B. Bogdanović (drawn by T. Frazier),,6,7
44,1,6:34.0,B. Brown misses 2-pt jump shot from 18 ft,,6,7
45,1,6:31.0,,Defensive rebound by R. Gobert,6,7
46,1,6:20.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by B. Bogdanović),6,9
47,1,6:12.0,Detroit full timeout,,6,9
48,1,6:12.0,D. Rose enters the game for T. Frazier,,6,9
49,1,6:12.0,C. Wood enters the game for T. Snell,,6,9
50,1,6:12.0,,E. Mudiay enters the game for D. Mitchell,6,9
51,1,6:07.0,D. Rose makes 2-pt layup from 2 ft,,8,9
52,1,6:07.0,Shooting foul by R. Gobert (drawn by D. Rose),,8,9
53,1,6:07.0,D. Rose makes free throw 1 of 1,,9,9
54,1,5:55.0,,Turnover by E. Mudiay (bad pass; steal by A. Drummond),9,9
55,1,5:41.0,A. Drummond makes 2-pt hook shot from 2 ft,,11,9
56,1,5:28.0,,Turnover by R. Gobert (bad pass; steal by S. Mykhailiuk),11,9
57,1,5:21.0,C. Wood misses 2-pt layup from 3 ft,,11,9
58,1,5:19.0,,Defensive rebound by J. Ingles,11,9
59,1,5:06.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,11,9
60,1,5:05.0,,Offensive rebound by R. Gobert,11,9
61,1,5:05.0,,R. Gobert misses 2-pt layup from 1 ft,11,9
62,1,5:05.0,,Offensive rebound by Team,11,9
63,1,4:56.0,,B. Bogdanović misses 2-pt jump shot from 5 ft,11,9
64,1,4:55.0,Defensive rebound by A. Drummond,,11,9
65,1,4:46.0,D. Rose misses 3-pt jump shot from 25 ft,,11,9
66,1,4:43.0,,Defensive rebound by J. Ingles,11,9
67,1,4:38.0,,Personal foul by D. Rose (drawn by B. Bogdanović),11,9
68,1,4:38.0,L. Galloway enters the game for B. Brown,,11,9
69,1,4:38.0,,J. Clarkson enters the game for J. Ingles,11,9
70,1,4:38.0,,G. Niang enters the game for R. O'Neale,11,9
71,1,4:29.0,,J. Clarkson makes 2-pt jump shot from 6 ft,11,11
72,1,4:08.0,D. Rose makes 2-pt jump shot from 12 ft,,13,11
73,1,3:50.0,,Turnover by E. Mudiay (step out of bounds),13,11
74,1,3:37.0,S. Mykhailiuk makes 3-pt jump shot from 25 ft (assist by D. Rose),,16,11
75,1,3:13.0,,B. Bogdanović makes 2-pt jump shot from 5 ft,16,13
76,1,2:58.0,D. Rose makes 2-pt jump shot from 10 ft,,18,13
77,1,2:44.0,,E. Mudiay misses 2-pt jump shot from 18 ft,18,13
78,1,2:42.0,Defensive rebound by A. Drummond,,18,13
79,1,2:32.0,Personal foul by G. Niang (drawn by C. Wood),,18,13
80,1,2:32.0,B. Brown enters the game for S. Mykhailiuk,,18,13
81,1,2:32.0,,T. Bradley enters the game for B. Bogdanović,18,13
82,1,2:32.0,,D. Mitchell enters the game for R. Gobert,18,13
83,1,2:24.0,Personal foul by T. Bradley (drawn by A. Drummond),,18,13
84,1,2:24.0,Away from play foul by G. Niang (drawn by L. Galloway),,18,13
85,1,2:24.0,L. Galloway makes free throw 1 of 1,,19,13
86,1,2:20.0,D. Rose misses 2-pt jump shot from 14 ft,,19,13
