,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by K. Leonard),0,3
1,1,11:21.0,A. Gordon makes 2-pt jump shot from 16 ft,,2,3
2,1,11:08.0,,I. Zubac makes 2-pt jump shot from 16 ft (assist by P. Beverley),2,5
3,1,10:54.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by E. Fournier),,5,5
4,1,10:38.0,,K. Leonard makes 2-pt jump shot from 22 ft,5,7
5,1,10:24.0,M. Fultz misses 2-pt layup from 2 ft (block by I. Zubac),,5,7
6,1,10:24.0,Offensive rebound by Team,,5,7
7,1,10:16.0,E. Fournier makes 2-pt jump shot from 18 ft,,7,7
8,1,9:55.0,,K. Leonard makes 2-pt jump shot from 7 ft,7,9
9,1,9:42.0,A. Gordon makes 2-pt jump shot from 15 ft (assist by M. Fultz),,9,9
10,1,9:30.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by P. Beverley),9,12
11,1,9:16.0,E. Fournier makes 2-pt layup from 1 ft (assist by M. Fultz),,11,12
12,1,9:04.0,,Turnover by K. Leonard (bad pass),11,12
13,1,8:45.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by A. Gordon),,13,12
14,1,8:29.0,,K. Leonard misses 2-pt jump shot from 16 ft,13,12
15,1,8:25.0,Defensive rebound by K. Birch,,13,12
16,1,8:19.0,M. Fultz misses 2-pt jump shot from 23 ft,,13,12
17,1,8:15.0,,Defensive rebound by M. Harkless,13,12
18,1,8:13.0,,Personal foul by M. Fultz (drawn by P. Beverley),13,12
19,1,8:06.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Beverley),13,15
20,1,7:49.0,M. Fultz misses 3-pt jump shot from 25 ft,,13,15
21,1,7:46.0,,Defensive rebound by M. Harkless,13,15
22,1,7:41.0,,L. Shamet misses 3-pt jump shot from 25 ft,13,15
23,1,7:39.0,Defensive rebound by K. Birch,,13,15
24,1,7:31.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by A. Gordon),,16,15
25,1,7:07.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by P. Beverley),16,18
26,1,6:50.0,E. Fournier misses 2-pt jump shot from 19 ft,,16,18
27,1,6:46.0,,Defensive rebound by M. Harkless,16,18
28,1,6:35.0,,Turnover by K. Leonard (bad pass),16,18
29,1,6:35.0,,LA Clippers full timeout,16,18
30,1,6:35.0,,Instant Replay (Request: Stands),16,18
31,1,6:23.0,N. Vučević misses 2-pt jump shot from 5 ft,,16,18
32,1,6:21.0,,Defensive rebound by M. Harkless,16,18
33,1,6:15.0,,M. Harkless misses 2-pt layup from 2 ft,16,18
34,1,6:12.0,Defensive rebound by N. Vučević,,16,18
35,1,6:06.0,M. Fultz misses 2-pt layup from 1 ft,,16,18
36,1,6:06.0,Offensive rebound by Team,,16,18
37,1,6:06.0,W. Iwundu enters the game for K. Birch,,16,18
38,1,6:06.0,T. Ross enters the game for M. Fultz,,16,18
39,1,6:01.0,Shooting foul by P. Beverley (drawn by T. Ross),,16,18
40,1,6:01.0,T. Ross makes free throw 1 of 2,,17,18
41,1,6:01.0,T. Ross makes free throw 2 of 2,,18,18
42,1,5:41.0,,K. Leonard makes 2-pt jump shot from 18 ft,18,20
43,1,5:28.0,E. Fournier misses 2-pt jump shot from 18 ft,,18,20
44,1,5:27.0,,Defensive rebound by K. Leonard,18,20
45,1,5:27.0,,Personal foul by E. Fournier (drawn by K. Leonard),18,20
46,1,5:08.0,,I. Zubac makes 2-pt jump shot from 4 ft (assist by P. Beverley),18,22
47,1,4:56.0,W. Iwundu misses 3-pt jump shot from 25 ft,,18,22
