,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:47.0,,D. Garland misses 2-pt layup at rim,0,0
1,1,11:47.0,,Offensive rebound by Team,0,0
2,1,11:45.0,,Turnover by C. Osman (bad pass; steal by C. Zeller),0,0
3,1,11:32.0,B. Biyombo misses 2-pt jump shot from 12 ft,,0,0
4,1,11:25.0,,Defensive rebound by C. Osman,0,0
5,1,11:19.0,,C. Osman makes 2-pt layup from 1 ft,0,2
6,1,11:01.0,M. Bridges misses 2-pt jump shot from 7 ft,,0,2
7,1,10:59.0,,Defensive rebound by K. Love,0,2
8,1,10:47.0,,K. Love makes 2-pt jump shot from 13 ft (assist by D. Garland),0,4
9,1,10:30.0,C. Zeller makes 2-pt dunk from 2 ft (assist by M. Bridges),,2,4
10,1,10:14.0,,D. Garland makes 2-pt jump shot from 11 ft,2,6
11,1,10:02.0,Turnover by D. Graham (bad pass; steal by C. Sexton),,2,6
12,1,10:02.0,,Personal take foul by D. Graham (drawn by C. Sexton),2,6
13,1,9:53.0,,Turnover by C. Sexton (bad pass; steal by T. Rozier),2,6
14,1,9:44.0,M. Bridges misses 3-pt jump shot from 24 ft,,2,6
15,1,9:42.0,Offensive rebound by B. Biyombo,,2,6
16,1,9:41.0,M. Bridges makes 2-pt dunk from 2 ft (assist by B. Biyombo),,4,6
17,1,9:27.0,,C. Sexton makes 2-pt jump shot from 6 ft,4,8
18,1,9:13.0,Personal foul by C. Sexton (drawn by D. Graham),,4,8
19,1,9:07.0,D. Graham makes 3-pt jump shot from 27 ft (assist by C. Zeller),,7,8
20,1,8:46.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by D. Garland),7,11
21,1,8:25.0,Turnover by T. Rozier (lost ball; steal by C. Osman),,7,11
22,1,8:21.0,,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),7,13
23,1,8:21.0,Charlotte full timeout,,7,13
24,1,8:10.0,D. Graham misses 2-pt jump shot from 23 ft,,7,13
25,1,8:07.0,,Defensive rebound by K. Love,7,13
26,1,7:52.0,,T. Thompson makes 2-pt hook shot from 9 ft,7,15
27,1,7:33.0,M. Bridges makes 2-pt layup from 1 ft,,9,15
28,1,7:22.0,,C. Sexton makes 2-pt jump shot from 9 ft,9,17
29,1,7:07.0,T. Rozier misses 3-pt jump shot from 26 ft,,9,17
30,1,7:02.0,Offensive rebound by C. Zeller,,9,17
31,1,7:01.0,Turnover by C. Zeller (bad pass; steal by C. Osman),,9,17
32,1,6:53.0,,C. Osman misses 3-pt jump shot from 29 ft,9,17
33,1,6:49.0,,Offensive rebound by T. Thompson,9,17
34,1,6:40.0,,D. Garland misses 3-pt jump shot from 28 ft,9,17
35,1,6:36.0,Defensive rebound by B. Biyombo,,9,17
36,1,6:23.0,Turnover by C. Zeller (lost ball; steal by T. Thompson),,9,17
37,1,6:19.0,,C. Osman makes 2-pt layup at rim (assist by D. Garland),9,19
38,1,6:00.0,C. Zeller misses 2-pt jump shot from 5 ft,,9,19
39,1,5:55.0,Offensive rebound by B. Biyombo,,9,19
40,1,5:55.0,B. Biyombo makes 2-pt layup at rim,,11,19
