,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
0,1,11:43.0,J. Harris misses 2-pt jump shot from 23 ft,,0,0
1,1,11:39.0,,Defensive rebound by L. Nance,0,0
2,1,11:21.0,,D. Garland misses 2-pt jump shot from 8 ft,0,0
3,1,11:19.0,Defensive rebound by J. Allen,,0,0
4,1,11:10.0,Turnover by S. Dinwiddie (bad pass; steal by C. Osman),,0,0
5,1,11:02.0,,C. Sexton makes 2-pt layup from 1 ft,0,2
6,1,10:48.0,T. Prince makes 2-pt jump shot from 14 ft,,2,2
7,1,10:21.0,,C. Osman makes 3-pt jump shot from 30 ft (assist by L. Nance),2,5
8,1,10:00.0,J. Harris makes 2-pt layup from 1 ft (assist by T. Prince),,4,5
9,1,9:49.0,,Turnover by T. Thompson (bad pass),4,5
10,1,9:26.0,S. Dinwiddie makes 2-pt layup from 1 ft,,6,5
11,1,9:13.0,,D. Garland makes 2-pt layup from 2 ft,6,7
12,1,9:01.0,J. Allen makes 2-pt dunk from 1 ft (assist by T. Prince),,8,7
13,1,8:46.0,,C. Sexton misses 3-pt jump shot from 26 ft,8,7
14,1,8:44.0,Defensive rebound by J. Allen,,8,7
15,1,8:33.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,8,7
16,1,8:30.0,,Defensive rebound by C. Osman,8,7
17,1,8:25.0,,C. Sexton misses 2-pt layup from 2 ft,8,7
18,1,8:20.0,Defensive rebound by T. Prince,,8,7
19,1,8:19.0,T. Prince misses 3-pt jump shot from 26 ft,,8,7
20,1,8:15.0,,Defensive rebound by C. Osman,8,7
21,1,8:07.0,,L. Nance misses 3-pt jump shot from 26 ft,8,7
22,1,8:04.0,Defensive rebound by J. Allen,,8,7
23,1,7:58.0,J. Harris makes 2-pt layup at rim (assist by G. Temple),,10,7
24,1,7:41.0,,T. Thompson makes 2-pt hook shot from 10 ft,10,9
25,1,7:16.0,T. Prince misses 2-pt jump shot from 13 ft,,10,9
26,1,7:09.0,Offensive rebound by J. Allen,,10,9
27,1,7:09.0,J. Allen makes 2-pt layup from 1 ft,,12,9
28,1,6:52.0,,C. Sexton makes 2-pt jump shot from 12 ft (assist by T. Thompson),12,11
29,1,6:38.0,J. Harris makes 3-pt jump shot from 25 ft (assist by T. Prince),,15,11
30,1,6:29.0,,Personal foul by G. Temple (drawn by D. Garland),15,11
31,1,6:29.0,,Cleveland full timeout,15,11
32,1,6:29.0,D. Musa enters the game for G. Temple,,15,11
33,1,6:29.0,,K. Porter enters the game for L. Nance,15,11
34,1,6:20.0,,C. Sexton misses 2-pt jump shot from 13 ft,15,11
35,1,6:17.0,,Offensive rebound by C. Sexton,15,11
36,1,6:15.0,,C. Sexton makes 2-pt layup from 2 ft,15,13
37,1,6:06.0,Turnover by D. Musa (step out of bounds),,15,13
38,1,5:52.0,,C. Sexton misses 3-pt jump shot from 25 ft,15,13
39,1,5:50.0,Defensive rebound by T. Prince,,15,13
40,1,5:46.0,J. Harris misses 3-pt jump shot from 25 ft,,15,13
41,1,5:43.0,,Defensive rebound by T. Thompson,15,13
42,1,5:22.0,,T. Thompson misses 2-pt hook shot from 12 ft,15,13
43,1,5:20.0,Defensive rebound by J. Allen,,15,13
44,1,5:14.0,S. Dinwiddie misses 2-pt layup from 1 ft,,15,13
45,1,5:09.0,,Defensive rebound by K. Porter,15,13
46,1,5:06.0,,C. Osman makes 2-pt layup from 1 ft (assist by K. Porter),15,15
47,1,5:06.0,Brooklyn full timeout,,15,15
48,1,5:06.0,I. Shumpert enters the game for J. Harris,,15,15
49,1,5:06.0,,J. Clarkson enters the game for D. Garland,15,15
50,1,4:52.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,18,15
51,1,4:26.0,,C. Sexton misses 2-pt jump shot from 9 ft,18,15
52,1,4:22.0,Defensive rebound by D. Musa,,18,15
53,1,4:19.0,T. Prince makes 2-pt dunk at rim (assist by D. Musa),,20,15
54,1,4:02.0,,Shooting foul by T. Prince (drawn by T. Thompson),20,15
55,1,4:02.0,,T. Thompson misses free throw 1 of 2,20,15
56,1,4:02.0,,Offensive rebound by Team,20,15
57,1,4:02.0,G. Temple enters the game for T. Prince,,20,15
58,1,4:02.0,,A. McKinnie enters the game for C. Osman,20,15
59,1,4:02.0,,T. Thompson misses free throw 2 of 2,20,15
60,1,4:00.0,Defensive rebound by J. Allen,,20,15
61,1,3:50.0,S. Dinwiddie misses 2-pt jump shot from 14 ft,,20,15
62,1,3:47.0,,Defensive rebound by K. Porter,20,15
63,1,3:39.0,,Turnover by K. Porter (bad pass; steal by I. Shumpert),20,15
64,1,3:29.0,I. Shumpert misses 3-pt jump shot from 26 ft,,20,15
65,1,3:26.0,,Defensive rebound by T. Thompson,20,15
66,1,3:25.0,,Personal foul by D. Musa (drawn by J. Clarkson),20,15
67,1,3:25.0,N. Claxton enters the game for J. Allen,,20,15
68,1,3:25.0,,M. Dellavedova enters the game for C. Sexton,20,15
69,1,3:25.0,,L. Nance enters the game for T. Thompson,20,15
70,1,3:17.0,,Shooting foul by I. Shumpert (drawn by J. Clarkson),20,15
71,1,3:17.0,,J. Clarkson makes free throw 1 of 2,20,16
72,1,3:17.0,,J. Clarkson makes free throw 2 of 2,20,17
73,1,3:01.0,D. Musa misses 3-pt jump shot from 28 ft,,20,17
74,1,2:58.0,,Defensive rebound by M. Dellavedova,20,17
75,1,2:43.0,,A. McKinnie misses 2-pt jump shot from 10 ft,20,17
76,1,2:40.0,Defensive rebound by I. Shumpert,,20,17
77,1,2:30.0,I. Shumpert misses 2-pt jump shot from 18 ft,,20,17
78,1,2:27.0,,Defensive rebound by A. McKinnie,20,17
79,1,2:20.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),20,20
80,1,2:05.0,G. Temple makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,23,20
81,1,1:45.0,,K. Porter makes 2-pt dunk from 1 ft (assist by M. Dellavedova),23,22
82,1,1:34.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,23,22
83,1,1:33.0,,Defensive rebound by J. Clarkson,23,22
84,1,1:32.0,,Personal take foul by S. Dinwiddie (drawn by M. Dellavedova),23,22
85,1,1:32.0,,M. Dellavedova makes free throw 1 of 2,23,23
86,1,1:32.0,T. Pinson enters the game for S. Dinwiddie,,23,23
87,1,1:32.0,,M. Dellavedova makes free throw 2 of 2,23,24
88,1,1:23.0,Personal foul by J. Clarkson (drawn by T. Pinson),,23,24
89,1,1:13.0,G. Temple misses 3-pt jump shot from 26 ft,,23,24
90,1,1:11.0,Offensive rebound by Team,,23,24
91,1,0:59.0,T. Pinson misses 3-pt jump shot from 32 ft,,23,24
92,1,0:58.0,Offensive rebound by Team,,23,24
93,1,0:57.0,Turnover by Team (shot clock),,23,24
