,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:45.0,A. Gordon makes 2-pt dunk from 2 ft (assist by M. Fultz),,2,0
1,1,11:26.0,,C. Osman misses 3-pt jump shot from 26 ft,2,0
2,1,11:22.0,Defensive rebound by M. Fultz,,2,0
3,1,11:19.0,M. Fultz makes 2-pt layup from 3 ft,,4,0
4,1,11:02.0,,C. Osman makes 3-pt jump shot from 27 ft (assist by T. Thompson),4,3
5,1,10:40.0,E. Fournier makes 3-pt jump shot from 26 ft,,7,3
6,1,10:28.0,,C. Sexton makes 2-pt layup from 1 ft,7,5
7,1,10:15.0,E. Fournier misses 2-pt jump shot from 8 ft,,7,5
8,1,10:09.0,,Defensive rebound by T. Thompson,7,5
9,1,10:00.0,,T. Thompson makes 2-pt hook shot from 6 ft,7,7
10,1,9:45.0,A. Gordon misses 2-pt jump shot from 12 ft,,7,7
11,1,9:42.0,,Defensive rebound by T. Thompson,7,7
12,1,9:21.0,,T. Thompson misses 2-pt hook shot from 4 ft,7,7
13,1,9:17.0,Defensive rebound by M. Fultz,,7,7
14,1,9:11.0,K. Birch misses 2-pt layup from 6 ft,,7,7
15,1,9:07.0,,Defensive rebound by C. Osman,7,7
16,1,9:00.0,,D. Garland makes 3-pt jump shot from 27 ft (assist by C. Osman),7,10
17,1,8:46.0,M. Fultz makes 2-pt jump shot from 7 ft,,9,10
18,1,8:20.0,,L. Nance misses 3-pt jump shot from 24 ft,9,10
19,1,8:17.0,Defensive rebound by A. Gordon,,9,10
20,1,8:08.0,Turnover by J. Isaac (bad pass),,9,10
21,1,8:00.0,,D. Garland misses 3-pt jump shot from 27 ft,9,10
22,1,7:55.0,Defensive rebound by E. Fournier,,9,10
23,1,7:49.0,Offensive foul by K. Birch (drawn by C. Sexton),,9,10
24,1,7:49.0,Turnover by K. Birch (offensive foul),,9,10
25,1,7:32.0,,C. Sexton misses 3-pt jump shot from 25 ft,9,10
26,1,7:29.0,Defensive rebound by Team,,9,10
27,1,7:16.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by K. Birch),,12,10
28,1,7:04.0,,D. Garland misses 2-pt jump shot from 13 ft,12,10
29,1,7:03.0,Defensive rebound by Team,,12,10
30,1,6:52.0,Personal foul by D. Garland (drawn by M. Fultz),,12,10
31,1,6:52.0,,Cleveland full timeout,12,10
32,1,6:46.0,A. Gordon misses 2-pt jump shot from 18 ft,,12,10
33,1,6:42.0,Offensive rebound by K. Birch,,12,10
34,1,6:38.0,E. Fournier misses 3-pt jump shot from 26 ft,,12,10
35,1,6:36.0,,Defensive rebound by D. Garland,12,10
36,1,6:24.0,,Turnover by C. Sexton (lost ball; steal by M. Fultz),12,10
37,1,6:16.0,M. Fultz misses 2-pt jump shot from 14 ft,,12,10
38,1,6:14.0,,Defensive rebound by L. Nance,12,10
39,1,6:02.0,,T. Thompson makes 2-pt dunk from 2 ft (assist by L. Nance),12,12
40,1,5:52.0,Turnover by M. Fultz (out of bounds lost ball),,12,12
41,1,5:52.0,T. Ross enters the game for A. Gordon,,12,12
42,1,5:33.0,,T. Thompson makes 2-pt hook shot from 7 ft,12,14
43,1,5:18.0,Turnover by K. Birch (lost ball; steal by T. Thompson),,12,14
44,1,5:10.0,,C. Osman misses 2-pt layup from 2 ft (block by J. Isaac),12,14
45,1,5:09.0,,Offensive rebound by T. Thompson,12,14
46,1,5:01.0,,Turnover by D. Garland (bad pass; steal by J. Isaac),12,14
47,1,4:53.0,E. Fournier makes 2-pt jump shot from 6 ft (assist by T. Ross),,14,14
48,1,4:53.0,Shooting foul by D. Garland (drawn by E. Fournier),,14,14
49,1,4:53.0,D. Augustin enters the game for M. Fultz,,14,14
50,1,4:53.0,,J. Clarkson enters the game for D. Garland,14,14
51,1,4:53.0,,J. Henson enters the game for T. Thompson,14,14
52,1,4:53.0,E. Fournier misses free throw 1 of 1,,14,14
53,1,4:52.0,,Defensive rebound by J. Henson,14,14
54,1,4:32.0,,Turnover by C. Osman (bad pass; steal by T. Ross),14,14
55,1,4:16.0,J. Isaac misses 2-pt jump shot from 11 ft,,14,14
56,1,4:10.0,,Defensive rebound by L. Nance,14,14
57,1,4:04.0,,C. Osman misses 3-pt jump shot from 28 ft,14,14
58,1,3:59.0,Defensive rebound by J. Isaac,,14,14
59,1,3:51.0,K. Birch makes 2-pt layup from 9 ft (assist by D. Augustin),,16,14
60,1,3:51.0,Shooting foul by J. Henson (drawn by K. Birch),,16,14
61,1,3:51.0,M. Carter-Williams enters the game for E. Fournier,,16,14
62,1,3:51.0,,K. Porter enters the game for C. Osman,16,14
63,1,3:51.0,K. Birch makes free throw 1 of 1,,17,14
64,1,3:34.0,,K. Porter makes 3-pt jump shot from 24 ft (assist by J. Clarkson),17,17
