,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
0,1,11:44.0,J. Richardson makes 2-pt jump shot from 19 ft,,2,0
1,1,11:26.0,,T. Hardaway misses 2-pt jump shot from 13 ft,2,0
2,1,11:24.0,Defensive rebound by T. Harris,,2,0
3,1,11:12.0,T. Harris misses 3-pt jump shot from 27 ft,,2,0
4,1,11:10.0,Offensive rebound by B. Simmons,,2,0
5,1,11:08.0,J. Richardson misses 3-pt jump shot from 26 ft,,2,0
6,1,11:08.0,,Defensive rebound by D. Powell,2,0
7,1,10:56.0,,D. Powell misses 3-pt jump shot from 25 ft,2,0
8,1,10:53.0,Defensive rebound by M. Scott,,2,0
9,1,10:41.0,A. Horford misses 2-pt hook shot from 5 ft,,2,0
10,1,10:39.0,Offensive rebound by A. Horford,,2,0
11,1,10:38.0,Shooting foul by D. Powell (drawn by A. Horford),,2,0
12,1,10:38.0,A. Horford makes free throw 1 of 2,,3,0
13,1,10:38.0,A. Horford misses free throw 2 of 2,,3,0
14,1,10:36.0,,Defensive rebound by L. Dončić,3,0
15,1,10:26.0,,D. Powell makes 2-pt layup from 1 ft,3,2
16,1,10:12.0,M. Scott misses 3-pt jump shot from 25 ft,,3,2
17,1,10:08.0,,Defensive rebound by T. Hardaway,3,2
18,1,10:04.0,,Personal foul by B. Simmons (drawn by L. Dončić),3,2
19,1,9:57.0,,T. Hardaway makes 2-pt jump shot from 7 ft (assist by M. Kleber),3,4
20,1,9:37.0,T. Harris misses 2-pt layup from 1 ft,,3,4
21,1,9:35.0,,Defensive rebound by D. Finney-Smith,3,4
22,1,9:29.0,,Turnover by D. Finney-Smith (bad pass; steal by B. Simmons),3,4
23,1,9:26.0,B. Simmons makes 2-pt dunk from 1 ft,,5,4
24,1,9:11.0,,Turnover by L. Dončić (bad pass; steal by A. Horford),5,4
25,1,8:59.0,T. Harris misses 2-pt jump shot from 6 ft,,5,4
26,1,8:57.0,Offensive rebound by T. Harris,,5,4
27,1,8:55.0,T. Harris misses 2-pt jump shot from 6 ft,,5,4
28,1,8:53.0,,Defensive rebound by D. Powell,5,4
29,1,8:41.0,,T. Hardaway misses 2-pt layup from 5 ft (block by A. Horford),5,4
30,1,8:39.0,Defensive rebound by M. Scott,,5,4
31,1,8:30.0,M. Scott misses 3-pt jump shot from 27 ft,,5,4
32,1,8:27.0,Offensive rebound by A. Horford,,5,4
33,1,8:27.0,Personal foul by T. Hardaway (drawn by A. Horford),,5,4
34,1,8:17.0,A. Horford misses 2-pt jump shot from 6 ft,,5,4
35,1,8:13.0,,Defensive rebound by D. Powell,5,4
36,1,8:03.0,,L. Dončić makes 2-pt layup from 1 ft,5,6
37,1,7:50.0,A. Horford misses 2-pt jump shot from 19 ft,,5,6
38,1,7:48.0,,Defensive rebound by D. Powell,5,6
39,1,7:41.0,,Turnover by L. Dončić (lost ball; steal by B. Simmons),5,6
40,1,7:38.0,B. Simmons makes 2-pt dunk from 1 ft (assist by A. Horford),,7,6
41,1,7:36.0,,Dallas full timeout,7,6
42,1,7:21.0,,Turnover by M. Kleber (bad pass),7,6
43,1,7:02.0,B. Simmons makes 2-pt hook shot from 2 ft,,9,6
44,1,6:47.0,,Turnover by L. Dončić (bad pass; steal by B. Simmons),9,6
45,1,6:42.0,Turnover by J. Richardson (bad pass; steal by M. Kleber),,9,6
46,1,6:36.0,,Turnover by D. Powell (out of bounds lost ball),9,6
47,1,6:36.0,,D. Wright enters the game for L. Dončić,9,6
48,1,6:25.0,M. Scott misses 3-pt jump shot from 26 ft,,9,6
49,1,6:23.0,,Defensive rebound by T. Hardaway,9,6
50,1,6:17.0,,T. Hardaway makes 2-pt jump shot from 15 ft,9,8
51,1,5:57.0,T. Harris makes 2-pt jump shot from 9 ft,,11,8
52,1,5:47.0,,D. Wright makes 2-pt jump shot from 15 ft,11,10
53,1,5:46.0,Philadelphia full timeout,,11,10
54,1,5:46.0,J. Ennis enters the game for J. Richardson,,11,10
55,1,5:46.0,M. Thybulle enters the game for M. Scott,,11,10
56,1,5:46.0,,J. Brunson enters the game for D. Finney-Smith,11,10
57,1,5:46.0,,J. Jackson enters the game for M. Kleber,11,10
58,1,5:26.0,T. Harris misses 2-pt layup from 4 ft (block by D. Wright),,11,10
59,1,5:22.0,,Defensive rebound by J. Jackson,11,10
60,1,5:17.0,,J. Jackson misses 2-pt jump shot from 8 ft,11,10
61,1,5:14.0,Defensive rebound by A. Horford,,11,10
62,1,5:01.0,T. Harris misses 3-pt jump shot from 26 ft,,11,10
63,1,4:59.0,Offensive rebound by J. Ennis,,11,10
64,1,4:58.0,J. Ennis misses 2-pt layup from 1 ft (block by J. Brunson),,11,10
65,1,4:57.0,,Defensive rebound by D. Powell,11,10
66,1,4:44.0,,D. Wright makes 2-pt jump shot from 5 ft,11,12
67,1,4:22.0,T. Harris misses 3-pt jump shot from 24 ft,,11,12
68,1,4:21.0,,Defensive rebound by Team,11,12
69,1,4:21.0,,S. Curry enters the game for T. Hardaway,11,12
70,1,4:08.0,,S. Curry misses 2-pt jump shot from 16 ft,11,12
71,1,4:05.0,Defensive rebound by A. Horford,,11,12
72,1,3:58.0,Turnover by A. Horford (bad pass; steal by J. Jackson),,11,12
73,1,3:54.0,,Turnover by J. Jackson (lost ball; steal by B. Simmons),11,12
74,1,3:50.0,J. Ennis misses 2-pt dunk from 1 ft,,11,12
