,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
0,1,11:41.0,K. Oubre misses 2-pt layup from 6 ft (block by J. Isaac),,0,0
1,1,11:37.0,Offensive rebound by K. Oubre,,0,0
2,1,11:36.0,K. Oubre makes 2-pt layup from 2 ft,,2,0
3,1,11:19.0,,M. Fultz makes 2-pt layup from 2 ft (assist by J. Isaac),2,2
4,1,11:03.0,D. Šarić makes 2-pt layup from 2 ft (assist by F. Kaminsky),,4,2
5,1,10:52.0,,E. Fournier makes 2-pt layup from 2 ft (assist by M. Fultz),4,4
6,1,10:42.0,D. Šarić misses 3-pt jump shot from 27 ft,,4,4
7,1,10:39.0,,Defensive rebound by A. Gordon,4,4
8,1,10:37.0,,Personal foul by K. Oubre (drawn by E. Fournier),4,4
9,1,10:29.0,,J. Isaac misses 3-pt jump shot from 27 ft,4,4
10,1,10:28.0,Defensive rebound by Team,,4,4
11,1,10:17.0,D. Booker misses 2-pt jump shot from 19 ft,,4,4
12,1,10:14.0,,Defensive rebound by M. Fultz,4,4
13,1,10:06.0,,E. Fournier misses 3-pt jump shot from 23 ft,4,4
14,1,9:59.0,,Offensive rebound by J. Isaac,4,4
15,1,9:59.0,,J. Isaac misses 2-pt layup from 1 ft,4,4
16,1,9:59.0,,Offensive rebound by K. Birch,4,4
17,1,9:52.0,,K. Birch makes 2-pt layup from 1 ft,4,6
18,1,9:50.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by R. Rubio),,7,6
19,1,9:30.0,,M. Fultz makes 2-pt jump shot from 19 ft,7,8
20,1,9:10.0,K. Oubre misses 3-pt jump shot from 26 ft,,7,8
21,1,9:06.0,,Defensive rebound by K. Birch,7,8
22,1,9:00.0,,Turnover by M. Fultz (bad pass; steal by K. Oubre),7,8
23,1,8:46.0,Shooting foul by K. Birch (drawn by D. Šarić),,7,8
24,1,8:46.0,D. Šarić makes free throw 1 of 2,,8,8
25,1,8:46.0,D. Šarić makes free throw 2 of 2,,9,8
26,1,8:33.0,,E. Fournier misses 3-pt jump shot from 25 ft,9,8
27,1,8:30.0,Defensive rebound by K. Oubre,,9,8
28,1,8:16.0,D. Booker makes 2-pt layup from 3 ft (assist by F. Kaminsky),,11,8
29,1,8:02.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by M. Fultz),11,11
30,1,7:50.0,R. Rubio misses 2-pt layup from 4 ft (block by M. Fultz),,11,11
31,1,7:50.0,Offensive rebound by Team,,11,11
32,1,7:45.0,F. Kaminsky makes 2-pt hook shot from 6 ft,,13,11
33,1,7:29.0,,J. Isaac makes 2-pt layup from 2 ft (assist by A. Gordon),13,13
34,1,7:19.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by D. Šarić),,16,13
35,1,7:19.0,,Orlando full timeout,16,13
36,1,7:06.0,,Shooting foul by R. Rubio (drawn by K. Birch),16,13
37,1,7:06.0,,K. Birch misses free throw 1 of 2,16,13
38,1,7:06.0,,Offensive rebound by Team,16,13
