,QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,K. Nunn makes 2-pt jump shot from 9 ft,,2,0
1,1,11:12.0,,D. Murray misses 2-pt jump shot from 16 ft,2,0
2,1,11:05.0,,Offensive rebound by L. Aldridge,2,0
3,1,11:00.0,,L. Aldridge misses 2-pt layup from 1 ft,2,0
4,1,10:59.0,Defensive rebound by D. Robinson,,2,0
5,1,10:56.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,5,0
6,1,10:53.0,,Personal foul by D. Robinson (drawn by B. Forbes),5,0
7,1,10:53.0,,B. Forbes makes free throw 1 of 3,5,1
8,1,10:53.0,,B. Forbes makes free throw 2 of 3,5,2
9,1,10:53.0,,B. Forbes misses free throw 3 of 3,5,2
10,1,10:53.0,Defensive rebound by B. Adebayo,,5,2
11,1,10:43.0,D. Robinson misses 2-pt jump shot from 14 ft,,5,2
12,1,10:43.0,,Defensive rebound by D. DeRozan,5,2
13,1,10:35.0,,D. DeRozan makes 2-pt jump shot from 10 ft,5,4
14,1,10:35.0,,Shooting foul by J. Butler (drawn by D. DeRozan),5,4
15,1,10:35.0,,D. DeRozan makes free throw 1 of 1,5,5
16,1,10:19.0,J. Butler misses 2-pt jump shot from 6 ft,,5,5
17,1,10:16.0,,Defensive rebound by L. Aldridge,5,5
18,1,10:07.0,,L. Aldridge misses 3-pt jump shot from 26 ft,5,5
19,1,10:04.0,Defensive rebound by D. Robinson,,5,5
20,1,10:00.0,,Violation by Team (kicked ball),5,5
21,1,9:55.0,Personal foul by B. Forbes (drawn by J. Butler),,5,5
22,1,9:46.0,M. Leonard misses 3-pt jump shot from 26 ft,,5,5
23,1,9:43.0,,Defensive rebound by T. Lyles,5,5
24,1,9:36.0,,T. Lyles makes 3-pt jump shot from 24 ft (assist by D. DeRozan),5,8
25,1,9:22.0,J. Butler misses 2-pt jump shot from 9 ft,,5,8
26,1,9:18.0,,Defensive rebound by T. Lyles,5,8
27,1,9:06.0,,D. DeRozan misses 2-pt jump shot from 19 ft,5,8
28,1,9:02.0,Defensive rebound by M. Leonard,,5,8
29,1,8:56.0,K. Nunn makes 2-pt jump shot from 6 ft,,7,8
30,1,8:43.0,,B. Forbes misses 3-pt jump shot from 26 ft,7,8
31,1,8:43.0,Defensive rebound by B. Adebayo,,7,8
32,1,8:31.0,Turnover by B. Adebayo (bad pass; steal by L. Aldridge),,7,8
33,1,8:18.0,,Turnover by L. Aldridge (lost ball; steal by B. Adebayo),7,8
34,1,8:08.0,B. Adebayo makes 2-pt hook shot from 11 ft (assist by K. Nunn),,9,8
35,1,8:08.0,Shooting foul by D. Murray (drawn by B. Adebayo),,9,8
36,1,8:08.0,B. Adebayo makes free throw 1 of 1,,10,8
37,1,7:56.0,,D. DeRozan misses 2-pt jump shot from 13 ft,10,8
38,1,7:53.0,Defensive rebound by J. Butler,,10,8
39,1,7:44.0,B. Adebayo misses 2-pt jump shot from 16 ft,,10,8
40,1,7:44.0,,Defensive rebound by T. Lyles,10,8
41,1,7:36.0,,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. DeRozan),10,10
42,1,7:24.0,Personal foul by D. DeRozan (drawn by B. Adebayo),,10,10
43,1,7:15.0,B. Adebayo misses 2-pt jump shot from 11 ft,,10,10
44,1,7:12.0,Offensive rebound by B. Adebayo,,10,10
45,1,6:59.0,B. Adebayo makes 2-pt hook shot from 7 ft (assist by M. Leonard),,12,10
