,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CLEVELAND_ACTION,LA CLIPPERS_SCORE,CLEVELAND_SCORE
0,1,11:43.0,,Turnover by D. Garland (bad pass; steal by P. George),0,0
1,1,11:38.0,I. Zubac makes 2-pt hook shot from 10 ft (assist by P. George),,2,0
2,1,11:33.0,,Personal foul by I. Zubac (drawn by A. Drummond),2,0
3,1,11:14.0,,K. Love misses 3-pt jump shot from 28 ft,2,0
4,1,11:11.0,Defensive rebound by I. Zubac,,2,0
5,1,11:04.0,P. George makes 2-pt jump shot from 18 ft,,4,0
6,1,10:49.0,,A. Drummond misses 2-pt jump shot from 9 ft (block by I. Zubac),4,0
7,1,10:47.0,Defensive rebound by M. Morris,,4,0
8,1,10:43.0,I. Zubac makes 2-pt layup from 1 ft (assist by M. Morris),,6,0
9,1,10:33.0,,A. Drummond misses 2-pt layup from 6 ft,6,0
10,1,10:30.0,Defensive rebound by L. Williams,,6,0
11,1,10:23.0,M. Morris misses 3-pt jump shot from 25 ft,,6,0
12,1,10:21.0,,Defensive rebound by K. Love,6,0
13,1,10:13.0,,A. Drummond makes 2-pt layup from 1 ft (assist by K. Love),6,2
14,1,9:55.0,L. Shamet makes 2-pt layup from 2 ft (assist by I. Zubac),,8,2
15,1,9:38.0,,C. Osman makes 2-pt jump shot from 6 ft (assist by A. Drummond),8,4
16,1,9:22.0,Turnover by P. George (lost ball; steal by A. Drummond),,8,4
17,1,9:16.0,,C. Sexton makes 2-pt layup from 1 ft (assist by D. Garland),8,6
18,1,9:08.0,Shooting foul by D. Garland (drawn by L. Williams),,8,6
19,1,9:08.0,L. Williams makes free throw 1 of 2,,9,6
20,1,9:08.0,L. Williams makes free throw 2 of 2,,10,6
21,1,9:00.0,,Turnover by K. Love (bad pass; steal by I. Zubac),10,6
22,1,8:53.0,M. Morris misses 3-pt jump shot from 25 ft,,10,6
23,1,8:49.0,,Defensive rebound by C. Osman,10,6
24,1,8:43.0,,C. Osman misses 2-pt layup at rim,10,6
25,1,8:40.0,Defensive rebound by I. Zubac,,10,6
26,1,8:34.0,P. George makes 2-pt jump shot from 6 ft,,12,6
27,1,8:34.0,Shooting foul by C. Sexton (drawn by P. George),,12,6
28,1,8:34.0,P. George makes free throw 1 of 1,,13,6
29,1,8:20.0,,C. Sexton misses 3-pt jump shot from 24 ft,13,6
30,1,8:18.0,Defensive rebound by L. Williams,,13,6
31,1,8:08.0,M. Morris misses 2-pt jump shot from 11 ft,,13,6
