,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DENVER_ACTION,NEW YORK_SCORE,DENVER_SCORE
0,1,11:46.0,,N. Jokić misses 2-pt jump shot from 18 ft,0,0
1,1,11:41.0,Defensive rebound by J. Randle,,0,0
2,1,11:25.0,M. Morris misses 2-pt jump shot from 14 ft,,0,0
3,1,11:22.0,,Defensive rebound by G. Harris,0,0
4,1,11:14.0,,J. Murray makes 2-pt jump shot from 17 ft,0,2
5,1,11:00.0,J. Randle makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,3,2
6,1,10:43.0,,J. Grant makes 2-pt jump shot from 16 ft (assist by G. Harris),3,4
7,1,10:22.0,J. Randle makes 2-pt jump shot from 13 ft,,5,4
8,1,10:04.0,,J. Murray misses 2-pt jump shot from 6 ft,5,4
9,1,10:01.0,,Offensive rebound by J. Murray,5,4
10,1,9:57.0,,W. Barton misses 2-pt layup from 9 ft,5,4
11,1,9:56.0,,Offensive rebound by W. Barton,5,4
12,1,9:56.0,,W. Barton misses 2-pt layup from 1 ft (block by T. Gibson),5,4
13,1,9:55.0,,Offensive rebound by J. Grant,5,4
14,1,9:45.0,,J. Grant misses 3-pt jump shot from 25 ft,5,4
15,1,9:42.0,Defensive rebound by M. Morris,,5,4
16,1,9:31.0,F. Ntilikina makes 3-pt jump shot from 26 ft (assist by J. Randle),,8,4
17,1,9:15.0,,Turnover by N. Jokić (bad pass; steal by M. Morris),8,4
18,1,9:07.0,T. Gibson misses 2-pt jump shot from 17 ft,,8,4
19,1,9:01.0,,Defensive rebound by G. Harris,8,4
20,1,8:57.0,,G. Harris misses 2-pt jump shot from 11 ft,8,4
21,1,8:53.0,Defensive rebound by F. Ntilikina,,8,4
22,1,8:48.0,R. Barrett misses 3-pt jump shot from 24 ft,,8,4
23,1,8:46.0,,Defensive rebound by Team,8,4
24,1,8:29.0,,N. Jokić makes 2-pt jump shot from 5 ft,8,6
25,1,8:12.0,J. Randle misses 2-pt jump shot from 19 ft,,8,6
26,1,8:10.0,,Defensive rebound by N. Jokić,8,6
27,1,8:06.0,,W. Barton makes 3-pt jump shot from 26 ft (assist by N. Jokić),8,9
28,1,7:53.0,New York full timeout,,8,9
29,1,7:41.0,M. Morris misses 3-pt jump shot from 25 ft,,8,9
30,1,7:40.0,Offensive rebound by Team,,8,9
31,1,7:40.0,,Loose ball foul by G. Harris (drawn by T. Gibson),8,9
32,1,7:25.0,Turnover by R. Barrett (bad pass; steal by N. Jokić),,8,9
33,1,7:14.0,,Shooting foul by M. Morris (drawn by N. Jokić),8,9
34,1,7:14.0,,N. Jokić makes free throw 1 of 2,8,10
35,1,7:14.0,,N. Jokić misses free throw 2 of 2,8,10
36,1,7:11.0,Defensive rebound by T. Gibson,,8,10
37,1,7:01.0,F. Ntilikina makes 2-pt jump shot from 17 ft,,10,10
38,1,6:34.0,,J. Murray misses 2-pt jump shot from 20 ft,10,10
39,1,6:31.0,,Offensive rebound by J. Murray,10,10
40,1,6:26.0,,W. Barton makes 2-pt layup from 4 ft (assist by J. Murray),10,12
41,1,5:59.0,Turnover by T. Gibson (out of bounds lost ball),,10,12
42,1,5:59.0,M. Robinson enters the game for T. Gibson,,10,12
43,1,5:59.0,,T. Craig enters the game for W. Barton,10,12
