,QUARTER,TIME_REMAINING,PHOENIX_ACTION,TORONTO_ACTION,PHOENIX_SCORE,TORONTO_SCORE
0,1,11:46.0,D. Booker misses 3-pt jump shot from 23 ft (block by P. Siakam),,0,0
1,1,11:43.0,,Defensive rebound by S. Ibaka,0,0
2,1,11:37.0,,Turnover by K. Lowry (lost ball; steal by R. Rubio),0,0
3,1,11:31.0,K. Oubre misses 2-pt layup from 1 ft,,0,0
4,1,11:29.0,Offensive rebound by D. Ayton,,0,0
5,1,11:27.0,K. Oubre misses 2-pt dunk from 1 ft (block by S. Ibaka),,0,0
6,1,11:24.0,,Defensive rebound by F. VanVleet,0,0
7,1,11:18.0,,K. Lowry misses 3-pt jump shot from 28 ft,0,0
8,1,11:15.0,Defensive rebound by D. Booker,,0,0
9,1,10:55.0,K. Oubre misses 3-pt jump shot from 26 ft,,0,0
10,1,10:53.0,,Defensive rebound by Team,0,0
11,1,10:39.0,,F. VanVleet misses 3-pt jump shot from 26 ft,0,0
12,1,10:37.0,,Offensive rebound by S. Ibaka,0,0
13,1,10:37.0,,Personal foul by R. Rubio (drawn by S. Ibaka),0,0
14,1,10:31.0,,Shooting foul by M. Bridges (drawn by P. Siakam),0,0
15,1,10:31.0,,P. Siakam makes free throw 1 of 2,0,1
16,1,10:31.0,,P. Siakam makes free throw 2 of 2,0,2
17,1,10:18.0,M. Bridges misses 2-pt jump shot from 5 ft,,0,2
18,1,10:15.0,,Defensive rebound by K. Lowry,0,2
19,1,10:11.0,,Turnover by K. Lowry (bad pass; steal by M. Bridges),0,2
20,1,10:07.0,K. Oubre makes 2-pt dunk from 1 ft (assist by R. Rubio),,2,2
21,1,9:55.0,,P. Siakam misses 2-pt hook shot from 6 ft,2,2
22,1,9:55.0,Defensive rebound by K. Oubre,,2,2
23,1,9:49.0,R. Rubio misses 3-pt jump shot from 23 ft,,2,2
24,1,9:46.0,,Defensive rebound by O. Anunoby,2,2
25,1,9:37.0,,O. Anunoby misses 2-pt dunk from 3 ft,2,2
26,1,9:37.0,Defensive rebound by D. Booker,,2,2
