,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
0,1,11:45.0,A. Drummond misses 2-pt dunk from 3 ft (block by J. McGee),,0,0
1,1,11:41.0,,Defensive rebound by L. James,0,0
2,1,11:39.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by L. James),0,3
3,1,11:23.0,T. Frazier misses 3-pt jump shot from 28 ft,,0,3
4,1,11:20.0,,Defensive rebound by L. James,0,3
5,1,11:09.0,,L. James makes 2-pt layup from 2 ft,0,5
6,1,10:55.0,S. Doumbouya misses 2-pt layup from 3 ft (block by J. McGee),,0,5
7,1,10:55.0,Offensive rebound by Team,,0,5
8,1,10:53.0,S. Doumbouya makes 2-pt dunk from 2 ft (assist by T. Frazier),,2,5
9,1,10:30.0,,J. McGee misses 2-pt hook shot from 6 ft,2,5
10,1,10:28.0,Defensive rebound by A. Drummond,,2,5
11,1,10:20.0,T. Snell misses 2-pt jump shot from 19 ft,,2,5
12,1,10:16.0,,Defensive rebound by A. Davis,2,5
13,1,10:11.0,,J. McGee makes 2-pt jump shot from 9 ft (assist by A. Bradley),2,7
14,1,9:56.0,C. Wood misses 2-pt layup from 6 ft (block by A. Davis),,2,7
15,1,9:56.0,,Defensive rebound by Team,2,7
16,1,9:32.0,,J. McGee makes 3-pt jump shot from 29 ft (assist by L. James),2,10
17,1,9:21.0,Personal foul by J. McGee (drawn by A. Drummond),,2,10
18,1,9:21.0,Detroit full timeout,,2,10
19,1,9:04.0,A. Drummond misses 3-pt jump shot from 26 ft,,2,10
20,1,9:00.0,,Defensive rebound by L. James,2,10
21,1,8:40.0,,D. Green makes 2-pt jump shot from 4 ft (assist by L. James),2,12
22,1,8:13.0,Turnover by T. Frazier (bad pass; steal by D. Green),,2,12
23,1,8:00.0,,A. Bradley misses 3-pt jump shot from 23 ft,2,12
24,1,7:58.0,Defensive rebound by S. Doumbouya,,2,12
25,1,7:56.0,Turnover by T. Frazier (lost ball; steal by A. Davis),,2,12
26,1,7:52.0,,Turnover by L. James (back court),2,12
27,1,7:38.0,S. Doumbouya misses 2-pt layup from 3 ft (block by J. McGee),,2,12
28,1,7:36.0,,Defensive rebound by L. James,2,12
29,1,7:28.0,,Turnover by L. James (bad pass),2,12
30,1,7:14.0,C. Wood misses 3-pt jump shot from 26 ft,,2,12
31,1,7:14.0,,Defensive rebound by Team,2,12
32,1,7:00.0,,A. Davis misses 2-pt jump shot from 18 ft,2,12
33,1,6:56.0,Defensive rebound by C. Wood,,2,12
34,1,6:47.0,T. Frazier misses 3-pt jump shot from 28 ft,,2,12
35,1,6:45.0,,Defensive rebound by A. Davis,2,12
36,1,6:40.0,,Shooting foul by C. Wood (drawn by A. Davis),2,12
37,1,6:40.0,,A. Davis misses free throw 1 of 2,2,12
38,1,6:40.0,,Offensive rebound by Team,2,12
39,1,6:40.0,B. Brown enters the game for T. Frazier,,2,12
40,1,6:40.0,D. Rose enters the game for T. Snell,,2,12
41,1,6:40.0,,A. Davis makes free throw 2 of 2,2,13
42,1,6:28.0,D. Rose misses 2-pt layup from 4 ft (block by A. Bradley),,2,13
43,1,6:24.0,,Defensive rebound by L. James,2,13
44,1,6:22.0,,A. Davis makes 2-pt dunk from 2 ft (assist by L. James),2,15
45,1,6:06.0,C. Wood makes 3-pt jump shot from 26 ft (assist by D. Rose),,5,15
46,1,5:46.0,,L. James misses 2-pt jump shot from 14 ft,5,15
47,1,5:44.0,Defensive rebound by A. Drummond,,5,15
48,1,5:31.0,Shooting foul by A. Bradley (drawn by D. Rose),,5,15
49,1,5:31.0,D. Rose makes free throw 1 of 2,,6,15
50,1,5:31.0,D. Rose makes free throw 2 of 2,,7,15
51,1,5:24.0,,Personal foul by C. Wood (drawn by A. Davis),7,15
52,1,5:24.0,,K. Caldwell-Pope enters the game for D. Green,7,15
53,1,5:24.0,,K. Kuzma enters the game for J. McGee,7,15
54,1,5:22.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),7,17
55,1,5:06.0,S. Doumbouya makes 3-pt jump shot from 25 ft (assist by D. Rose),,10,17
56,1,4:40.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by A. Drummond),10,17
57,1,4:38.0,Defensive rebound by B. Brown,,10,17
58,1,4:34.0,Shooting foul by A. Davis (drawn by C. Wood),,10,17
59,1,4:34.0,C. Wood makes free throw 1 of 2,,11,17
60,1,4:34.0,,A. Caruso enters the game for A. Bradley,11,17
61,1,4:34.0,,R. Rondo enters the game for L. James,11,17
62,1,4:34.0,C. Wood makes free throw 2 of 2,,12,17
63,1,4:34.0,L. Galloway enters the game for S. Doumbouya,,12,17
64,1,4:34.0,S. Mykhailiuk enters the game for C. Wood,,12,17
