,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PORTLAND_ACTION,NEW YORK_SCORE,PORTLAND_SCORE
0,1,11:38.0,J. Randle makes 3-pt jump shot from 24 ft (assist by T. Gibson),,3,0
1,1,11:17.0,,H. Whiteside misses 2-pt hook shot from 12 ft,3,0
2,1,11:14.0,Defensive rebound by T. Gibson,,3,0
3,1,11:08.0,F. Ntilikina misses 2-pt jump shot from 20 ft,,3,0
4,1,11:05.0,,Defensive rebound by H. Whiteside,3,0
5,1,10:47.0,,C. Anthony misses 2-pt jump shot from 16 ft,3,0
6,1,10:44.0,Defensive rebound by T. Gibson,,3,0
7,1,10:39.0,R. Barrett makes 2-pt layup from 1 ft (assist by F. Ntilikina),,5,0
8,1,10:29.0,,C. McCollum makes 2-pt jump shot from 15 ft,5,2
9,1,10:14.0,J. Randle misses 2-pt jump shot from 17 ft,,5,2
10,1,10:11.0,,Defensive rebound by C. Anthony,5,2
11,1,10:06.0,,Offensive foul by C. Anthony (drawn by F. Ntilikina),5,2
12,1,10:06.0,,Turnover by C. Anthony (offensive foul),5,2
13,1,9:51.0,F. Ntilikina makes 2-pt layup from 1 ft (assist by T. Gibson),,7,2
14,1,9:40.0,,C. McCollum makes 2-pt jump shot from 8 ft,7,4
15,1,9:31.0,Offensive foul by T. Gibson (drawn by K. Bazemore),,7,4
16,1,9:31.0,Turnover by T. Gibson (offensive foul),,7,4
17,1,9:18.0,,D. Lillard makes 3-pt jump shot from 28 ft,7,7
18,1,9:06.0,Turnover by M. Morris (lost ball; steal by C. Anthony),,7,7
19,1,9:01.0,,C. Anthony makes 2-pt layup from 1 ft,7,9
20,1,8:51.0,F. Ntilikina misses 2-pt layup from 1 ft (block by H. Whiteside),,7,9
21,1,8:49.0,,Defensive rebound by D. Lillard,7,9
22,1,8:45.0,,D. Lillard makes 3-pt jump shot from 30 ft,7,12
23,1,8:37.0,New York full timeout,,7,12
24,1,8:23.0,J. Randle makes 2-pt hook shot from 5 ft,,9,12
25,1,8:12.0,,Personal foul by J. Randle (drawn by C. Anthony),9,12
26,1,8:05.0,,C. McCollum misses 3-pt jump shot from 26 ft,9,12
27,1,8:02.0,Defensive rebound by T. Gibson,,9,12
28,1,7:52.0,Shooting foul by C. McCollum (drawn by R. Barrett),,9,12
29,1,7:52.0,R. Barrett misses free throw 1 of 2,,9,12
30,1,7:52.0,Offensive rebound by Team,,9,12
31,1,7:52.0,R. Barrett makes free throw 2 of 2,,10,12
32,1,7:41.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by H. Whiteside),10,15
33,1,7:28.0,J. Randle misses 3-pt jump shot from 26 ft,,10,15
34,1,7:26.0,,Defensive rebound by H. Whiteside,10,15
35,1,7:18.0,,Turnover by D. Lillard (bad pass; steal by F. Ntilikina),10,15
36,1,7:13.0,R. Barrett misses 2-pt layup from 4 ft (block by C. Anthony),,10,15
37,1,7:08.0,Offensive rebound by M. Morris,,10,15
38,1,7:07.0,Turnover by F. Ntilikina (bad pass; steal by C. Anthony),,10,15
39,1,7:03.0,Violation by Team (kicked ball),,10,15
40,1,6:52.0,,K. Bazemore misses 3-pt jump shot from 26 ft,10,15
41,1,6:52.0,Defensive rebound by Team,,10,15
42,1,6:38.0,M. Morris makes 2-pt layup from 1 ft,,12,15
