,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:43.0,D. Sabonis misses 2-pt hook shot from 8 ft,,0,0
2,1,11:42.0,Offensive rebound by Team,,0,0
3,1,11:34.0,A. Holiday makes 3-pt jump shot from 27 ft,,3,0
4,1,11:14.0,,B. Biyombo makes 2-pt dunk from 1 ft (assist by D. Graham),3,2
5,1,10:56.0,D. Sabonis misses 2-pt layup from 3 ft (block by B. Biyombo),,3,2
6,1,10:54.0,,Defensive rebound by P. Washington,3,2
7,1,10:47.0,,P. Washington misses 3-pt jump shot from 26 ft,3,2
8,1,10:44.0,Defensive rebound by A. Holiday,,3,2
9,1,10:36.0,A. Holiday misses 3-pt jump shot from 23 ft,,3,2
10,1,10:33.0,,Defensive rebound by P. Washington,3,2
11,1,10:20.0,,T. Rozier misses 3-pt jump shot from 23 ft,3,2
12,1,10:17.0,Defensive rebound by J. Lamb,,3,2
13,1,10:06.0,M. Turner misses 3-pt jump shot from 25 ft,,3,2
14,1,10:03.0,,Defensive rebound by M. Bridges,3,2
15,1,9:56.0,,P. Washington misses 2-pt hook shot from 6 ft,3,2
16,1,9:53.0,Defensive rebound by M. Turner,,3,2
17,1,9:48.0,J. Lamb makes 3-pt jump shot from 28 ft (assist by A. Holiday),,6,2
18,1,9:36.0,,Shooting foul by J. Lamb (drawn by T. Rozier),6,2
19,1,9:36.0,,T. Rozier makes free throw 1 of 2,6,3
20,1,9:36.0,,T. Rozier makes free throw 2 of 2,6,4
21,1,9:18.0,A. Holiday misses 3-pt jump shot from 27 ft,,6,4
22,1,9:17.0,,Defensive rebound by M. Bridges,6,4
23,1,9:08.0,,Turnover by D. Graham (lost ball; steal by D. Sabonis),6,4
24,1,9:03.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by T. Warren),,8,4
25,1,8:52.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Graham),8,7
26,1,8:27.0,M. Turner makes 2-pt layup from 6 ft,,10,7
27,1,8:11.0,,P. Washington makes 2-pt layup from 3 ft (assist by D. Graham),10,9
28,1,7:51.0,M. Turner makes 2-pt layup from 3 ft,,12,9
29,1,7:38.0,,P. Washington misses 3-pt jump shot from 26 ft,12,9
30,1,7:35.0,Defensive rebound by J. Lamb,,12,9
31,1,7:20.0,Turnover by M. Turner (bad pass),,12,9
32,1,7:20.0,,D. Bacon enters the game for M. Bridges,12,9
33,1,7:20.0,,M. Monk enters the game for T. Rozier,12,9
34,1,7:01.0,Violation by Team (kicked ball),,12,9
35,1,7:01.0,,Charlotte full timeout,12,9
36,1,6:46.0,,D. Graham misses 2-pt layup from 3 ft,12,9
37,1,6:45.0,,Offensive rebound by B. Biyombo,12,9
38,1,6:45.0,,B. Biyombo misses 2-pt layup from 2 ft (block by M. Turner),12,9
39,1,6:44.0,,Offensive rebound by M. Monk,12,9
40,1,6:32.0,,M. Monk misses 3-pt jump shot from 26 ft,12,9
41,1,6:29.0,,Offensive rebound by B. Biyombo,12,9
42,1,6:26.0,,B. Biyombo misses 2-pt hook shot from 7 ft,12,9
43,1,6:24.0,Defensive rebound by J. Lamb,,12,9
44,1,6:14.0,Turnover by M. Turner (traveling),,12,9
45,1,6:14.0,,C. Zeller enters the game for B. Biyombo,12,9
46,1,5:59.0,,D. Graham makes 3-pt jump shot from 29 ft (assist by D. Bacon),12,12
47,1,5:43.0,T. Warren misses 3-pt jump shot from 24 ft,,12,12
48,1,5:41.0,,Defensive rebound by D. Graham,12,12
49,1,5:30.0,,D. Graham misses 3-pt jump shot from 27 ft,12,12
