,QUARTER,TIME_REMAINING,MIAMI_ACTION,DENVER_ACTION,MIAMI_SCORE,DENVER_SCORE
0,1,11:45.0,,P. Millsap makes 2-pt layup from 7 ft (assist by J. Murray),0,2
1,1,11:45.0,,Shooting foul by B. Adebayo (drawn by P. Millsap),0,2
2,1,11:45.0,,P. Millsap makes free throw 1 of 1,0,3
3,1,11:27.0,Turnover by J. Butler (bad pass; steal by G. Harris),,0,3
4,1,11:18.0,,G. Harris makes 2-pt dunk from 1 ft (assist by N. Jokić),0,5
5,1,11:00.0,M. Leonard makes 2-pt jump shot from 9 ft (assist by J. Butler),,2,5
6,1,10:46.0,,J. Murray makes 2-pt jump shot from 16 ft (assist by P. Millsap),2,7
7,1,10:25.0,M. Leonard misses 2-pt layup from 3 ft,,2,7
8,1,10:21.0,,Defensive rebound by W. Barton,2,7
9,1,10:21.0,,W. Barton makes 2-pt jump shot from 7 ft,2,9
10,1,10:21.0,,Shooting foul by K. Nunn (drawn by W. Barton),2,9
11,1,10:21.0,,W. Barton makes free throw 1 of 1,2,10
12,1,10:01.0,M. Leonard makes 2-pt dunk at rim (assist by K. Nunn),,4,10
13,1,10:01.0,Shooting foul by P. Millsap (drawn by M. Leonard),,4,10
14,1,10:01.0,M. Leonard makes free throw 1 of 1,,5,10
15,1,9:54.0,,Personal foul by J. Winslow (drawn by N. Jokić),5,10
16,1,9:44.0,,N. Jokić makes 2-pt jump shot from 16 ft,5,12
17,1,9:21.0,J. Butler misses 3-pt jump shot from 26 ft,,5,12
18,1,9:16.0,Offensive rebound by J. Butler,,5,12
19,1,9:13.0,K. Nunn makes 3-pt jump shot from 26 ft,,8,12
20,1,8:55.0,,P. Millsap makes 2-pt jump shot from 7 ft (assist by J. Murray),8,14
21,1,8:37.0,J. Winslow misses 2-pt layup from 3 ft,,8,14
22,1,8:33.0,Offensive rebound by J. Butler,,8,14
23,1,8:32.0,Shooting foul by N. Jokić (drawn by J. Butler),,8,14
24,1,8:32.0,J. Butler makes free throw 1 of 2,,9,14
25,1,8:32.0,J. Butler misses free throw 2 of 2,,9,14
26,1,8:29.0,,Defensive rebound by N. Jokić,9,14
27,1,8:21.0,,W. Barton misses 2-pt jump shot from 13 ft,9,14
28,1,8:18.0,Defensive rebound by J. Winslow,,9,14
29,1,8:06.0,J. Butler misses 2-pt jump shot from 16 ft,,9,14
30,1,8:04.0,,Defensive rebound by N. Jokić,9,14
31,1,8:02.0,,Turnover by N. Jokić (bad pass),9,14
32,1,7:54.0,Personal foul by N. Jokić (drawn by B. Adebayo),,9,14
33,1,7:40.0,M. Leonard makes 2-pt layup from 2 ft,,11,14
34,1,7:24.0,,Turnover by N. Jokić (lost ball; steal by J. Butler),11,14
35,1,7:19.0,J. Winslow misses 2-pt layup from 3 ft,,11,14
36,1,7:17.0,Offensive rebound by J. Butler,,11,14
37,1,7:13.0,K. Nunn misses 3-pt jump shot from 26 ft,,11,14
38,1,7:13.0,,Defensive rebound by W. Barton,11,14
39,1,7:04.0,,P. Millsap makes 3-pt jump shot from 27 ft (assist by W. Barton),11,17
40,1,6:46.0,B. Adebayo misses 2-pt jump shot from 11 ft,,11,17
41,1,6:42.0,,Defensive rebound by W. Barton,11,17
42,1,6:30.0,,N. Jokić misses 3-pt jump shot from 25 ft,11,17
43,1,6:26.0,Defensive rebound by J. Winslow,,11,17
44,1,6:14.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,14,17
45,1,5:55.0,,Personal foul by M. Leonard (drawn by N. Jokić),14,17
46,1,5:55.0,,Denver full timeout,14,17
47,1,5:55.0,G. Dragić enters the game for J. Winslow,,14,17
48,1,5:55.0,,M. Plumlee enters the game for N. Jokić,14,17
49,1,5:48.0,,G. Harris misses 2-pt jump shot from 11 ft,14,17
50,1,5:45.0,Defensive rebound by K. Nunn,,14,17
51,1,5:23.0,G. Dragić misses 2-pt jump shot from 8 ft,,14,17
52,1,5:20.0,,Defensive rebound by M. Plumlee,14,17
53,1,5:08.0,,J. Murray makes 2-pt jump shot from 19 ft (assist by P. Millsap),14,19
54,1,4:43.0,J. Butler makes 2-pt layup from 3 ft (assist by M. Leonard),,16,19
55,1,4:26.0,,J. Murray misses 2-pt jump shot from 17 ft,16,19
56,1,4:23.0,Defensive rebound by B. Adebayo,,16,19
57,1,4:05.0,Turnover by B. Adebayo (lost ball; steal by M. Plumlee),,16,19
58,1,3:58.0,,P. Millsap misses 2-pt hook shot from 6 ft,16,19
59,1,3:58.0,Defensive rebound by Team,,16,19
60,1,3:58.0,D. Jones enters the game for B. Adebayo,,16,19
61,1,3:58.0,,J. Grant enters the game for P. Millsap,16,19
62,1,3:42.0,K. Nunn misses 3-pt jump shot from 24 ft,,16,19
63,1,3:37.0,,Defensive rebound by J. Grant,16,19
64,1,3:30.0,,Turnover by J. Murray (bad pass; steal by D. Jones),16,19
65,1,3:26.0,J. Butler makes 2-pt layup from 2 ft (assist by G. Dragić),,18,19
66,1,3:25.0,,Denver full timeout,18,19
67,1,3:25.0,K. Olynyk enters the game for M. Leonard,,18,19
68,1,3:25.0,,M. Beasley enters the game for W. Barton,18,19
69,1,3:25.0,,T. Craig enters the game for G. Harris,18,19
70,1,3:02.0,,J. Murray misses 2-pt jump shot from 19 ft,18,19
71,1,2:59.0,Defensive rebound by J. Butler,,18,19
72,1,2:52.0,D. Jones makes 2-pt layup from 3 ft (assist by G. Dragić),,20,19
73,1,2:36.0,,J. Grant makes 2-pt jump shot from 6 ft,20,21
74,1,2:36.0,,Shooting foul by D. Jones (drawn by J. Grant),20,21
75,1,2:36.0,T. Herro enters the game for K. Nunn,,20,21
76,1,2:36.0,,M. Morris enters the game for J. Murray,20,21
77,1,2:36.0,,J. Grant misses free throw 1 of 1,20,21
78,1,2:33.0,Defensive rebound by T. Herro,,20,21
79,1,2:19.0,Shooting foul by T. Craig (drawn by J. Butler),,20,21
80,1,2:19.0,J. Butler makes free throw 1 of 2,,21,21
81,1,2:19.0,J. Butler makes free throw 2 of 2,,22,21
82,1,2:07.0,,M. Morris makes 2-pt jump shot from 8 ft (assist by J. Grant),22,23
83,1,1:58.0,Personal foul by M. Morris (drawn by J. Butler),,22,23
84,1,1:58.0,J. Butler makes free throw 1 of 2,,23,23
85,1,1:58.0,J. Butler makes free throw 2 of 2,,24,23
86,1,1:47.0,,T. Craig makes 3-pt jump shot from 23 ft (assist by M. Beasley),24,26
87,1,1:26.0,Turnover by J. Butler (off goaltending),,24,26
88,1,1:26.0,J. Winslow enters the game for J. Butler,,24,26
89,1,1:09.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by M. Morris),24,29
90,1,1:00.0,G. Dragić makes 2-pt layup from 3 ft,,26,29
91,1,0:46.0,,M. Plumlee misses 2-pt hook shot from 6 ft,26,29
92,1,0:43.0,Defensive rebound by G. Dragić,,26,29
93,1,0:39.0,T. Herro misses 3-pt jump shot from 25 ft,,26,29
94,1,0:38.0,,Defensive rebound by Team,26,29
95,1,0:29.0,,M. Morris misses 2-pt jump shot from 21 ft,26,29
96,1,0:26.0,Defensive rebound by K. Olynyk,,26,29
97,1,0:20.0,K. Olynyk misses 2-pt layup from 4 ft,,26,29
98,1,0:18.0,Offensive rebound by J. Winslow,,26,29
99,1,0:18.0,J. Winslow makes 2-pt layup at rim,,28,29
100,1,0:00.0,,J. Grant misses 2-pt jump shot from 13 ft,28,29
101,1,0:00.0,,Offensive rebound by Team,28,29
102,2,11:43.0,Turnover by G. Dragić (bad pass; steal by M. Plumlee),,28,29
103,2,11:39.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Morris),28,31
104,2,11:27.0,K. Olynyk makes 3-pt jump shot from 26 ft (assist by T. Herro),,31,31
105,2,11:11.0,,M. Plumlee makes 2-pt layup from 4 ft (assist by M. Morris),31,33
106,2,10:59.0,Turnover by T. Herro (bad pass; steal by J. Grant),,31,33
107,2,10:54.0,,Turnover by M. Morris (bad pass; steal by T. Herro),31,33
108,2,10:44.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Winslow),,34,33
109,2,10:29.0,,J. Grant misses 3-pt jump shot from 25 ft,34,33
110,2,10:25.0,Defensive rebound by J. Winslow,,34,33
111,2,10:15.0,J. Winslow makes 2-pt layup from 3 ft (assist by K. Olynyk),,36,33
112,2,10:15.0,,Denver full timeout,36,33
113,2,10:15.0,,N. Jokić enters the game for M. Plumlee,36,33
114,2,9:57.0,,J. Grant makes 2-pt dunk from 1 ft (assist by T. Craig),36,35
115,2,9:57.0,,Shooting foul by K. Olynyk (drawn by J. Grant),36,35
116,2,9:57.0,,J. Grant makes free throw 1 of 1,36,36
117,2,9:41.0,D. Jones makes 2-pt dunk from 2 ft (assist by G. Dragić),,38,36
118,2,9:33.0,,Turnover by M. Beasley (bad pass),38,36
119,2,9:19.0,J. Winslow makes 2-pt layup from 2 ft (assist by G. Dragić),,40,36
120,2,8:57.0,,N. Jokić misses 2-pt jump shot from 5 ft,40,36
121,2,8:54.0,Defensive rebound by K. Olynyk,,40,36
122,2,8:47.0,G. Dragić misses 2-pt layup from 2 ft,,40,36
123,2,8:45.0,,Defensive rebound by N. Jokić,40,36
124,2,8:43.0,,Offensive foul by T. Craig (drawn by K. Olynyk),40,36
125,2,8:43.0,,Turnover by T. Craig (offensive foul),40,36
126,2,8:43.0,,W. Barton enters the game for M. Beasley,40,36
127,2,8:43.0,,G. Harris enters the game for T. Craig,40,36
128,2,8:32.0,D. Jones misses 2-pt jump shot from 4 ft (block by M. Morris),,40,36
129,2,8:29.0,,Defensive rebound by J. Grant,40,36
130,2,8:18.0,,N. Jokić misses 2-pt hook shot from 4 ft,40,36
131,2,8:15.0,Defensive rebound by J. Winslow,,40,36
132,2,8:12.0,J. Winslow misses 2-pt hook shot from 5 ft,,40,36
133,2,8:12.0,,Defensive rebound by Team,40,36
134,2,8:12.0,,Personal foul by J. Winslow (drawn by N. Jokić),40,36
135,2,8:12.0,B. Adebayo enters the game for D. Jones,,40,36
136,2,8:02.0,,G. Harris makes 2-pt jump shot from 15 ft (assist by N. Jokić),40,38
137,2,7:45.0,T. Herro misses 2-pt jump shot from 21 ft,,40,38
138,2,7:42.0,Offensive rebound by B. Adebayo,,40,38
139,2,7:35.0,Shooting foul by N. Jokić (drawn by B. Adebayo),,40,38
140,2,7:35.0,B. Adebayo makes free throw 1 of 2,,41,38
141,2,7:35.0,,J. Murray enters the game for M. Morris,41,38
142,2,7:35.0,B. Adebayo misses free throw 2 of 2,,41,38
143,2,7:32.0,,Defensive rebound by N. Jokić,41,38
144,2,7:24.0,,W. Barton makes 2-pt layup from 3 ft (assist by N. Jokić),41,40
145,2,7:24.0,,Shooting foul by T. Herro (drawn by W. Barton),41,40
146,2,7:24.0,K. Nunn enters the game for T. Herro,,41,40
147,2,7:24.0,,M. Plumlee enters the game for N. Jokić,41,40
148,2,7:24.0,,W. Barton misses free throw 1 of 1,41,40
149,2,7:20.0,Defensive rebound by B. Adebayo,,41,40
150,2,7:11.0,B. Adebayo misses 2-pt jump shot from 9 ft,,41,40
151,2,7:08.0,,Defensive rebound by M. Plumlee,41,40
