,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),0,2
1,1,11:45.0,,Shooting foul by M. Harkless (drawn by A. Wiggins),0,2
2,1,11:45.0,,A. Wiggins makes free throw 1 of 1,0,3
3,1,11:32.0,P. George makes 2-pt layup from 2 ft (assist by K. Leonard),,2,3
4,1,11:16.0,,J. Okogie misses 3-pt jump shot from 23 ft,2,3
5,1,11:14.0,Defensive rebound by K. Leonard,,2,3
6,1,11:08.0,K. Leonard makes 2-pt jump shot from 14 ft,,4,3
7,1,10:55.0,,K. Towns misses 3-pt jump shot from 24 ft,4,3
8,1,10:55.0,,Offensive rebound by Team,4,3
9,1,10:46.0,,J. Culver misses 2-pt jump shot from 6 ft,4,3
10,1,10:43.0,,Offensive rebound by J. Culver,4,3
11,1,10:30.0,,R. Covington misses 2-pt layup from 2 ft,4,3
12,1,10:28.0,Defensive rebound by K. Leonard,,4,3
13,1,10:23.0,K. Leonard makes 2-pt layup from 1 ft,,6,3
14,1,10:08.0,,J. Culver misses 3-pt jump shot from 25 ft,6,3
15,1,10:06.0,Defensive rebound by I. Zubac,,6,3
16,1,9:58.0,P. George misses 3-pt jump shot from 26 ft,,6,3
17,1,9:55.0,,Defensive rebound by K. Towns,6,3
18,1,9:42.0,,K. Towns makes 2-pt layup from 2 ft,6,5
19,1,9:28.0,Turnover by K. Leonard (lost ball; steal by R. Covington),,6,5
20,1,9:24.0,,K. Towns makes 2-pt dunk from 1 ft,6,7
21,1,9:09.0,K. Leonard misses 2-pt jump shot from 15 ft,,6,7
22,1,9:06.0,,Defensive rebound by K. Towns,6,7
23,1,8:56.0,,A. Wiggins misses 2-pt jump shot from 7 ft,6,7
24,1,8:54.0,Defensive rebound by I. Zubac,,6,7
25,1,8:37.0,P. George makes 3-pt jump shot from 25 ft,,9,7
26,1,8:22.0,,J. Culver misses 3-pt jump shot from 26 ft,9,7
27,1,8:20.0,Defensive rebound by P. George,,9,7
28,1,8:13.0,Shooting foul by J. Culver (drawn by K. Leonard),,9,7
29,1,8:13.0,Instant Replay (Request: Stands),,9,7
30,1,8:13.0,K. Leonard makes free throw 1 of 2,,10,7
31,1,8:13.0,K. Leonard makes free throw 2 of 2,,11,7
32,1,7:56.0,,Personal foul by I. Zubac (drawn by J. Culver),11,7
33,1,7:39.0,,J. Okogie misses 2-pt jump shot from 9 ft,11,7
34,1,7:38.0,Defensive rebound by T. Mann,,11,7
35,1,7:33.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by T. Mann),,14,7
36,1,7:10.0,,K. Towns makes 2-pt jump shot from 4 ft (assist by J. Okogie),14,9
37,1,6:52.0,P. George makes 2-pt jump shot from 18 ft,,16,9
38,1,6:44.0,,Minnesota full timeout,16,9
39,1,6:44.0,,J. Teague enters the game for J. Culver,16,9
40,1,6:38.0,,Shooting foul by I. Zubac (drawn by K. Towns),16,9
41,1,6:38.0,,K. Towns makes free throw 1 of 2,16,10
42,1,6:38.0,M. Harrell enters the game for I. Zubac,,16,10
43,1,6:38.0,,K. Towns makes free throw 2 of 2,16,11
44,1,6:20.0,K. Leonard makes 2-pt jump shot from 16 ft (assist by P. George),,18,11
45,1,6:08.0,,A. Wiggins misses 3-pt jump shot from 25 ft,18,11
46,1,6:07.0,Defensive rebound by K. Leonard,,18,11
47,1,5:53.0,P. George makes 3-pt jump shot from 27 ft,,21,11
48,1,5:43.0,,K. Towns misses 3-pt jump shot from 25 ft,21,11
49,1,5:41.0,Defensive rebound by K. Leonard,,21,11
50,1,5:35.0,M. Harrell misses 2-pt hook shot from 6 ft,,21,11
51,1,5:35.0,,Defensive rebound by K. Towns,21,11
52,1,5:24.0,,Personal foul by K. Leonard (drawn by J. Okogie),21,11
53,1,5:24.0,R. McGruder enters the game for P. George,,21,11
54,1,5:24.0,,T. Graham enters the game for J. Okogie,21,11
55,1,5:11.0,,Turnover by T. Graham (traveling),21,11
56,1,4:58.0,K. Leonard makes 2-pt jump shot from 22 ft,,23,11
57,1,4:49.0,,Shooting foul by M. Harkless (drawn by A. Wiggins),23,11
58,1,4:49.0,,A. Wiggins makes free throw 1 of 2,23,12
59,1,4:49.0,,A. Wiggins makes free throw 2 of 2,23,13
60,1,4:37.0,K. Leonard misses 2-pt jump shot from 21 ft,,23,13
61,1,4:33.0,,Defensive rebound by J. Teague,23,13
62,1,4:27.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),23,16
63,1,4:26.0,LA Clippers full timeout,,23,16
64,1,4:26.0,P. Patterson enters the game for M. Harkless,,23,16
65,1,4:26.0,D. Walton enters the game for T. Mann,,23,16
66,1,4:26.0,,K. Bates-Diop enters the game for R. Covington,23,16
67,1,4:26.0,,S. Napier enters the game for A. Wiggins,23,16
68,1,4:05.0,M. Harrell misses 2-pt layup from 4 ft,,23,16
69,1,4:02.0,Offensive rebound by M. Harrell,,23,16
70,1,4:02.0,M. Harrell misses 2-pt layup from 1 ft,,23,16
71,1,4:00.0,Offensive rebound by M. Harrell,,23,16
72,1,3:55.0,M. Harrell makes 2-pt layup from 1 ft,,25,16
73,1,3:46.0,,T. Graham misses 3-pt jump shot from 23 ft,25,16
74,1,3:43.0,Defensive rebound by R. McGruder,,25,16
75,1,3:28.0,M. Harrell makes 2-pt hook shot from 3 ft,,27,16
76,1,3:18.0,,J. Teague makes 2-pt jump shot from 13 ft,27,18
77,1,3:02.0,K. Leonard makes 3-pt jump shot from 25 ft,,30,18
78,1,2:46.0,,Shooting foul by M. Harrell (drawn by K. Towns),30,18
79,1,2:46.0,,K. Towns misses free throw 1 of 2,30,18
80,1,2:46.0,,Offensive rebound by Team,30,18
81,1,2:46.0,P. George enters the game for K. Leonard,,30,18
82,1,2:46.0,,K. Towns misses free throw 2 of 2,30,18
83,1,2:44.0,Defensive rebound by P. George,,30,18
84,1,2:31.0,Personal foul by S. Napier (drawn by P. Patterson),,30,18
85,1,2:31.0,,G. Dieng enters the game for T. Graham,30,18
86,1,2:31.0,,A. Wiggins enters the game for K. Towns,30,18
87,1,2:22.0,M. Harrell misses 2-pt jump shot from 11 ft,,30,18
88,1,2:19.0,Offensive rebound by R. McGruder,,30,18
89,1,2:17.0,P. George misses 3-pt jump shot from 24 ft,,30,18
90,1,2:14.0,,Defensive rebound by J. Teague,30,18
91,1,2:04.0,,J. Teague makes 2-pt jump shot from 9 ft,30,20
92,1,1:48.0,P. Patterson misses 3-pt jump shot from 25 ft,,30,20
93,1,1:46.0,,Defensive rebound by S. Napier,30,20
94,1,1:41.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by S. Napier),30,22
95,1,1:23.0,P. George misses 2-pt jump shot from 6 ft,,30,22
96,1,1:21.0,,Defensive rebound by G. Dieng,30,22
97,1,1:21.0,,Turnover by A. Wiggins (out of bounds lost ball),30,22
98,1,1:16.0,Shooting foul by G. Dieng (drawn by M. Harrell),,30,22
99,1,1:16.0,M. Harrell makes free throw 1 of 2,,31,22
100,1,1:16.0,M. Harrell misses free throw 2 of 2,,31,22
101,1,1:14.0,,Defensive rebound by G. Dieng,31,22
102,1,1:06.0,,A. Wiggins makes 2-pt dunk from 1 ft (assist by S. Napier),31,24
103,1,0:49.0,P. Patterson misses 3-pt jump shot from 24 ft,,31,24
104,1,0:46.0,,Defensive rebound by G. Dieng,31,24
105,1,0:40.0,,G. Dieng makes 2-pt layup from 2 ft (assist by S. Napier),31,26
106,1,0:25.0,Personal foul by S. Napier (drawn by P. George),,31,26
107,1,0:25.0,P. George makes free throw 1 of 2,,32,26
108,1,0:25.0,,K. Towns enters the game for G. Dieng,32,26
109,1,0:25.0,P. George makes free throw 2 of 2,,33,26
110,1,0:07.0,,A. Wiggins makes 3-pt jump shot from 25 ft,33,29
111,1,0:00.0,P. George misses 3-pt jump shot from 26 ft,,33,29
112,1,0:00.0,Offensive rebound by Team,,33,29
113,2,11:58.0,Personal foul by S. Napier (drawn by D. Walton),,33,29
114,2,11:48.0,Turnover by M. Harrell (traveling),,33,29
115,2,11:35.0,,S. Napier misses 3-pt jump shot from 23 ft,33,29
116,2,11:33.0,Defensive rebound by P. Patterson,,33,29
117,2,11:27.0,Turnover by P. George (out of bounds lost ball),,33,29
118,2,11:15.0,,G. Dieng misses 2-pt jump shot from 15 ft,33,29
119,2,11:12.0,Defensive rebound by P. George,,33,29
120,2,11:04.0,M. Harrell makes 2-pt dunk from 1 ft (assist by P. George),,35,29
121,2,10:58.0,,Personal foul by D. Walton (drawn by S. Napier),35,29
