,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
0,1,11:43.0,D. Šarić misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,,Defensive rebound by E. Payton,0,0
2,1,11:33.0,,J. Randle misses 2-pt jump shot from 11 ft,0,0
3,1,11:30.0,Defensive rebound by D. Ayton,,0,0
4,1,11:22.0,Turnover by R. Rubio (bad pass; steal by E. Payton),,0,0
5,1,11:17.0,,R. Barrett misses 2-pt layup from 2 ft,0,0
6,1,11:16.0,,Offensive rebound by R. Barrett,0,0
7,1,11:16.0,,R. Barrett misses 2-pt layup at rim,0,0
8,1,11:14.0,Defensive rebound by Team,,0,0
9,1,11:00.0,Shooting foul by R. Barrett (drawn by D. Booker),,0,0
10,1,11:00.0,D. Booker misses free throw 1 of 2,,0,0
11,1,11:00.0,Offensive rebound by Team,,0,0
12,1,11:00.0,D. Booker makes free throw 2 of 2,,1,0
13,1,10:48.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by R. Barrett),1,2
14,1,10:31.0,D. Ayton makes 2-pt dunk from 1 ft (assist by R. Rubio),,3,2
15,1,10:16.0,,J. Randle makes 2-pt layup from 1 ft,3,4
16,1,10:05.0,Personal foul by J. Randle (drawn by D. Šarić),,3,4
17,1,10:05.0,Offensive foul by D. Booker (drawn by R. Barrett),,3,4
18,1,10:05.0,Turnover by D. Booker (offensive foul),,3,4
19,1,9:50.0,,E. Payton makes 2-pt layup from 1 ft (assist by R. Barrett),3,6
20,1,9:30.0,M. Bridges misses 3-pt jump shot from 24 ft,,3,6
21,1,9:28.0,Offensive rebound by D. Šarić,,3,6
22,1,9:28.0,D. Šarić makes 2-pt layup from 1 ft,,5,6
23,1,9:15.0,,J. Randle misses 2-pt layup from 1 ft,5,6
24,1,9:13.0,,Offensive rebound by J. Randle,5,6
25,1,9:07.0,,R. Barrett misses 3-pt jump shot from 23 ft,5,6
26,1,9:05.0,Defensive rebound by R. Rubio,,5,6
27,1,9:02.0,R. Rubio misses 2-pt jump shot from 8 ft,,5,6
28,1,9:00.0,,Defensive rebound by R. Barrett,5,6
29,1,8:55.0,,Shooting foul by D. Šarić (drawn by R. Barrett),5,6
30,1,8:55.0,,R. Barrett makes free throw 1 of 2,5,7
31,1,8:55.0,,R. Barrett misses free throw 2 of 2,5,7
32,1,8:54.0,Defensive rebound by Team,,5,7
33,1,8:42.0,R. Rubio makes 2-pt layup from 1 ft (assist by D. Šarić),,7,7
34,1,8:31.0,,T. Gibson makes 2-pt layup from 2 ft (assist by E. Payton),7,9
35,1,8:31.0,,Shooting foul by D. Booker (drawn by T. Gibson),7,9
36,1,8:31.0,,T. Gibson makes free throw 1 of 1,7,10
37,1,8:17.0,D. Ayton makes 2-pt jump shot from 13 ft (assist by R. Rubio),,9,10
38,1,8:00.0,,R. Barrett misses 2-pt jump shot from 4 ft (block by D. Ayton),9,10
39,1,7:58.0,Defensive rebound by D. Ayton,,9,10
40,1,7:50.0,R. Rubio misses 2-pt jump shot from 8 ft,,9,10
41,1,7:48.0,,Defensive rebound by R. Barrett,9,10
42,1,7:43.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by E. Payton),9,13
43,1,7:25.0,D. Booker makes 2-pt layup from 1 ft,,11,13
44,1,7:25.0,Shooting foul by R. Barrett (drawn by D. Booker),,11,13
45,1,7:25.0,,D. Dotson enters the game for R. Barrett,11,13
46,1,7:25.0,D. Booker misses free throw 1 of 1,,11,13
47,1,7:23.0,,Defensive rebound by T. Gibson,11,13
48,1,7:13.0,,E. Payton makes 2-pt layup from 3 ft,11,15
49,1,7:06.0,D. Booker misses 2-pt jump shot from 3 ft,,11,15
50,1,7:05.0,,Defensive rebound by M. Morris,11,15
51,1,6:50.0,,E. Payton misses 3-pt jump shot from 23 ft,11,15
52,1,6:48.0,Defensive rebound by D. Šarić,,11,15
53,1,6:41.0,Shooting foul by T. Gibson (drawn by D. Ayton),,11,15
54,1,6:41.0,,New York full timeout,11,15
55,1,6:41.0,D. Ayton makes free throw 1 of 2,,12,15
56,1,6:41.0,D. Ayton makes free throw 2 of 2,,13,15
57,1,6:29.0,,Shooting foul by D. Šarić (drawn by M. Morris),13,15
58,1,6:29.0,A. Baynes enters the game for D. Šarić,,13,15
59,1,6:29.0,,M. Morris makes free throw 1 of 3,13,16
60,1,6:29.0,,M. Morris makes free throw 2 of 3,13,17
61,1,6:29.0,,M. Morris makes free throw 3 of 3,13,18
62,1,6:12.0,Turnover by A. Baynes (bad pass; steal by J. Randle),,13,18
63,1,6:08.0,,J. Randle makes 2-pt hook shot from 2 ft,13,20
64,1,6:08.0,,Shooting foul by A. Baynes (drawn by J. Randle),13,20
65,1,6:08.0,,M. Robinson enters the game for T. Gibson,13,20
66,1,6:08.0,,J. Randle makes free throw 1 of 1,13,21
67,1,5:59.0,Turnover by D. Ayton (traveling),,13,21
68,1,5:49.0,,M. Morris misses 3-pt jump shot from 25 ft,13,21
69,1,5:47.0,Defensive rebound by D. Booker,,13,21
70,1,5:37.0,D. Booker misses 3-pt jump shot from 24 ft,,13,21
71,1,5:35.0,Offensive rebound by R. Rubio,,13,21
72,1,5:24.0,D. Ayton misses 2-pt layup from 2 ft,,13,21
73,1,5:22.0,Offensive rebound by D. Ayton,,13,21
74,1,5:21.0,D. Ayton makes 2-pt hook shot from 5 ft,,15,21
75,1,5:11.0,,J. Randle makes 2-pt layup from 2 ft,15,23
76,1,4:50.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by M. Bridges),,18,23
77,1,4:38.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by E. Payton),18,26
78,1,4:28.0,Turnover by R. Rubio (bad pass),,18,26
79,1,4:28.0,,F. Ntilikina enters the game for E. Payton,18,26
80,1,4:11.0,,Turnover by M. Morris (out of bounds lost ball),18,26
81,1,4:11.0,C. Johnson enters the game for M. Bridges,,18,26
82,1,4:11.0,E. Okobo enters the game for R. Rubio,,18,26
83,1,3:57.0,Shooting foul by F. Ntilikina (drawn by D. Booker),,18,26
84,1,3:57.0,D. Booker makes free throw 1 of 2,,19,26
85,1,3:57.0,D. Booker makes free throw 2 of 2,,20,26
86,1,3:44.0,,F. Ntilikina misses 2-pt jump shot from 7 ft,20,26
87,1,3:42.0,Defensive rebound by D. Ayton,,20,26
88,1,3:38.0,D. Booker makes 3-pt jump shot from 25 ft,,23,26
89,1,3:22.0,,J. Randle misses 2-pt jump shot from 16 ft,23,26
90,1,3:20.0,Defensive rebound by D. Booker,,23,26
91,1,3:15.0,D. Booker misses 3-pt jump shot from 27 ft,,23,26
92,1,3:12.0,Offensive rebound by C. Johnson,,23,26
93,1,3:11.0,D. Booker misses 3-pt jump shot from 25 ft,,23,26
94,1,3:08.0,,Defensive rebound by M. Robinson,23,26
95,1,2:59.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,23,26
96,1,2:57.0,Defensive rebound by D. Booker,,23,26
97,1,2:47.0,Phoenix full timeout,,23,26
98,1,2:47.0,J. Carter enters the game for D. Ayton,,23,26
99,1,2:47.0,C. Diallo enters the game for D. Booker,,23,26
100,1,2:47.0,,K. Knox enters the game for M. Morris,23,26
101,1,2:47.0,,B. Portis enters the game for J. Randle,23,26
102,1,2:47.0,Turnover by D. Booker (lost ball; steal by M. Morris),,23,26
103,1,2:31.0,,F. Ntilikina makes 2-pt layup from 3 ft,23,28
104,1,2:13.0,E. Okobo misses 3-pt jump shot from 26 ft,,23,28
105,1,2:11.0,,Defensive rebound by K. Knox,23,28
106,1,2:03.0,,K. Knox misses 2-pt layup from 5 ft (block by C. Johnson),23,28
107,1,2:02.0,,Offensive rebound by Team,23,28
108,1,2:00.0,,K. Knox misses 2-pt jump shot from 16 ft,23,28
109,1,1:59.0,Defensive rebound by J. Carter,,23,28
110,1,1:41.0,A. Baynes misses 3-pt jump shot from 23 ft,,23,28
111,1,1:39.0,Offensive rebound by E. Okobo,,23,28
112,1,1:37.0,A. Baynes misses 3-pt jump shot from 26 ft,,23,28
113,1,1:36.0,,Defensive rebound by B. Portis,23,28
114,1,1:20.0,,Turnover by B. Portis (lost ball; steal by C. Diallo),23,28
115,1,1:16.0,C. Johnson misses 2-pt layup from 2 ft,,23,28
116,1,1:14.0,,Defensive rebound by B. Portis,23,28
117,1,1:03.0,,D. Dotson makes 2-pt jump shot from 19 ft,23,30
118,1,0:51.0,C. Diallo makes 2-pt layup from 1 ft,,25,30
119,1,0:44.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by F. Ntilikina),25,32
120,1,0:31.0,J. Carter misses 2-pt jump shot from 19 ft,,25,32
121,1,0:28.0,,Defensive rebound by D. Dotson,25,32
122,1,0:10.0,,F. Ntilikina misses 2-pt jump shot from 14 ft,25,32
123,1,0:08.0,,Offensive rebound by B. Portis,25,32
124,1,0:07.0,,B. Portis misses 2-pt layup from 1 ft,25,32
125,1,0:06.0,Defensive rebound by C. Johnson,,25,32
126,1,0:00.0,C. Diallo misses 2-pt layup from 2 ft,,25,32
127,1,0:00.0,,Defensive rebound by B. Portis,25,32
128,2,11:49.0,,K. Knox misses 3-pt jump shot from 23 ft,25,32
129,2,11:47.0,Defensive rebound by R. Rubio,,25,32
130,2,11:37.0,D. Ayton makes 2-pt jump shot from 19 ft (assist by M. Bridges),,27,32
131,2,11:20.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),27,35
132,2,11:00.0,D. Ayton misses 2-pt layup from 2 ft,,27,35
133,2,10:58.0,,Defensive rebound by K. Knox,27,35
134,2,10:50.0,,Turnover by R. Barrett (lost ball; steal by C. Diallo),27,35
135,2,10:38.0,D. Ayton misses 2-pt jump shot from 8 ft,,27,35
136,2,10:35.0,,Defensive rebound by K. Knox,27,35
137,2,10:31.0,,F. Ntilikina misses 2-pt layup from 2 ft,27,35
138,2,10:29.0,,Offensive rebound by M. Robinson,27,35
139,2,10:28.0,,M. Robinson misses 2-pt dunk from 1 ft,27,35
140,2,10:26.0,Defensive rebound by D. Ayton,,27,35
141,2,10:21.0,M. Bridges makes 2-pt layup from 2 ft (assist by R. Rubio),,29,35
142,2,10:07.0,,K. Knox misses 2-pt hook shot from 3 ft,29,35
143,2,10:05.0,Defensive rebound by M. Bridges,,29,35
144,2,10:00.0,C. Johnson makes 3-pt jump shot from 26 ft (assist by R. Rubio),,32,35
145,2,9:42.0,,R. Barrett misses 2-pt jump shot from 6 ft,32,35
146,2,9:41.0,Defensive rebound by C. Diallo,,32,35
147,2,9:31.0,Personal foul by R. Barrett (drawn by M. Bridges),,32,35
148,2,9:31.0,,D. Dotson enters the game for R. Barrett,32,35
149,2,9:22.0,Turnover by R. Rubio (bad pass; steal by M. Robinson),,32,35
150,2,9:20.0,,New York full timeout,32,35
151,2,9:02.0,,B. Portis misses 2-pt jump shot from 11 ft,32,35
152,2,9:00.0,Defensive rebound by R. Rubio,,32,35
153,2,8:54.0,R. Rubio misses 2-pt jump shot from 18 ft,,32,35
154,2,8:52.0,Offensive rebound by R. Rubio,,32,35
155,2,8:51.0,R. Rubio misses 2-pt jump shot from 18 ft,,32,35
156,2,8:49.0,,Defensive rebound by B. Portis,32,35
157,2,8:35.0,,K. Knox makes 2-pt layup from 3 ft,32,37
158,2,8:21.0,C. Johnson misses 2-pt jump shot from 8 ft,,32,37
159,2,8:18.0,Offensive rebound by D. Ayton,,32,37
