,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ATLANTA_ACTION,MINNESOTA_SCORE,ATLANTA_SCORE
0,1,11:53.0,,C. Reddish misses 2-pt layup from 2 ft,0,0
1,1,11:49.0,Defensive rebound by K. Towns,,0,0
2,1,11:34.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,2,0
3,1,11:20.0,,J. Parker makes 2-pt dunk from 1 ft (assist by C. Reddish),2,2
4,1,11:02.0,T. Graham makes 3-pt jump shot from 26 ft (assist by R. Covington),,5,2
5,1,10:43.0,,J. Parker makes 3-pt jump shot from 23 ft (assist by C. Reddish),5,5
6,1,10:30.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Culver),,8,5
7,1,10:17.0,,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),8,7
8,1,10:03.0,A. Wiggins makes 2-pt layup from 5 ft,,10,7
9,1,9:53.0,,T. Young makes 3-pt jump shot from 27 ft,10,10
10,1,9:37.0,Turnover by K. Towns (bad pass; steal by J. Parker),,10,10
11,1,9:31.0,,Turnover by T. Young (lost ball; steal by R. Covington),10,10
12,1,9:25.0,T. Graham makes 2-pt layup from 1 ft (assist by R. Covington),,12,10
13,1,9:11.0,,D. Hunter misses 3-pt jump shot from 22 ft,12,10
14,1,9:08.0,Defensive rebound by T. Graham,,12,10
15,1,9:01.0,R. Covington makes 3-pt jump shot from 25 ft (assist by K. Towns),,15,10
16,1,8:59.0,,Atlanta full timeout,15,10
17,1,8:54.0,,Personal foul by T. Graham (drawn by T. Young),15,10
18,1,8:48.0,,D. Hunter makes 3-pt jump shot from 26 ft (assist by T. Young),15,13
19,1,8:34.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Covington),,17,13
20,1,8:13.0,,T. Young makes 3-pt jump shot from 23 ft (assist by J. Parker),17,16
21,1,8:13.0,,Shooting foul by A. Wiggins (drawn by T. Young),17,16
22,1,8:13.0,,T. Young makes free throw 1 of 1,17,17
23,1,7:50.0,J. Culver misses 2-pt layup from 4 ft (block by D. Jones),,17,17
24,1,7:44.0,Offensive rebound by J. Culver,,17,17
25,1,7:43.0,J. Culver makes 2-pt jump shot from 12 ft,,19,17
26,1,7:34.0,,Turnover by T. Young (bad pass; steal by A. Wiggins),19,17
27,1,7:25.0,J. Culver makes 2-pt layup from 3 ft (assist by K. Towns),,21,17
28,1,7:25.0,,Violation by Team (def goaltending),21,17
29,1,7:25.0,Personal foul by J. Parker (drawn by J. Culver),,21,17
30,1,7:25.0,J. Okogie enters the game for T. Graham,,21,17
31,1,7:25.0,J. Culver makes free throw 1 of 1,,22,17
32,1,7:13.0,,J. Parker makes 2-pt layup from 2 ft (assist by T. Young),22,19
33,1,6:55.0,A. Wiggins makes 3-pt jump shot from 26 ft,,25,19
34,1,6:37.0,,Personal foul by J. Okogie (drawn by T. Young),25,19
35,1,6:37.0,J. Teague enters the game for J. Culver,,25,19
36,1,6:37.0,,B. Fernando enters the game for D. Jones,25,19
37,1,6:23.0,,J. Parker makes 2-pt dunk from 19 ft (assist by T. Young),25,21
38,1,6:13.0,R. Covington misses 3-pt jump shot from 26 ft,,25,21
39,1,6:10.0,,Defensive rebound by B. Fernando,25,21
40,1,6:05.0,,T. Young misses 3-pt jump shot from 25 ft,25,21
41,1,6:05.0,Defensive rebound by Team,,25,21
42,1,6:05.0,K. Bates-Diop enters the game for A. Wiggins,,25,21
43,1,6:05.0,,A. Crabbe enters the game for C. Reddish,25,21
44,1,5:41.0,Turnover by R. Covington (step out of bounds),,25,21
45,1,5:41.0,,V. Carter enters the game for J. Parker,25,21
46,1,5:16.0,,A. Crabbe misses 3-pt jump shot from 25 ft,25,21
47,1,5:14.0,Defensive rebound by K. Towns,,25,21
48,1,5:09.0,R. Covington misses 3-pt jump shot from 26 ft,,25,21
49,1,5:05.0,,Defensive rebound by Team,25,21
50,1,4:56.0,,V. Carter misses 3-pt jump shot from 27 ft,25,21
51,1,4:52.0,Defensive rebound by K. Towns,,25,21
52,1,4:41.0,J. Teague misses 3-pt jump shot from 27 ft,,25,21
53,1,4:38.0,,Defensive rebound by A. Crabbe,25,21
54,1,4:32.0,,T. Young misses 2-pt layup from 2 ft,25,21
55,1,4:29.0,Defensive rebound by K. Towns,,25,21
56,1,4:27.0,Shooting foul by A. Crabbe (drawn by R. Covington),,25,21
57,1,4:27.0,R. Covington makes free throw 1 of 2,,26,21
58,1,4:27.0,,D. Bembry enters the game for D. Hunter,26,21
59,1,4:27.0,,E. Turner enters the game for T. Young,26,21
60,1,4:27.0,R. Covington makes free throw 2 of 2,,27,21
61,1,4:10.0,,E. Turner makes 2-pt jump shot from 10 ft,27,23
62,1,3:53.0,R. Covington misses 2-pt jump shot from 23 ft,,27,23
63,1,3:51.0,,Defensive rebound by B. Fernando,27,23
64,1,3:44.0,,A. Crabbe misses 3-pt jump shot from 26 ft,27,23
65,1,3:42.0,Defensive rebound by Team,,27,23
66,1,3:42.0,K. Martin enters the game for R. Covington,,27,23
67,1,3:21.0,K. Martin makes 3-pt jump shot from 26 ft (assist by J. Okogie),,30,23
68,1,3:00.0,,Shooting foul by K. Martin (drawn by E. Turner),30,23
69,1,3:00.0,,E. Turner makes free throw 1 of 2,30,24
70,1,3:00.0,,E. Turner misses free throw 2 of 2,30,24
71,1,2:58.0,Defensive rebound by K. Martin,,30,24
72,1,2:52.0,K. Towns makes 3-pt jump shot from 26 ft (assist by K. Martin),,33,24
73,1,2:36.0,,B. Fernando makes 2-pt dunk from 1 ft (assist by D. Bembry),33,26
74,1,2:31.0,Shooting foul by V. Carter (drawn by K. Bates-Diop),,33,26
75,1,2:31.0,Minnesota full timeout,,33,26
76,1,2:31.0,G. Dieng enters the game for J. Okogie,,33,26
77,1,2:31.0,A. Wiggins enters the game for K. Towns,,33,26
78,1,2:31.0,K. Bates-Diop misses free throw 1 of 2,,33,26
79,1,2:31.0,Offensive rebound by Team,,33,26
80,1,2:31.0,K. Bates-Diop misses free throw 2 of 2,,33,26
81,1,2:28.0,,Defensive rebound by A. Crabbe,33,26
82,1,2:18.0,,A. Crabbe makes 2-pt jump shot from 23 ft (assist by E. Turner),33,28
83,1,1:59.0,K. Martin misses 3-pt jump shot from 25 ft,,33,28
84,1,1:56.0,,Defensive rebound by D. Bembry,33,28
85,1,1:48.0,,Turnover by D. Bembry (turnover),33,28
86,1,1:48.0,,Loose ball foul by D. Bembry (drawn by G. Dieng),33,28
87,1,1:29.0,K. Martin misses 2-pt layup from 3 ft,,33,28
88,1,1:25.0,Offensive rebound by K. Bates-Diop,,33,28
89,1,1:23.0,K. Bates-Diop makes 2-pt dunk from 1 ft,,35,28
90,1,1:09.0,,A. Crabbe makes 2-pt layup from 3 ft (assist by E. Turner),35,30
91,1,1:00.0,Turnover by J. Teague (out of bounds lost ball),,35,30
92,1,0:49.0,,A. Crabbe misses 2-pt jump shot from 13 ft,35,30
93,1,0:47.0,,Offensive rebound by A. Crabbe,35,30
94,1,0:42.0,,D. Bembry misses 2-pt dunk from 2 ft (block by K. Bates-Diop),35,30
95,1,0:37.0,Defensive rebound by K. Martin,,35,30
96,1,0:30.0,G. Dieng makes 3-pt jump shot from 25 ft (assist by J. Teague),,38,30
97,1,0:07.0,,E. Turner misses 2-pt jump shot from 11 ft,38,30
98,1,0:04.0,Defensive rebound by A. Wiggins,,38,30
99,1,0:00.0,K. Bates-Diop misses 3-pt jump shot from 27 ft,,38,30
100,1,0:00.0,Offensive rebound by Team,,38,30
101,2,11:39.0,G. Dieng misses 2-pt jump shot from 8 ft,,38,30
102,2,11:36.0,,Defensive rebound by T. Young,38,30
103,2,11:28.0,,Turnover by T. Young (back court),38,30
104,2,11:20.0,A. Wiggins makes 2-pt jump shot from 17 ft (assist by T. Graham),,40,30
105,2,11:06.0,,D. Hunter misses 2-pt jump shot from 9 ft,40,30
106,2,11:04.0,Defensive rebound by R. Covington,,40,30
107,2,10:56.0,Turnover by R. Covington (lost ball; steal by A. Crabbe),,40,30
108,2,10:52.0,,T. Young misses 2-pt layup from 15 ft,40,30
109,2,10:48.0,Defensive rebound by R. Covington,,40,30
110,2,10:41.0,J. Culver misses 2-pt jump shot from 6 ft,,40,30
111,2,10:41.0,J. Culver misses 2-pt layup from 1 ft (block by D. Hunter),,40,30
112,2,10:41.0,,Defensive rebound by C. Reddish,40,30
113,2,10:41.0,Offensive rebound by J. Culver,,40,30
114,2,10:32.0,,C. Reddish misses 2-pt layup from 2 ft,40,30
115,2,10:28.0,Defensive rebound by G. Dieng,,40,30
116,2,10:11.0,Turnover by A. Wiggins (bad pass),,40,30
117,2,10:00.0,,A. Len misses 2-pt layup from 10 ft (block by G. Dieng),40,30
118,2,10:00.0,,Offensive rebound by Team,40,30
119,2,9:55.0,,T. Young makes 2-pt jump shot from 19 ft,40,32
120,2,9:38.0,R. Covington misses 2-pt layup from 2 ft,,40,32
121,2,9:34.0,,Defensive rebound by A. Len,40,32
122,2,9:22.0,,T. Young misses 2-pt layup from 6 ft,40,32
123,2,9:22.0,,Offensive rebound by Team,40,32
124,2,9:22.0,Loose ball foul by T. Graham (drawn by A. Len),,40,32
125,2,9:22.0,,J. Parker enters the game for A. Crabbe,40,32
126,2,9:15.0,,Turnover by A. Len (bad pass; steal by J. Culver),40,32
127,2,9:15.0,Shooting foul by A. Len (drawn by J. Culver),,40,32
128,2,9:15.0,J. Culver misses free throw 1 of 2,,40,32
129,2,9:15.0,Offensive rebound by Team,,40,32
130,2,9:15.0,J. Culver makes free throw 2 of 2,,41,32
131,2,9:01.0,,C. Reddish misses 2-pt jump shot from 13 ft (block by T. Graham),41,32
132,2,9:01.0,,Offensive rebound by Team,41,32
133,2,8:57.0,,T. Young makes 3-pt jump shot from 30 ft (assist by A. Len),41,35
134,2,8:42.0,R. Covington misses 3-pt jump shot from 26 ft,,41,35
135,2,8:38.0,Offensive rebound by R. Covington,,41,35
136,2,8:32.0,Turnover by R. Covington (lost ball; steal by A. Len),,41,35
137,2,8:26.0,,Shooting foul by R. Covington (drawn by J. Parker),41,35
138,2,8:26.0,,J. Parker makes free throw 1 of 2,41,36
139,2,8:26.0,,J. Parker misses free throw 2 of 2,41,36
140,2,8:25.0,,Offensive rebound by Team,41,36
141,2,8:20.0,,T. Young misses 2-pt layup from 5 ft,41,36
142,2,8:20.0,,Offensive rebound by Team,41,36
143,2,8:20.0,Loose ball foul by G. Dieng (drawn by A. Len),,41,36
144,2,8:09.0,,T. Young makes 3-pt jump shot from 26 ft,41,39
145,2,8:06.0,Minnesota full timeout,,41,39
146,2,8:06.0,J. Teague enters the game for G. Dieng,,41,39
147,2,8:06.0,K. Towns enters the game for A. Wiggins,,41,39
148,2,8:06.0,,D. Jones enters the game for A. Len,41,39
149,2,7:55.0,Shooting foul by D. Jones (drawn by J. Culver),,41,39
150,2,7:55.0,J. Culver misses free throw 1 of 2,,41,39
