,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
0,1,11:40.0,T. Jones misses 3-pt jump shot from 26 ft,,0,0
1,1,11:36.0,,Defensive rebound by T. Satoranský,0,0
2,1,11:18.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by T. Satoranský),0,3
3,1,11:08.0,Turnover by J. Valančiūnas (discontinued dribble),,0,3
4,1,10:54.0,,W. Carter makes 2-pt jump shot from 13 ft (assist by T. Satoranský),0,5
5,1,10:39.0,D. Brooks misses 3-pt jump shot from 26 ft,,0,5
6,1,10:35.0,,Defensive rebound by W. Carter,0,5
7,1,10:31.0,,K. Dunn makes 2-pt jump shot from 15 ft,0,7
8,1,10:30.0,Memphis full timeout,,0,7
9,1,10:10.0,J. Crowder makes 2-pt jump shot from 11 ft (assist by T. Jones),,2,7
10,1,9:52.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by T. Satoranský),2,10
11,1,9:31.0,J. Jackson misses 2-pt jump shot from 6 ft,,2,10
12,1,9:27.0,,Defensive rebound by W. Carter,2,10
13,1,9:14.0,,T. Satoranský misses 2-pt jump shot from 5 ft,2,10
14,1,9:10.0,,Offensive rebound by T. Satoranský,2,10
15,1,8:57.0,,W. Carter misses 2-pt hook shot from 7 ft,2,10
16,1,8:55.0,Defensive rebound by J. Crowder,,2,10
17,1,8:41.0,J. Crowder misses 3-pt jump shot from 24 ft,,2,10
18,1,8:38.0,,Defensive rebound by Z. LaVine,2,10
19,1,8:29.0,,W. Carter misses 2-pt jump shot from 17 ft,2,10
20,1,8:26.0,Defensive rebound by J. Valančiūnas,,2,10
21,1,8:12.0,J. Valančiūnas misses 2-pt layup from 2 ft,,2,10
22,1,8:10.0,,Defensive rebound by K. Dunn,2,10
23,1,8:07.0,,Z. LaVine makes 3-pt jump shot from 22 ft (assist by K. Dunn),2,13
24,1,7:44.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. Brooks),,4,13
25,1,7:34.0,,K. Dunn misses 3-pt jump shot from 25 ft,4,13
26,1,7:32.0,Defensive rebound by J. Valančiūnas,,4,13
27,1,7:29.0,Personal foul by K. Dunn (drawn by J. Crowder),,4,13
28,1,7:29.0,S. Hill enters the game for J. Valančiūnas,,4,13
29,1,7:23.0,J. Crowder misses 3-pt jump shot from 25 ft,,4,13
30,1,7:18.0,,Defensive rebound by W. Carter,4,13
31,1,7:01.0,,T. Satoranský misses 2-pt layup from 3 ft,4,13
32,1,6:59.0,Defensive rebound by J. Jackson,,4,13
33,1,6:49.0,S. Hill misses 2-pt jump shot from 10 ft,,4,13
34,1,6:45.0,Offensive rebound by J. Jackson,,4,13
35,1,6:40.0,T. Jones makes 2-pt jump shot from 6 ft (assist by J. Jackson),,6,13
36,1,6:40.0,G. Allen enters the game for D. Brooks,,6,13
37,1,6:29.0,,L. Markkanen makes 2-pt hook shot from 5 ft (assist by K. Dunn),6,15
38,1,6:18.0,T. Jones makes 2-pt jump shot from 18 ft (assist by J. Crowder),,8,15
39,1,5:58.0,,K. Dunn makes 2-pt layup from 1 ft,8,17
40,1,5:58.0,,C. White enters the game for K. Dunn,8,17
41,1,5:45.0,J. Crowder makes 2-pt jump shot from 10 ft (assist by S. Hill),,10,17
42,1,5:38.0,,Offensive foul by W. Carter (drawn by J. Jackson),10,17
43,1,5:38.0,,Turnover by W. Carter (offensive foul),10,17
44,1,5:25.0,G. Allen makes 2-pt jump shot from 6 ft (assist by T. Jones),,12,17
45,1,5:14.0,,Personal foul by T. Jones (drawn by T. Satoranský),12,17
46,1,5:09.0,,L. Markkanen misses 3-pt jump shot from 28 ft,12,17
47,1,5:03.0,Defensive rebound by G. Allen,,12,17
48,1,5:02.0,Turnover by G. Allen (bad pass),,12,17
49,1,4:46.0,,Offensive foul by W. Carter (drawn by J. Jackson),12,17
50,1,4:46.0,,Turnover by W. Carter (offensive foul),12,17
51,1,4:46.0,M. Guduric enters the game for J. Crowder,,12,17
52,1,4:46.0,D. Melton enters the game for T. Jones,,12,17
53,1,4:46.0,,D. Gafford enters the game for W. Carter,12,17
54,1,4:30.0,J. Jackson makes 2-pt layup from 3 ft (assist by D. Melton),,14,17
55,1,4:20.0,,Z. LaVine makes 2-pt dunk at rim (assist by T. Satoranský),14,19
56,1,4:11.0,J. Jackson misses 3-pt jump shot from 25 ft,,14,19
57,1,4:09.0,,Defensive rebound by Z. LaVine,14,19
58,1,4:05.0,,Shooting foul by G. Allen (drawn by Z. LaVine),14,19
59,1,4:05.0,,Z. LaVine makes free throw 1 of 3,14,20
60,1,4:05.0,,Z. LaVine makes free throw 2 of 3,14,21
61,1,4:05.0,,R. Arcidiacono enters the game for L. Markkanen,14,21
62,1,4:05.0,,T. Young enters the game for T. Satoranský,14,21
63,1,4:05.0,,Z. LaVine makes free throw 3 of 3,14,22
64,1,3:53.0,G. Allen misses 3-pt jump shot from 25 ft,,14,22
65,1,3:52.0,Offensive rebound by Team,,14,22
66,1,3:46.0,J. Jackson misses 2-pt layup from 2 ft (block by D. Gafford),,14,22
67,1,3:40.0,Offensive rebound by J. Jackson,,14,22
68,1,3:40.0,J. Jackson makes 2-pt dunk at rim,,16,22
69,1,3:27.0,,Z. LaVine makes 2-pt layup at rim,16,24
70,1,3:16.0,Offensive foul by J. Jackson (drawn by D. Gafford),,16,24
71,1,3:16.0,Turnover by J. Jackson (offensive foul),,16,24
72,1,3:16.0,B. Caboclo enters the game for J. Jackson,,16,24
73,1,3:16.0,,D. Valentine enters the game for Z. LaVine,16,24
74,1,2:58.0,,Chicago full timeout,16,24
75,1,2:58.0,,Turnover by (5 sec),16,24
76,1,2:47.0,S. Hill misses 3-pt jump shot from 25 ft,,16,24
77,1,2:44.0,,Defensive rebound by D. Valentine,16,24
78,1,2:38.0,,C. White misses 2-pt jump shot from 6 ft,16,24
79,1,2:36.0,,Offensive rebound by C. White,16,24
80,1,2:27.0,,R. Arcidiacono misses 2-pt jump shot from 19 ft,16,24
81,1,2:24.0,Defensive rebound by G. Allen,,16,24
82,1,2:12.0,M. Guduric misses 3-pt jump shot from 23 ft,,16,24
83,1,2:09.0,,Defensive rebound by C. White,16,24
84,1,2:05.0,,C. White misses 2-pt layup from 1 ft,16,24
85,1,2:03.0,Defensive rebound by G. Allen,,16,24
86,1,2:00.0,G. Allen misses 2-pt layup from 4 ft (block by D. Gafford),,16,24
87,1,2:00.0,Offensive rebound by Team,,16,24
88,1,2:00.0,D. Brooks enters the game for G. Allen,,16,24
89,1,1:55.0,D. Melton misses 3-pt jump shot from 26 ft,,16,24
90,1,1:51.0,,Defensive rebound by C. White,16,24
91,1,1:45.0,,Turnover by R. Arcidiacono (bad pass; steal by D. Melton),16,24
92,1,1:42.0,Shooting foul by C. White (drawn by M. Guduric),,16,24
93,1,1:42.0,M. Guduric makes free throw 1 of 2,,17,24
94,1,1:42.0,M. Guduric makes free throw 2 of 2,,18,24
95,1,1:35.0,,Offensive foul by C. White (drawn by D. Melton),18,24
96,1,1:35.0,,Turnover by C. White (offensive foul),18,24
97,1,1:35.0,J. Valančiūnas enters the game for S. Hill,,18,24
98,1,1:25.0,D. Brooks misses 3-pt jump shot from 22 ft,,18,24
99,1,1:22.0,,Defensive rebound by C. White,18,24
100,1,1:17.0,,D. Valentine misses 3-pt jump shot from 23 ft,18,24
101,1,1:15.0,Defensive rebound by D. Melton,,18,24
102,1,1:07.0,D. Melton makes 2-pt layup from 2 ft,,20,24
103,1,0:54.0,,T. Young misses 2-pt layup from 2 ft,20,24
104,1,0:51.0,Defensive rebound by J. Valančiūnas,,20,24
105,1,0:41.0,D. Brooks misses 2-pt jump shot from 11 ft,,20,24
