,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,,Turnover by L. Ball (bad pass; steal by K. Middleton),0,0
1,1,11:43.0,Turnover by K. Middleton (bad pass),,0,0
2,1,11:36.0,,L. Ball misses 3-pt jump shot from 24 ft,0,0
3,1,11:33.0,Defensive rebound by G. Antetokounmpo,,0,0
4,1,11:29.0,Shooting foul by D. Favors (drawn by G. Antetokounmpo),,0,0
5,1,11:29.0,G. Antetokounmpo makes free throw 1 of 2,,1,0
6,1,11:29.0,G. Antetokounmpo makes free throw 2 of 2,,2,0
7,1,11:22.0,,Turnover by Z. Williamson (out of bounds lost ball),2,0
8,1,11:07.0,W. Matthews misses 3-pt jump shot from 26 ft,,2,0
9,1,11:04.0,,Defensive rebound by D. Favors,2,0
10,1,10:50.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by Z. Williamson),2,3
11,1,10:35.0,W. Matthews makes 2-pt jump shot from 7 ft,,4,3
12,1,10:23.0,,J. Holiday misses 3-pt jump shot from 25 ft,4,3
13,1,10:20.0,Defensive rebound by K. Middleton,,4,3
14,1,10:11.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),,6,3
15,1,9:55.0,,Z. Williamson misses 3-pt jump shot from 25 ft,6,3
16,1,9:52.0,Defensive rebound by K. Middleton,,6,3
17,1,9:49.0,W. Matthews makes 3-pt jump shot from 30 ft (assist by K. Middleton),,9,3
18,1,9:38.0,,L. Ball makes 3-pt jump shot from 23 ft (assist by J. Holiday),9,6
19,1,9:25.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by D. Favors),,9,6
20,1,9:23.0,,Defensive rebound by L. Ball,9,6
21,1,9:08.0,,Turnover by B. Ingram (bad pass; steal by G. Antetokounmpo),9,6
22,1,9:05.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Holiday),,9,6
23,1,9:01.0,,B. Ingram makes 3-pt jump shot from 23 ft (assist by D. Favors),9,9
24,1,8:48.0,B. Lopez makes 2-pt dunk from 1 ft (assist by K. Middleton),,11,9
25,1,8:28.0,,Z. Williamson misses 2-pt layup from 2 ft,11,9
26,1,8:26.0,,Offensive rebound by Z. Williamson,11,9
27,1,8:26.0,,Z. Williamson misses 2-pt layup at rim,11,9
28,1,8:25.0,,Offensive rebound by D. Favors,11,9
29,1,8:22.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by D. Favors),11,12
30,1,8:12.0,K. Middleton misses 2-pt jump shot from 18 ft,,11,12
31,1,8:09.0,,Defensive rebound by D. Favors,11,12
32,1,7:54.0,,B. Ingram makes 3-pt jump shot from 25 ft (assist by Z. Williamson),11,15
33,1,7:36.0,B. Lopez makes 2-pt hook shot from 7 ft (assist by W. Matthews),,13,15
34,1,7:19.0,,J. Holiday makes 2-pt layup from 1 ft,13,17
35,1,7:19.0,Milwaukee full timeout,,13,17
36,1,7:05.0,Personal foul by B. Ingram (drawn by E. Bledsoe),,13,17
37,1,6:56.0,E. Bledsoe misses 2-pt layup from 2 ft,,13,17
38,1,6:54.0,,Defensive rebound by D. Favors,13,17
39,1,6:36.0,,B. Ingram misses 3-pt jump shot from 27 ft,13,17
40,1,6:33.0,Defensive rebound by E. Bledsoe,,13,17
41,1,6:30.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),,15,17
42,1,6:07.0,,J. Holiday misses 2-pt jump shot from 10 ft,15,17
43,1,6:03.0,,Offensive rebound by Z. Williamson,15,17
44,1,6:03.0,,Z. Williamson makes 2-pt layup at rim,15,19
45,1,5:59.0,B. Lopez misses 3-pt jump shot from 26 ft,,15,19
46,1,5:57.0,,Defensive rebound by B. Ingram,15,19
47,1,5:45.0,,Z. Williamson misses 2-pt layup from 3 ft,15,19
48,1,5:43.0,Defensive rebound by B. Lopez,,15,19
49,1,5:33.0,W. Matthews misses 2-pt jump shot from 18 ft,,15,19
50,1,5:30.0,,Defensive rebound by Z. Williamson,15,19
51,1,5:12.0,,D. Favors misses 3-pt jump shot from 23 ft,15,19
52,1,5:08.0,Defensive rebound by W. Matthews,,15,19
53,1,5:05.0,E. Bledsoe misses 2-pt layup from 2 ft (block by B. Ingram),,15,19
54,1,5:04.0,Offensive rebound by Team,,15,19
55,1,5:04.0,P. Connaughton enters the game for G. Antetokounmpo,,15,19
56,1,5:04.0,D. DiVincenzo enters the game for E. Bledsoe,,15,19
57,1,5:04.0,E. İlyasova enters the game for W. Matthews,,15,19
58,1,5:04.0,,J. Redick enters the game for Z. Williamson,15,19
59,1,5:01.0,K. Middleton makes 2-pt layup from 3 ft (assist by D. DiVincenzo),,17,19
60,1,4:48.0,,Turnover by J. Holiday (lost ball; steal by D. DiVincenzo),17,19
61,1,4:43.0,D. DiVincenzo makes 2-pt layup from 2 ft (assist by K. Middleton),,19,19
62,1,4:43.0,R. Lopez enters the game for B. Lopez,,19,19
63,1,4:43.0,,J. Hayes enters the game for D. Favors,19,19
64,1,4:31.0,,J. Redick misses 3-pt jump shot from 24 ft,19,19
65,1,4:28.0,Defensive rebound by E. İlyasova,,19,19
66,1,4:22.0,K. Middleton makes 2-pt jump shot from 19 ft,,21,19
67,1,4:04.0,,J. Redick makes 2-pt jump shot from 16 ft (assist by J. Hayes),21,21
68,1,3:48.0,K. Middleton misses 3-pt jump shot from 27 ft (block by J. Holiday),,21,21
69,1,3:45.0,,Defensive rebound by L. Ball,21,21
70,1,3:43.0,,J. Holiday misses 2-pt layup from 2 ft,21,21
71,1,3:43.0,Defensive rebound by R. Lopez,,21,21
72,1,3:37.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,21,21
73,1,3:34.0,,Defensive rebound by B. Ingram,21,21
74,1,3:27.0,Violation by Team (kicked ball),,21,21
75,1,3:27.0,K. Korver enters the game for K. Middleton,,21,21
76,1,3:27.0,,J. Hart enters the game for J. Holiday,21,21
77,1,3:16.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Hayes),21,24
78,1,3:03.0,E. İlyasova misses 3-pt jump shot from 26 ft,,21,24
79,1,3:02.0,,Defensive rebound by L. Ball,21,24
80,1,2:52.0,,B. Ingram makes 2-pt layup from 2 ft,21,26
81,1,2:38.0,Turnover by D. DiVincenzo (lost ball; steal by B. Ingram),,21,26
82,1,2:15.0,,B. Ingram makes 2-pt jump shot from 13 ft,21,28
83,1,1:57.0,Personal foul by L. Ball (drawn by R. Lopez),,21,28
84,1,1:57.0,,New Orleans full timeout,21,28
85,1,1:51.0,K. Korver misses 3-pt jump shot from 26 ft,,21,28
86,1,1:47.0,,Defensive rebound by L. Ball,21,28
87,1,1:43.0,,Turnover by L. Ball (bad pass; steal by P. Connaughton),21,28
88,1,1:35.0,E. İlyasova misses 2-pt layup from 2 ft,,21,28
89,1,1:34.0,,Defensive rebound by J. Hayes,21,28
90,1,1:21.0,,J. Hart misses 3-pt jump shot from 24 ft,21,28
91,1,1:18.0,Defensive rebound by E. İlyasova,,21,28
92,1,1:12.0,D. DiVincenzo makes 2-pt layup from 2 ft (assist by E. İlyasova),,23,28
93,1,0:56.0,,J. Redick misses 2-pt jump shot from 18 ft (block by P. Connaughton),23,28
94,1,0:56.0,Defensive rebound by P. Connaughton,,23,28
95,1,0:51.0,Turnover by P. Connaughton (bad pass; steal by J. Hart),,23,28
96,1,0:46.0,,J. Redick makes 2-pt layup from 2 ft (assist by J. Hart),23,30
97,1,0:37.0,D. DiVincenzo misses 3-pt jump shot from 28 ft,,23,30
98,1,0:37.0,,Defensive rebound by B. Ingram,23,30
99,1,0:28.0,,Shooting foul by D. DiVincenzo (drawn by B. Ingram),23,30
100,1,0:28.0,,B. Ingram makes free throw 1 of 3,23,31
101,1,0:28.0,,B. Ingram makes free throw 2 of 3,23,32
102,1,0:28.0,G. Antetokounmpo enters the game for E. İlyasova,,23,32
103,1,0:28.0,,B. Ingram makes free throw 3 of 3,23,33
104,1,0:12.0,D. DiVincenzo misses 2-pt layup from 3 ft (block by J. Hart),,23,33
105,1,0:11.0,Offensive rebound by D. DiVincenzo,,23,33
106,1,0:06.0,K. Korver makes 3-pt jump shot from 27 ft,,26,33
107,1,0:00.0,,B. Ingram misses 3-pt jump shot from 25 ft,26,33
108,1,0:00.0,,Offensive rebound by Team,26,33
109,2,11:46.0,K. Korver makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,29,33
110,2,11:27.0,,Z. Williamson misses 2-pt layup from 3 ft,29,33
111,2,11:27.0,,Offensive rebound by Z. Williamson,29,33
112,2,11:27.0,,Shooting foul by K. Korver (drawn by Z. Williamson),29,33
113,2,11:27.0,,Z. Williamson misses free throw 1 of 2,29,33
114,2,11:27.0,,Offensive rebound by Team,29,33
115,2,11:27.0,B. Lopez enters the game for R. Lopez,,29,33
116,2,11:27.0,,Z. Williamson makes free throw 2 of 2,29,34
117,2,11:14.0,Turnover by E. Bledsoe (bad pass; steal by J. Holiday),,29,34
118,2,11:14.0,,Personal take foul by E. Bledsoe (drawn by Z. Williamson),29,34
119,2,10:56.0,,Turnover by J. Holiday (lost ball; steal by K. Korver),29,34
120,2,10:39.0,K. Korver misses 3-pt jump shot from 24 ft,,29,34
121,2,10:35.0,Offensive rebound by P. Connaughton,,29,34
122,2,10:32.0,Shooting foul by J. Redick (drawn by G. Antetokounmpo),,29,34
123,2,10:32.0,G. Antetokounmpo misses free throw 1 of 2,,29,34
124,2,10:32.0,Offensive rebound by Team,,29,34
125,2,10:32.0,K. Middleton enters the game for P. Connaughton,,29,34
126,2,10:32.0,G. Antetokounmpo makes free throw 2 of 2,,30,34
127,2,10:18.0,,Z. Williamson makes 2-pt layup from 1 ft,30,36
128,2,10:09.0,E. Bledsoe misses 2-pt layup from 1 ft,,30,36
129,2,10:08.0,,Defensive rebound by Team,30,36
130,2,9:52.0,,J. Hart makes 3-pt jump shot from 22 ft (assist by J. Redick),30,39
131,2,9:38.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,32,39
132,2,9:27.0,,Z. Williamson misses 2-pt layup from 2 ft,32,39
133,2,9:25.0,Defensive rebound by G. Antetokounmpo,,32,39
134,2,9:21.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,34,39
135,2,9:21.0,Shooting foul by J. Holiday (drawn by G. Antetokounmpo),,34,39
136,2,9:21.0,G. Antetokounmpo makes free throw 1 of 1,,35,39
137,2,9:10.0,,J. Holiday misses 2-pt layup from 2 ft (block by B. Lopez),35,39
138,2,9:07.0,Defensive rebound by B. Lopez,,35,39
139,2,9:00.0,E. Bledsoe makes 2-pt jump shot from 23 ft (assist by K. Middleton),,37,39
140,2,8:50.0,,Z. Williamson misses 3-pt jump shot from 25 ft,37,39
