,QUARTER,TIME_REMAINING,DALLAS_ACTION,CLEVELAND_ACTION,DALLAS_SCORE,CLEVELAND_SCORE
0,1,11:42.0,S. Curry makes 2-pt jump shot from 20 ft,,2,0
1,1,11:26.0,,C. Osman misses 3-pt jump shot from 24 ft,2,0
2,1,11:24.0,Defensive rebound by K. Porziņģis,,2,0
3,1,11:12.0,S. Curry misses 3-pt jump shot from 25 ft,,2,0
4,1,11:09.0,,Defensive rebound by T. Thompson,2,0
5,1,11:02.0,,K. Love makes 2-pt jump shot from 16 ft,2,2
6,1,10:38.0,Turnover by K. Porziņģis (bad pass; steal by T. Thompson),,2,2
7,1,10:33.0,,C. Sexton misses 2-pt layup from 1 ft (block by K. Porziņģis),2,2
8,1,10:33.0,,Offensive rebound by Team,2,2
9,1,10:31.0,,K. Love misses 3-pt jump shot from 28 ft,2,2
10,1,10:29.0,Defensive rebound by L. Dončić,,2,2
11,1,10:17.0,J. Brunson makes 2-pt jump shot from 6 ft (assist by L. Dončić),,4,2
12,1,10:07.0,,C. Sexton makes 2-pt jump shot from 14 ft,4,4
13,1,9:51.0,D. Powell makes 2-pt dunk from 2 ft (assist by S. Curry),,6,4
14,1,9:39.0,,K. Love makes 3-pt jump shot from 25 ft (assist by T. Thompson),6,7
15,1,9:26.0,Turnover by L. Dončić (bad pass; steal by D. Garland),,6,7
16,1,9:23.0,,C. Osman misses 2-pt layup at rim (block by K. Porziņģis),6,7
17,1,9:21.0,,Offensive rebound by C. Osman,6,7
18,1,9:12.0,,K. Love misses 2-pt jump shot from 6 ft,6,7
19,1,9:10.0,Defensive rebound by L. Dončić,,6,7
20,1,9:02.0,Offensive foul by D. Powell (drawn by C. Osman),,6,7
21,1,9:02.0,Turnover by D. Powell (offensive foul),,6,7
22,1,8:49.0,,K. Love makes 3-pt jump shot from 25 ft (assist by C. Sexton),6,10
23,1,8:32.0,L. Dončić makes 2-pt jump shot from 12 ft,,8,10
24,1,8:06.0,,C. Sexton makes 2-pt jump shot from 19 ft,8,12
25,1,7:53.0,J. Brunson makes 2-pt layup from 2 ft (assist by L. Dončić),,10,12
26,1,7:40.0,,C. Sexton misses 3-pt jump shot from 26 ft,10,12
27,1,7:38.0,Defensive rebound by D. Powell,,10,12
28,1,7:26.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,10,12
29,1,7:23.0,,Defensive rebound by K. Love,10,12
30,1,7:16.0,,K. Love makes 3-pt jump shot from 27 ft (assist by D. Garland),10,15
31,1,7:15.0,Dallas full timeout,,10,15
32,1,7:07.0,Turnover by L. Dončić (traveling),,10,15
33,1,6:48.0,,D. Garland makes 2-pt jump shot from 12 ft,10,17
34,1,6:35.0,L. Dončić makes 2-pt layup from 2 ft,,12,17
35,1,6:13.0,,C. Osman makes 2-pt jump shot from 12 ft (assist by C. Sexton),12,19
36,1,5:57.0,S. Curry makes 3-pt jump shot from 24 ft (assist by J. Brunson),,15,19
37,1,5:38.0,,C. Sexton makes 2-pt jump shot from 15 ft (assist by T. Thompson),15,21
38,1,5:26.0,J. Brunson misses 3-pt jump shot from 25 ft,,15,21
39,1,5:22.0,,Defensive rebound by T. Thompson,15,21
40,1,5:08.0,,K. Love makes 2-pt layup from 1 ft,15,23
41,1,4:46.0,L. Dončić makes 3-pt jump shot from 26 ft,,18,23
42,1,4:25.0,,Turnover by D. Garland (bad pass),18,23
43,1,4:25.0,D. Finney-Smith enters the game for J. Brunson,,18,23
44,1,4:25.0,T. Hardaway enters the game for S. Curry,,18,23
45,1,4:25.0,B. Marjanović enters the game for K. Porziņģis,,18,23
46,1,4:25.0,D. Wright enters the game for D. Powell,,18,23
47,1,4:25.0,,J. Clarkson enters the game for D. Garland,18,23
48,1,4:25.0,,L. Nance enters the game for K. Love,18,23
49,1,4:23.0,Personal foul by C. Osman (drawn by L. Dončić),,18,23
50,1,4:13.0,B. Marjanović misses 2-pt jump shot from 12 ft,,18,23
51,1,4:09.0,,Defensive rebound by C. Sexton,18,23
