,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,Turnover by L. Shamet (out of bounds lost ball),0,0
1,1,11:35.0,E. Bledsoe makes 3-pt jump shot from 25 ft,,3,0
2,1,11:16.0,,Turnover by P. Patterson (lost ball; steal by G. Antetokounmpo),3,0
3,1,11:10.0,W. Matthews misses 3-pt jump shot from 26 ft,,3,0
4,1,11:06.0,,Defensive rebound by M. Harrell,3,0
5,1,10:56.0,,L. Williams misses 2-pt jump shot from 8 ft (block by E. Bledsoe),3,0
6,1,10:53.0,,Offensive rebound by L. Williams,3,0
7,1,10:53.0,,Turnover by L. Williams (bad pass; steal by K. Middleton),3,0
8,1,10:49.0,E. Bledsoe misses 3-pt jump shot from 22 ft,,3,0
9,1,10:45.0,,Defensive rebound by P. Beverley,3,0
10,1,10:38.0,,P. Beverley misses 2-pt layup from 1 ft,3,0
11,1,10:37.0,Defensive rebound by K. Middleton,,3,0
12,1,10:27.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,3,0
13,1,10:24.0,,Defensive rebound by P. Beverley,3,0
14,1,10:14.0,,L. Williams misses 2-pt layup from 1 ft (block by B. Lopez),3,0
15,1,10:12.0,Defensive rebound by E. Bledsoe,,3,0
16,1,10:09.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by M. Harrell),,3,0
17,1,10:07.0,Offensive rebound by G. Antetokounmpo,,3,0
18,1,10:07.0,G. Antetokounmpo makes 2-pt layup at rim,,5,0
19,1,10:07.0,,LA Clippers full timeout,5,0
20,1,9:47.0,,Turnover by L. Shamet (bad pass; steal by K. Middleton),5,0
21,1,9:41.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,5,0
22,1,9:41.0,,Defensive rebound by P. Beverley,5,0
23,1,9:38.0,,L. Shamet misses 3-pt jump shot from 23 ft,5,0
24,1,9:35.0,Defensive rebound by E. Bledsoe,,5,0
25,1,9:25.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,5,0
26,1,9:21.0,Offensive rebound by B. Lopez,,5,0
27,1,9:20.0,B. Lopez misses 2-pt layup from 2 ft,,5,0
28,1,9:20.0,Offensive rebound by B. Lopez,,5,0
29,1,9:16.0,B. Lopez makes 2-pt layup from 1 ft,,7,0
30,1,9:09.0,,L. Williams misses 3-pt jump shot from 24 ft,7,0
31,1,9:06.0,Defensive rebound by K. Middleton,,7,0
32,1,8:57.0,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),,9,0
33,1,8:30.0,,M. Harrell misses 2-pt jump shot from 4 ft,9,0
34,1,8:28.0,,Offensive rebound by M. Harrell,9,0
35,1,8:28.0,,M. Harrell misses 2-pt layup at rim,9,0
36,1,8:27.0,Defensive rebound by K. Middleton,,9,0
37,1,8:18.0,Turnover by K. Middleton (lost ball; steal by P. Beverley),,9,0
38,1,8:12.0,,P. Patterson misses 3-pt jump shot from 26 ft,9,0
39,1,8:10.0,Defensive rebound by Team,,9,0
40,1,8:10.0,,J. Green enters the game for P. Patterson,9,0
41,1,8:04.0,Personal foul by L. Shamet (drawn by E. Bledsoe),,9,0
42,1,7:52.0,B. Lopez misses 3-pt jump shot from 28 ft,,9,0
43,1,7:48.0,,Defensive rebound by L. Williams,9,0
44,1,7:40.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by L. Williams),9,3
45,1,7:32.0,Turnover by E. Bledsoe (step out of bounds),,9,3
46,1,7:14.0,,L. Williams misses 3-pt jump shot from 26 ft,9,3
47,1,7:11.0,Defensive rebound by G. Antetokounmpo,,9,3
48,1,7:01.0,B. Lopez makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,11,3
49,1,6:47.0,,J. Green makes 3-pt jump shot from 25 ft (assist by L. Williams),11,6
50,1,6:28.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by B. Lopez),,14,6
51,1,6:23.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),14,8
52,1,6:23.0,,Shooting foul by E. Bledsoe (drawn by M. Harrell),14,8
53,1,6:23.0,P. Connaughton enters the game for W. Matthews,,14,8
54,1,6:23.0,Milwaukee full timeout,,14,8
55,1,6:23.0,,M. Harrell makes free throw 1 of 1,14,9
56,1,6:08.0,E. Bledsoe makes 3-pt jump shot from 24 ft,,17,9
57,1,5:43.0,,Turnover by P. Beverley (traveling),17,9
58,1,5:43.0,E. İlyasova enters the game for G. Antetokounmpo,,17,9
59,1,5:29.0,B. Lopez misses 2-pt hook shot from 10 ft,,17,9
60,1,5:25.0,,Defensive rebound by L. Williams,17,9
61,1,5:16.0,,L. Shamet misses 3-pt jump shot from 26 ft,17,9
62,1,5:13.0,Defensive rebound by B. Lopez,,17,9
63,1,5:08.0,K. Middleton misses 3-pt jump shot from 26 ft,,17,9
64,1,5:04.0,,Defensive rebound by L. Shamet,17,9
65,1,4:59.0,,L. Williams makes 2-pt jump shot from 10 ft,17,11
66,1,4:39.0,B. Lopez misses 2-pt layup from 1 ft,,17,11
67,1,4:38.0,,Defensive rebound by M. Harrell,17,11
68,1,4:32.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by L. Williams),17,14
69,1,4:16.0,K. Middleton makes 2-pt layup from 2 ft (assist by P. Connaughton),,19,14
70,1,4:06.0,,Shooting foul by E. Bledsoe (drawn by L. Williams),19,14
71,1,4:06.0,,L. Williams makes free throw 1 of 2,19,15
72,1,4:06.0,D. DiVincenzo enters the game for E. Bledsoe,,19,15
73,1,4:06.0,G. Hill enters the game for B. Lopez,,19,15
74,1,4:06.0,R. Lopez enters the game for K. Middleton,,19,15
75,1,4:06.0,,M. Harkless enters the game for P. Beverley,19,15
76,1,4:06.0,,J. Robinson enters the game for L. Shamet,19,15
77,1,4:06.0,,L. Williams makes free throw 2 of 2,19,16
78,1,3:52.0,R. Lopez misses 3-pt jump shot from 24 ft,,19,16
79,1,3:50.0,Offensive rebound by E. İlyasova,,19,16
80,1,3:47.0,D. DiVincenzo misses 3-pt jump shot from 28 ft,,19,16
81,1,3:43.0,,Defensive rebound by M. Harkless,19,16
82,1,3:39.0,,Shooting foul by D. DiVincenzo (drawn by M. Harrell),19,16
83,1,3:39.0,,M. Harrell misses free throw 1 of 2,19,16
84,1,3:39.0,,Offensive rebound by Team,19,16
85,1,3:39.0,,M. Harrell makes free throw 2 of 2,19,17
