,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
0,1,11:46.0,D. Gallinari makes 3-pt jump shot from 28 ft (assist by L. Dort),,3,0
1,1,11:25.0,,A. Gordon misses 2-pt layup from 1 ft,3,0
2,1,11:21.0,Defensive rebound by S. Gilgeous-Alexander,,3,0
3,1,11:07.0,D. Gallinari misses 3-pt jump shot from 28 ft,,3,0
4,1,11:05.0,,Defensive rebound by W. Iwundu,3,0
5,1,10:55.0,,M. Fultz makes 3-pt jump shot from 25 ft (assist by E. Fournier),3,3
6,1,10:31.0,L. Dort misses 2-pt layup from 7 ft,,3,3
7,1,10:28.0,,Defensive rebound by A. Gordon,3,3
8,1,10:24.0,,N. Vučević misses 3-pt jump shot from 26 ft,3,3
9,1,10:19.0,Defensive rebound by N. Noel,,3,3
10,1,10:12.0,Personal foul by A. Gordon (drawn by D. Gallinari),,3,3
11,1,9:58.0,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft,,5,3
12,1,9:41.0,,N. Vučević misses 3-pt jump shot from 27 ft,5,3
13,1,9:38.0,Defensive rebound by D. Gallinari,,5,3
14,1,9:33.0,Personal foul by E. Fournier (drawn by N. Noel),,5,3
15,1,9:23.0,Turnover by C. Paul (bad pass; steal by N. Vučević),,5,3
16,1,9:17.0,,N. Vučević misses 2-pt layup from 1 ft (block by S. Gilgeous-Alexander),5,3
17,1,9:17.0,Defensive rebound by N. Noel,,5,3
18,1,9:15.0,Turnover by N. Noel (bad pass; steal by W. Iwundu),,5,3
19,1,9:06.0,,W. Iwundu makes 3-pt jump shot from 27 ft (assist by N. Vučević),5,6
20,1,8:49.0,N. Noel misses 2-pt jump shot from 19 ft,,5,6
21,1,8:46.0,,Defensive rebound by N. Vučević,5,6
22,1,8:36.0,,Turnover by M. Fultz (bad pass; steal by S. Gilgeous-Alexander),5,6
23,1,8:26.0,C. Paul misses 3-pt jump shot from 23 ft,,5,6
24,1,8:23.0,,Defensive rebound by N. Vučević,5,6
