,QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
0,1,11:35.0,Shooting foul by R. Barrett (drawn by J. Harden),,0,0
1,1,11:35.0,J. Harden makes free throw 1 of 2,,1,0
2,1,11:35.0,J. Harden makes free throw 2 of 2,,2,0
3,1,11:15.0,,R. Barrett misses 2-pt jump shot from 22 ft,2,0
4,1,11:14.0,,Offensive rebound by M. Harkless,2,0
5,1,11:14.0,,Shooting foul by R. Covington (drawn by M. Harkless),2,0
6,1,11:14.0,,M. Harkless makes free throw 1 of 2,2,1
7,1,11:14.0,,M. Harkless misses free throw 2 of 2,2,1
8,1,11:13.0,Defensive rebound by P. Tucker,,2,1
9,1,11:01.0,Houston full timeout,,2,1
10,1,10:54.0,J. Harden misses 3-pt jump shot from 27 ft,,2,1
11,1,10:52.0,,Defensive rebound by M. Harkless,2,1
12,1,10:36.0,,J. Randle misses 2-pt jump shot from 8 ft,2,1
13,1,10:34.0,Defensive rebound by R. Westbrook,,2,1
14,1,10:25.0,R. Westbrook misses 2-pt jump shot from 5 ft,,2,1
15,1,10:23.0,Offensive rebound by R. Westbrook,,2,1
16,1,10:23.0,R. Westbrook makes 2-pt layup at rim,,4,1
17,1,10:08.0,,E. Payton misses 3-pt jump shot from 26 ft,4,1
18,1,10:06.0,Defensive rebound by D. House,,4,1
19,1,9:56.0,D. House makes 3-pt jump shot from 25 ft (assist by R. Covington),,7,1
20,1,9:41.0,,T. Gibson misses 2-pt layup from 1 ft (block by D. House),7,1
21,1,9:39.0,Defensive rebound by R. Westbrook,,7,1
22,1,9:21.0,D. House misses 3-pt jump shot from 22 ft,,7,1
23,1,9:19.0,,Defensive rebound by T. Gibson,7,1
24,1,9:12.0,,M. Harkless misses 2-pt layup from 2 ft (block by D. House),7,1
25,1,9:11.0,,Offensive rebound by Team,7,1
26,1,9:00.0,,Turnover by J. Randle (bad pass; steal by R. Covington),7,1
27,1,8:59.0,Shooting foul by M. Harkless (drawn by D. House),,7,1
28,1,8:59.0,D. House makes free throw 1 of 2,,8,1
29,1,8:59.0,D. House makes free throw 2 of 2,,9,1
30,1,8:48.0,,R. Barrett makes 3-pt jump shot from 26 ft (assist by M. Harkless),9,4
31,1,8:22.0,Turnover by P. Tucker (bad pass; steal by E. Payton),,9,4
32,1,8:18.0,,M. Harkless makes 2-pt dunk from 2 ft (assist by E. Payton),9,6
33,1,7:55.0,D. House misses 2-pt layup from 3 ft (block by T. Gibson),,9,6
34,1,7:53.0,,Defensive rebound by T. Gibson,9,6
35,1,7:50.0,,R. Barrett misses 3-pt jump shot from 26 ft,9,6
36,1,7:48.0,,Offensive rebound by J. Randle,9,6
37,1,7:45.0,,J. Randle makes 2-pt layup from 1 ft,9,8
38,1,7:36.0,D. House misses 3-pt jump shot from 23 ft,,9,8
39,1,7:34.0,,Defensive rebound by E. Payton,9,8
40,1,7:29.0,,R. Barrett makes 2-pt dunk at rim (assist by E. Payton),9,10
41,1,7:14.0,Flagrant foul type 1 by J. Randle (drawn by J. Harden),,9,10
42,1,7:14.0,Instant Replay (Request: Ruling Stands),,9,10
43,1,7:14.0,E. Gordon enters the game for D. House,,9,10
44,1,7:14.0,J. Harden makes flagrant free throw 1 of 3,,10,10
45,1,7:14.0,J. Harden makes flagrant free throw 2 of 3,,11,10
46,1,7:14.0,J. Harden makes flagrant free throw 3 of 3,,12,10
47,1,7:05.0,R. Westbrook misses 2-pt dunk from 3 ft,,12,10
48,1,7:02.0,Offensive rebound by R. Covington,,12,10
