,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
0,1,11:38.0,,K. Love misses 2-pt layup from 2 ft,0,0
1,1,11:38.0,,Offensive rebound by Team,0,0
2,1,11:35.0,,K. Love makes 3-pt jump shot from 24 ft (assist by C. Osman),0,3
3,1,11:20.0,B. Beal makes 2-pt jump shot from 9 ft,,2,3
4,1,11:07.0,,K. Love misses 3-pt jump shot from 25 ft,2,3
5,1,11:05.0,Defensive rebound by I. Thomas,,2,3
6,1,11:01.0,I. Thomas misses 3-pt jump shot from 26 ft,,2,3
7,1,10:57.0,,Defensive rebound by C. Sexton,2,3
8,1,10:52.0,,Shooting foul by G. Payton (drawn by C. Sexton),2,3
9,1,10:52.0,,C. Sexton makes free throw 1 of 2,2,4
10,1,10:52.0,,C. Sexton makes free throw 2 of 2,2,5
11,1,10:39.0,Turnover by I. Thomas (bad pass; steal by C. Sexton),,2,5
12,1,10:23.0,,D. Garland makes 3-pt jump shot from 23 ft (assist by C. Osman),2,8
13,1,10:03.0,T. Bryant misses 2-pt jump shot from 19 ft,,2,8
14,1,10:01.0,,Defensive rebound by C. Osman,2,8
15,1,9:51.0,,T. Thompson misses 2-pt jump shot from 12 ft,2,8
16,1,9:49.0,Defensive rebound by G. Payton,,2,8
17,1,9:35.0,I. Mahinmi misses 2-pt hook shot from 6 ft,,2,8
18,1,9:32.0,,Defensive rebound by K. Love,2,8
19,1,9:28.0,,D. Garland misses 3-pt jump shot from 25 ft,2,8
20,1,9:26.0,,Offensive rebound by C. Sexton,2,8
21,1,9:21.0,,C. Sexton makes 2-pt layup at rim,2,10
22,1,9:11.0,Offensive foul by I. Mahinmi (drawn by C. Osman),,2,10
23,1,9:11.0,Turnover by I. Mahinmi (offensive foul),,2,10
24,1,9:00.0,,K. Love misses 3-pt jump shot from 27 ft,2,10
25,1,8:57.0,Defensive rebound by I. Thomas,,2,10
26,1,8:53.0,I. Thomas makes 2-pt jump shot from 19 ft,,4,10
27,1,8:39.0,,C. Sexton makes 2-pt jump shot from 11 ft,4,12
28,1,8:26.0,B. Beal makes 2-pt layup from 2 ft,,6,12
29,1,8:12.0,,D. Garland misses 3-pt jump shot from 26 ft,6,12
30,1,8:10.0,Defensive rebound by G. Payton,,6,12
31,1,8:02.0,Turnover by I. Thomas (lost ball; steal by K. Love),,6,12
32,1,7:58.0,,K. Love makes 2-pt layup from 1 ft (assist by C. Osman),6,14
33,1,7:43.0,I. Thomas misses 3-pt jump shot from 23 ft,,6,14
34,1,7:40.0,,Defensive rebound by K. Love,6,14
35,1,7:29.0,,C. Osman makes 2-pt jump shot from 1 ft,6,16
36,1,7:29.0,Washington full timeout,,6,16
37,1,7:29.0,I. Bonga enters the game for G. Payton,,6,16
38,1,7:18.0,Turnover by I. Thomas (bad pass; steal by C. Sexton),,6,16
39,1,7:15.0,,C. Sexton makes 2-pt dunk at rim,6,18
40,1,7:02.0,T. Bryant makes 3-pt jump shot from 26 ft (assist by B. Beal),,9,18
41,1,6:48.0,,Turnover by D. Garland (bad pass),9,18
42,1,6:48.0,,D. Exum enters the game for D. Garland,9,18
43,1,6:32.0,B. Beal misses 2-pt jump shot from 10 ft,,9,18
44,1,6:26.0,Offensive rebound by I. Mahinmi,,9,18
45,1,6:26.0,I. Mahinmi makes 2-pt layup at rim,,11,18
46,1,6:11.0,,C. Sexton misses 2-pt jump shot from 15 ft,11,18
47,1,6:11.0,Defensive rebound by Team,,11,18
48,1,6:02.0,B. Beal makes 3-pt jump shot from 31 ft,,14,18
49,1,5:45.0,,C. Osman misses 3-pt jump shot from 26 ft,14,18
50,1,5:43.0,Defensive rebound by T. Bryant,,14,18
51,1,5:36.0,Shooting foul by T. Thompson (drawn by I. Mahinmi),,14,18
52,1,5:36.0,I. Mahinmi misses free throw 1 of 2,,14,18
53,1,5:36.0,Offensive rebound by Team,,14,18
54,1,5:36.0,I. Mahinmi makes free throw 2 of 2,,15,18
55,1,5:18.0,,C. Sexton misses 2-pt jump shot from 21 ft,15,18
56,1,5:15.0,Defensive rebound by T. Bryant,,15,18
57,1,5:06.0,B. Beal makes 2-pt layup from 5 ft (assist by I. Thomas),,17,18
58,1,4:52.0,,T. Thompson misses 2-pt hook shot from 4 ft,17,18
59,1,4:49.0,Defensive rebound by I. Mahinmi,,17,18
60,1,4:39.0,B. Beal misses 2-pt jump shot from 19 ft,,17,18
