,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,Turnover by E. İlyasova (bad pass; steal by J. Isaac),0,0
1,1,11:39.0,J. Isaac makes 2-pt dunk from 1 ft (assist by M. Fultz),,2,0
2,1,11:24.0,,D. DiVincenzo makes 2-pt jump shot from 17 ft (assist by E. İlyasova),2,2
3,1,11:09.0,M. Fultz misses 2-pt jump shot from 13 ft,,2,2
4,1,11:06.0,,Defensive rebound by E. İlyasova,2,2
5,1,10:59.0,,B. Lopez makes 2-pt jump shot from 8 ft (assist by E. İlyasova),2,4
6,1,10:41.0,A. Gordon misses 2-pt jump shot from 20 ft,,2,4
7,1,10:37.0,,Defensive rebound by W. Matthews,2,4
8,1,10:27.0,,K. Middleton misses 2-pt jump shot from 10 ft,2,4
9,1,10:22.0,Defensive rebound by J. Isaac,,2,4
10,1,10:18.0,J. Isaac misses 2-pt layup from 2 ft,,2,4
11,1,10:11.0,Offensive rebound by J. Isaac,,2,4
12,1,10:11.0,J. Isaac misses 2-pt layup from 1 ft,,2,4
13,1,10:11.0,,Defensive rebound by E. İlyasova,2,4
14,1,10:07.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),2,7
15,1,9:49.0,E. Fournier misses 2-pt jump shot from 8 ft,,2,7
16,1,9:49.0,,Defensive rebound by E. İlyasova,2,7
17,1,9:42.0,,K. Middleton makes 3-pt jump shot from 25 ft,2,10
18,1,9:26.0,Turnover by E. Fournier (bad pass; steal by B. Lopez),,2,10
19,1,9:18.0,,Turnover by W. Matthews (lost ball; steal by J. Isaac),2,10
20,1,9:08.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by N. Vučević),,5,10
21,1,8:51.0,,K. Middleton misses 2-pt jump shot from 16 ft,5,10
22,1,8:47.0,Defensive rebound by A. Gordon,,5,10
23,1,8:41.0,N. Vučević makes 3-pt jump shot from 27 ft (assist by M. Fultz),,8,10
24,1,8:18.0,,B. Lopez makes 2-pt layup from 1 ft (assist by W. Matthews),8,12
25,1,8:09.0,Turnover by M. Fultz (out of bounds lost ball),,8,12
26,1,7:58.0,,B. Lopez misses 2-pt hook shot from 9 ft,8,12
27,1,7:52.0,Defensive rebound by N. Vučević,,8,12
28,1,7:47.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Isaac),,11,12
29,1,7:35.0,,D. DiVincenzo misses 3-pt jump shot from 25 ft,11,12
30,1,7:33.0,,Offensive rebound by K. Middleton,11,12
31,1,7:33.0,,Shooting foul by J. Isaac (drawn by K. Middleton),11,12
32,1,7:33.0,,K. Middleton makes free throw 1 of 2,11,13
33,1,7:33.0,,K. Middleton makes free throw 2 of 2,11,14
34,1,7:20.0,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),,13,14
35,1,7:08.0,,K. Middleton makes 2-pt jump shot from 8 ft,13,16
36,1,6:52.0,E. Fournier misses 3-pt jump shot from 23 ft,,13,16
37,1,6:49.0,Offensive rebound by J. Isaac,,13,16
38,1,6:49.0,J. Isaac makes 2-pt dunk from 1 ft,,15,16
39,1,6:49.0,,Milwaukee full timeout,15,16
40,1,6:38.0,,Turnover by D. DiVincenzo (step out of bounds),15,16
41,1,6:25.0,E. Fournier misses 2-pt layup from 2 ft,,15,16
42,1,6:23.0,,Defensive rebound by W. Matthews,15,16
43,1,6:10.0,,E. İlyasova makes 2-pt jump shot from 21 ft (assist by D. DiVincenzo),15,18
44,1,5:47.0,N. Vučević misses 3-pt jump shot from 26 ft,,15,18
45,1,5:43.0,,Defensive rebound by D. DiVincenzo,15,18
46,1,5:40.0,,K. Middleton misses 3-pt jump shot from 29 ft,15,18
47,1,5:36.0,Defensive rebound by N. Vučević,,15,18
48,1,5:30.0,E. Fournier makes 2-pt jump shot from 9 ft,,17,18
49,1,5:18.0,,W. Matthews makes 2-pt jump shot from 13 ft (assist by D. DiVincenzo),17,20
50,1,5:18.0,,Shooting foul by J. Isaac (drawn by W. Matthews),17,20
51,1,5:18.0,T. Ross enters the game for A. Gordon,,17,20
52,1,5:18.0,,S. Brown enters the game for D. DiVincenzo,17,20
53,1,5:18.0,,P. Connaughton enters the game for E. İlyasova,17,20
54,1,5:18.0,,G. Hill enters the game for K. Middleton,17,20
55,1,5:18.0,,W. Matthews misses free throw 1 of 1,17,20
56,1,5:16.0,,Offensive rebound by G. Hill,17,20
57,1,5:03.0,,Turnover by G. Hill (bad pass; steal by J. Isaac),17,20
58,1,5:03.0,E. Fournier makes 2-pt layup from 1 ft,,19,20
59,1,5:03.0,Shooting foul by P. Connaughton (drawn by E. Fournier),,19,20
60,1,5:03.0,D. Augustin enters the game for M. Fultz,,19,20
61,1,5:03.0,,K. Middleton enters the game for W. Matthews,19,20
62,1,5:03.0,E. Fournier makes free throw 1 of 1,,20,20
63,1,4:38.0,,K. Middleton misses 3-pt jump shot from 23 ft,20,20
64,1,4:35.0,Defensive rebound by N. Vučević,,20,20
65,1,4:29.0,Turnover by E. Fournier (bad pass; steal by B. Lopez),,20,20
66,1,4:24.0,,S. Brown misses 3-pt jump shot from 25 ft,20,20
67,1,4:21.0,,Offensive rebound by P. Connaughton,20,20
68,1,4:19.0,,K. Middleton misses 3-pt jump shot from 27 ft,20,20
69,1,4:17.0,,Offensive rebound by S. Brown,20,20
70,1,4:14.0,,B. Lopez misses 3-pt jump shot from 28 ft,20,20
71,1,4:11.0,,Offensive rebound by P. Connaughton,20,20
72,1,4:09.0,,S. Brown makes 2-pt jump shot from 13 ft (assist by P. Connaughton),20,22
73,1,4:02.0,Orlando full timeout,,20,22
74,1,4:02.0,K. Birch enters the game for E. Fournier,,20,22
75,1,4:02.0,W. Iwundu enters the game for N. Vučević,,20,22
76,1,4:02.0,,K. Korver enters the game for B. Lopez,20,22
77,1,4:02.0,,R. Lopez enters the game for K. Middleton,20,22
78,1,3:49.0,D. Augustin makes 3-pt jump shot from 26 ft (assist by W. Iwundu),,23,22
79,1,3:32.0,,R. Lopez makes 2-pt hook shot from 9 ft (assist by G. Hill),23,24
80,1,3:32.0,,Shooting foul by W. Iwundu (drawn by R. Lopez),23,24
81,1,3:32.0,,R. Lopez misses free throw 1 of 1,23,24
82,1,3:27.0,Defensive rebound by J. Isaac,,23,24
83,1,3:21.0,D. Augustin makes 2-pt jump shot from 16 ft,,25,24
84,1,3:07.0,,P. Connaughton misses 3-pt jump shot from 26 ft,25,24
85,1,3:04.0,Defensive rebound by W. Iwundu,,25,24
86,1,2:57.0,K. Birch misses 2-pt jump shot from 10 ft,,25,24
87,1,2:54.0,Offensive rebound by K. Birch,,25,24
88,1,2:54.0,K. Birch misses 2-pt layup from 5 ft,,25,24
89,1,2:54.0,Offensive rebound by Team,,25,24
90,1,2:54.0,,Loose ball foul by R. Lopez (drawn by J. Isaac),25,24
91,1,2:54.0,A. Gordon enters the game for J. Isaac,,25,24
92,1,2:44.0,D. Augustin misses 2-pt jump shot from 13 ft,,25,24
93,1,2:41.0,,Defensive rebound by S. Brown,25,24
94,1,2:33.0,,S. Brown makes 2-pt layup at rim (assist by G. Hill),25,26
95,1,2:14.0,W. Iwundu misses 2-pt layup from 7 ft,,25,26
96,1,2:10.0,,Defensive rebound by P. Connaughton,25,26
