,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
86,1,2:27.0,,E. Fournier misses 2-pt layup from 3 ft,12,21
87,1,2:27.0,Defensive rebound by Team,,12,21
88,1,2:27.0,Personal foul by M. Carter-Williams (drawn by J. Jackson),,12,21
89,1,2:27.0,B. Caboclo enters the game for J. Jackson,,12,21
90,1,2:27.0,,A. Gordon enters the game for E. Fournier,12,21
91,1,2:17.0,Turnover by T. Jones (bad pass; steal by A. Aminu),,12,21
92,1,2:14.0,,Turnover by A. Gordon (off goaltending),12,21
93,1,2:02.0,Offensive foul by T. Jones (drawn by D. Augustin),,12,21
94,1,2:02.0,Turnover by T. Jones (offensive foul),,12,21
95,1,1:48.0,,M. Bamba misses 2-pt jump shot from 6 ft (block by B. Clarke),12,21
96,1,1:43.0,Defensive rebound by B. Clarke,,12,21
97,1,1:39.0,T. Jones makes 3-pt jump shot from 26 ft (assist by K. Anderson),,15,21
98,1,1:25.0,,A. Gordon misses 2-pt layup from 2 ft (block by B. Caboclo),15,21
99,1,1:25.0,,Offensive rebound by Team,15,21
100,1,1:17.0,,M. Bamba makes 2-pt dunk from 2 ft (assist by M. Carter-Williams),15,23
101,1,1:05.0,T. Jones misses 2-pt jump shot from 19 ft,,15,23
102,1,1:02.0,,Defensive rebound by M. Carter-Williams,15,23
103,1,0:57.0,,Shooting foul by K. Anderson (drawn by M. Carter-Williams),15,23
104,1,0:57.0,,M. Carter-Williams makes free throw 1 of 2,15,24
105,1,0:57.0,S. Hill enters the game for B. Clarke,,15,24
106,1,0:57.0,J. Morant enters the game for M. Guduric,,15,24
107,1,0:57.0,,M. Carter-Williams makes free throw 2 of 2,15,25
108,1,0:40.0,Turnover by J. Morant (discontinued dribble),,15,25
109,1,0:29.0,,D. Augustin misses 2-pt layup from 6 ft,15,25
110,1,0:26.0,,Offensive rebound by M. Bamba,15,25
111,1,0:26.0,,M. Bamba makes 2-pt layup from 1 ft,15,27
112,1,0:11.0,Turnover by J. Morant (bad pass),,15,27
113,1,0:00.0,,M. Bamba misses 3-pt jump shot from 26 ft,15,27
114,1,0:00.0,,Offensive rebound by Team,15,27
115,2,11:43.0,,M. Bamba misses 3-pt jump shot from 26 ft,15,27
116,2,11:39.0,,Offensive rebound by M. Carter-Williams,15,27
117,2,11:36.0,,Turnover by M. Carter-Williams (traveling),15,27
