,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHOENIX_ACTION,ORLANDO_SCORE,PHOENIX_SCORE
0,1,11:41.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by D. Booker),0,3
1,1,11:23.0,K. Birch misses 2-pt hook shot from 12 ft,,0,3
2,1,11:21.0,,Defensive rebound by A. Baynes,0,3
3,1,11:09.0,,Turnover by R. Rubio (bad pass; steal by N. Vučević),0,3
4,1,10:57.0,M. Fultz misses 2-pt jump shot from 16 ft (block by R. Rubio),,0,3
5,1,10:55.0,,Defensive rebound by R. Rubio,0,3
6,1,10:48.0,,A. Baynes makes 2-pt jump shot from 11 ft (assist by D. Booker),0,5
7,1,10:39.0,Personal foul by R. Rubio (drawn by M. Fultz),,0,5
8,1,10:33.0,N. Vučević misses 3-pt jump shot from 26 ft,,0,5
9,1,10:30.0,,Defensive rebound by K. Oubre,0,5
10,1,10:23.0,,Shooting foul by K. Birch (drawn by D. Šarić),0,5
11,1,10:23.0,,D. Šarić makes free throw 1 of 2,0,6
12,1,10:23.0,,D. Šarić makes free throw 2 of 2,0,7
13,1,10:12.0,M. Fultz makes 2-pt hook shot from 10 ft,,2,7
14,1,10:01.0,,K. Oubre misses 3-pt jump shot from 26 ft,2,7
15,1,9:59.0,Defensive rebound by M. Fultz,,2,7
16,1,9:41.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),,5,7
17,1,9:29.0,,D. Booker misses 3-pt jump shot from 25 ft,5,7
18,1,9:27.0,Defensive rebound by N. Vučević,,5,7
19,1,9:19.0,E. Fournier makes 2-pt layup from 1 ft (assist by M. Fultz),,7,7
20,1,9:01.0,,K. Oubre makes 2-pt jump shot from 20 ft (assist by R. Rubio),7,9
21,1,8:41.0,Turnover by E. Fournier (bad pass),,7,9
22,1,8:28.0,,D. Šarić misses 3-pt jump shot from 26 ft,7,9
23,1,8:24.0,Defensive rebound by K. Birch,,7,9
24,1,8:18.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by W. Iwundu),,9,9
25,1,8:02.0,,Turnover by D. Šarić (bad pass),9,9
26,1,7:48.0,Turnover by M. Fultz (lost ball; steal by D. Šarić),,9,9
27,1,7:44.0,,D. Booker makes 2-pt layup from 1 ft (assist by R. Rubio),9,11
28,1,7:27.0,M. Fultz makes 2-pt jump shot from 17 ft,,11,11
29,1,7:18.0,,Shooting foul by M. Fultz (drawn by R. Rubio),11,11
30,1,7:18.0,,R. Rubio makes free throw 1 of 2,11,12
31,1,7:18.0,,R. Rubio makes free throw 2 of 2,11,13
32,1,7:01.0,Turnover by N. Vučević (bad pass; steal by D. Booker),,11,13
33,1,6:56.0,,R. Rubio misses 3-pt jump shot from 25 ft,11,13
34,1,6:52.0,Defensive rebound by M. Fultz,,11,13
35,1,6:49.0,Shooting foul by A. Baynes (drawn by M. Fultz),,11,13
36,1,6:49.0,,Phoenix full timeout,11,13
37,1,6:49.0,M. Fultz makes free throw 1 of 2,,12,13
38,1,6:49.0,M. Fultz makes free throw 2 of 2,,13,13
39,1,6:37.0,,K. Oubre misses 2-pt jump shot from 4 ft (block by W. Iwundu),13,13
40,1,6:35.0,Defensive rebound by N. Vučević,,13,13
41,1,6:33.0,Offensive foul by K. Birch (drawn by R. Rubio),,13,13
42,1,6:33.0,Turnover by K. Birch (offensive foul),,13,13
43,1,6:33.0,,D. Ayton enters the game for A. Baynes,13,13
44,1,6:33.0,,M. Bridges enters the game for K. Oubre,13,13
45,1,6:20.0,,Turnover by D. Booker (bad pass),13,13
46,1,6:02.0,E. Fournier misses 3-pt jump shot from 26 ft,,13,13
47,1,5:58.0,,Defensive rebound by D. Ayton,13,13
48,1,5:51.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Rubio),13,16
49,1,5:42.0,Orlando full timeout,,13,16
50,1,5:42.0,T. Ross enters the game for W. Iwundu,,13,16
51,1,5:42.0,Away from play foul by R. Rubio (drawn by M. Fultz),,13,16
52,1,5:42.0,E. Fournier makes free throw 1 of 1,,14,16
53,1,5:33.0,E. Fournier misses 2-pt jump shot from 5 ft,,14,16
54,1,5:28.0,Offensive rebound by K. Birch,,14,16
55,1,5:28.0,K. Birch makes 2-pt dunk at rim,,16,16
56,1,5:17.0,,D. Šarić misses 2-pt layup from 1 ft (block by K. Birch),16,16
57,1,5:15.0,,Offensive rebound by R. Rubio,16,16
58,1,5:14.0,,R. Rubio makes 2-pt jump shot from 14 ft,16,18
59,1,4:51.0,M. Fultz misses 2-pt jump shot from 21 ft,,16,18
60,1,4:47.0,Offensive rebound by N. Vučević,,16,18
61,1,4:46.0,N. Vučević misses 2-pt jump shot from 12 ft,,16,18
62,1,4:46.0,Offensive rebound by N. Vučević,,16,18
63,1,4:35.0,N. Vučević makes 2-pt jump shot from 10 ft,,18,18
64,1,4:23.0,,D. Šarić makes 2-pt layup at rim,18,20
65,1,4:15.0,M. Fultz misses 2-pt layup from 2 ft (block by D. Ayton),,18,20
66,1,4:15.0,,Defensive rebound by R. Rubio,18,20
67,1,4:03.0,,M. Bridges makes 2-pt layup from 1 ft (assist by R. Rubio),18,22
68,1,3:49.0,Personal foul by M. Bridges (drawn by T. Ross),,18,22
69,1,3:49.0,A. Jefferson enters the game for K. Birch,,18,22
70,1,3:49.0,,C. Johnson enters the game for R. Rubio,18,22
71,1,3:49.0,,E. Okobo enters the game for D. Šarić,18,22
72,1,3:40.0,N. Vučević makes 2-pt jump shot from 8 ft (assist by M. Fultz),,20,22
73,1,3:24.0,,E. Okobo misses 2-pt layup at rim,20,22
74,1,3:21.0,,Offensive rebound by D. Ayton,20,22
75,1,3:21.0,,D. Ayton misses 2-pt layup from 1 ft,20,22
76,1,3:21.0,Defensive rebound by N. Vučević,,20,22
77,1,3:14.0,N. Vučević misses 3-pt jump shot from 26 ft,,20,22
78,1,3:11.0,,Defensive rebound by E. Okobo,20,22
79,1,3:05.0,,Personal foul by E. Fournier (drawn by D. Booker),20,22
80,1,2:57.0,,Turnover by M. Bridges (bad pass; steal by M. Fultz),20,22
81,1,2:56.0,Personal take foul by E. Okobo (drawn by T. Ross),,20,22
82,1,2:56.0,T. Ross makes free throw 1 of 2,,21,22
83,1,2:56.0,M. Bamba enters the game for E. Fournier,,21,22
84,1,2:56.0,W. Iwundu enters the game for M. Fultz,,21,22
85,1,2:56.0,J. Magette enters the game for N. Vučević,,21,22
86,1,2:56.0,T. Ross makes free throw 2 of 2,,22,22
87,1,2:45.0,,C. Johnson makes 3-pt jump shot from 23 ft (assist by E. Okobo),22,25
88,1,2:19.0,J. Magette misses 2-pt jump shot from 16 ft,,22,25
89,1,2:18.0,Offensive rebound by Team,,22,25
90,1,2:18.0,Turnover by Team (shot clock),,22,25
91,1,2:18.0,,T. Johnson enters the game for D. Booker,22,25
92,1,2:06.0,,D. Ayton misses 2-pt layup from 3 ft (block by A. Jefferson),22,25
93,1,2:03.0,,Offensive rebound by D. Ayton,22,25
94,1,2:03.0,,D. Ayton misses 2-pt layup from 2 ft (block by M. Bamba),22,25
95,1,2:03.0,,Offensive rebound by C. Johnson,22,25
96,1,1:53.0,,D. Ayton misses 2-pt jump shot from 19 ft,22,25
97,1,1:49.0,Defensive rebound by M. Bamba,,22,25
98,1,1:36.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Magette),,25,25
99,1,1:20.0,,T. Johnson misses 2-pt jump shot from 18 ft,25,25
100,1,1:17.0,Defensive rebound by M. Bamba,,25,25
101,1,1:06.0,W. Iwundu misses 2-pt layup from 3 ft,,25,25
102,1,1:04.0,Offensive rebound by W. Iwundu,,25,25
103,1,1:03.0,W. Iwundu misses 2-pt jump shot from 2 ft (block by C. Johnson),,25,25
104,1,1:01.0,,Defensive rebound by M. Bridges,25,25
105,1,0:58.0,,M. Bridges makes 2-pt layup at rim,25,27
106,1,0:50.0,T. Ross misses 3-pt jump shot from 25 ft,,25,27
107,1,0:47.0,,Defensive rebound by E. Okobo,25,27
108,1,0:35.0,,E. Okobo misses 2-pt jump shot from 13 ft,25,27
109,1,0:32.0,Defensive rebound by M. Bamba,,25,27
110,1,0:17.0,T. Ross misses 3-pt jump shot from 25 ft,,25,27
111,1,0:15.0,,Defensive rebound by E. Okobo,25,27
112,1,0:04.0,,Personal foul by J. Magette (drawn by E. Okobo),25,27
113,1,0:00.0,,C. Johnson misses 3-pt jump shot from 23 ft,25,27
114,1,0:00.0,,Offensive rebound by Team,25,27
115,2,11:44.0,J. Magette misses 2-pt jump shot from 16 ft,,25,27
116,2,11:42.0,Offensive rebound by K. Birch,,25,27
117,2,11:32.0,Personal foul by K. Oubre (drawn by T. Ross),,25,27
118,2,11:26.0,Shooting foul by K. Oubre (drawn by T. Ross),,25,27
119,2,11:26.0,T. Ross makes free throw 1 of 2,,26,27
120,2,11:26.0,T. Ross misses free throw 2 of 2,,26,27
121,2,11:24.0,,Defensive rebound by D. Ayton,26,27
122,2,11:09.0,,K. Oubre makes 2-pt jump shot from 14 ft,26,29
123,2,10:51.0,E. Fournier misses 2-pt layup from 1 ft (block by D. Ayton),,26,29
124,2,10:50.0,Offensive rebound by Team,,26,29
125,2,10:43.0,E. Fournier misses 3-pt jump shot from 27 ft (block by D. Ayton),,26,29
126,2,10:42.0,Offensive rebound by Team,,26,29
127,2,10:42.0,Turnover by Team (shot clock),,26,29
128,2,10:25.0,,T. Johnson misses 3-pt jump shot from 25 ft,26,29
129,2,10:24.0,,Offensive rebound by Team,26,29
130,2,10:24.0,Loose ball foul by J. Magette (drawn by D. Ayton),,26,29
131,2,10:17.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by R. Rubio),26,31
132,2,10:00.0,T. Ross misses 3-pt jump shot from 25 ft,,26,31
133,2,9:59.0,,Defensive rebound by Team,26,31
134,2,9:40.0,,D. Ayton misses 2-pt jump shot from 13 ft,26,31
135,2,9:38.0,Defensive rebound by K. Birch,,26,31
136,2,9:32.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Magette),,29,31
137,2,9:13.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by R. Rubio),29,34
138,2,8:53.0,E. Fournier makes 2-pt layup from 1 ft,,31,34
139,2,8:44.0,,D. Ayton misses 2-pt jump shot from 19 ft,31,34
140,2,8:42.0,Defensive rebound by K. Birch,,31,34
141,2,8:31.0,T. Ross misses 3-pt jump shot from 25 ft,,31,34
142,2,8:28.0,,Defensive rebound by D. Ayton,31,34
143,2,8:26.0,,Phoenix full timeout,31,34
144,2,8:26.0,W. Iwundu enters the game for T. Ross,,31,34
145,2,8:26.0,,A. Baynes enters the game for D. Ayton,31,34
146,2,8:26.0,,D. Šarić enters the game for M. Bridges,31,34
147,2,8:20.0,,Shooting foul by M. Bamba (drawn by A. Baynes),31,34
148,2,8:20.0,,A. Baynes makes free throw 1 of 2,31,35
149,2,8:20.0,,A. Baynes makes free throw 2 of 2,31,36
150,2,8:10.0,Personal foul by T. Johnson (drawn by E. Fournier),,31,36
151,2,8:00.0,W. Iwundu misses 2-pt jump shot from 20 ft,,31,36
152,2,7:57.0,,Defensive rebound by R. Rubio,31,36
153,2,7:44.0,,T. Johnson makes 2-pt jump shot from 18 ft (assist by A. Baynes),31,38
154,2,7:28.0,E. Fournier makes 2-pt layup from 1 ft,,33,38
155,2,7:28.0,Shooting foul by D. Šarić (drawn by E. Fournier),,33,38
156,2,7:28.0,E. Fournier makes free throw 1 of 1,,34,38
157,2,7:20.0,,Turnover by D. Šarić (bad pass),34,38
158,2,7:20.0,M. Fultz enters the game for J. Magette,,34,38
159,2,7:20.0,,D. Booker enters the game for T. Johnson,34,38
160,2,7:04.0,E. Fournier misses 2-pt layup from 2 ft,,34,38
161,2,7:02.0,Offensive rebound by E. Fournier,,34,38
162,2,6:56.0,E. Fournier makes 2-pt jump shot from 21 ft,,36,38
163,2,6:39.0,,A. Baynes makes 2-pt layup from 1 ft,36,40
164,2,6:21.0,E. Fournier misses 3-pt jump shot from 26 ft,,36,40
165,2,6:19.0,,Defensive rebound by A. Baynes,36,40
166,2,6:15.0,,D. Booker misses 3-pt jump shot from 25 ft,36,40
167,2,6:11.0,,Offensive rebound by D. Šarić,36,40
168,2,6:09.0,,R. Rubio misses 2-pt jump shot from 22 ft,36,40
169,2,6:07.0,Defensive rebound by K. Birch,,36,40
170,2,5:46.0,K. Birch makes 2-pt layup from 5 ft (assist by E. Fournier),,38,40
171,2,5:46.0,Shooting foul by A. Baynes (drawn by K. Birch),,38,40
172,2,5:46.0,,Phoenix full timeout,38,40
173,2,5:46.0,,Instant Replay (Challenge: Ruling Stands),38,40
174,2,5:46.0,T. Ross enters the game for M. Bamba,,38,40
175,2,5:46.0,N. Vučević enters the game for E. Fournier,,38,40
176,2,5:46.0,,E. Okobo enters the game for R. Rubio,38,40
177,2,5:46.0,K. Birch makes free throw 1 of 1,,39,40
178,2,5:33.0,,Shooting foul by W. Iwundu (drawn by D. Booker),39,40
179,2,5:33.0,,D. Booker makes free throw 1 of 2,39,41
180,2,5:33.0,A. Jefferson enters the game for K. Birch,,39,41
181,2,5:33.0,,D. Booker makes free throw 2 of 2,39,42
182,2,5:13.0,M. Fultz misses 2-pt jump shot from 3 ft,,39,42
183,2,5:12.0,,Defensive rebound by D. Šarić,39,42
184,2,5:12.0,,D. Ayton enters the game for A. Baynes,39,42
185,2,5:12.0,,M. Bridges enters the game for D. Šarić,39,42
186,2,4:59.0,,D. Ayton makes 2-pt dunk at rim (assist by D. Booker),39,44
187,2,4:38.0,M. Fultz makes 2-pt hook shot from 4 ft,,41,44
188,2,4:29.0,,D. Booker makes 2-pt jump shot from 11 ft,41,46
189,2,4:15.0,M. Fultz misses 2-pt jump shot from 12 ft,,41,46
190,2,4:14.0,,Defensive rebound by D. Booker,41,46
191,2,4:07.0,,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),41,48
192,2,3:44.0,M. Fultz makes 2-pt layup from 1 ft (assist by N. Vučević),,43,48
193,2,3:32.0,,Personal foul by W. Iwundu (drawn by D. Booker),43,48
194,2,3:18.0,,Turnover by Team (shot clock),43,48
195,2,2:57.0,N. Vučević misses 2-pt hook shot from 10 ft,,43,48
196,2,2:55.0,,Defensive rebound by D. Booker,43,48
197,2,2:51.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by D. Booker),43,51
198,2,2:37.0,M. Fultz makes 2-pt dunk from 1 ft,,45,51
199,2,2:13.0,,M. Bridges misses 2-pt jump shot from 6 ft,45,51
200,2,2:12.0,Defensive rebound by N. Vučević,,45,51
201,2,2:00.0,Turnover by W. Iwundu (traveling),,45,51
202,2,2:00.0,E. Fournier enters the game for W. Iwundu,,45,51
203,2,2:00.0,,R. Rubio enters the game for E. Okobo,45,51
204,2,1:48.0,,Shooting foul by N. Vučević (drawn by D. Booker),45,51
205,2,1:48.0,,D. Booker makes free throw 1 of 2,45,52
206,2,1:48.0,,D. Booker makes free throw 2 of 2,45,53
207,2,1:36.0,T. Ross makes 3-pt jump shot from 26 ft (assist by M. Fultz),,48,53
208,2,1:21.0,,Shooting foul by M. Fultz (drawn by D. Booker),48,53
209,2,1:21.0,,D. Booker makes free throw 1 of 2,48,54
210,2,1:21.0,,D. Booker makes free throw 2 of 2,48,55
211,2,1:16.0,Turnover by N. Vučević (out of bounds lost ball),,48,55
212,2,1:00.0,,Offensive foul by D. Ayton (drawn by E. Fournier),48,55
