,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
0,1,11:36.0,P. Tucker misses 3-pt jump shot from 23 ft,,0,0
1,1,11:34.0,,Defensive rebound by N. Jokić,0,0
2,1,11:10.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by N. Jokić),0,3
3,1,10:57.0,B. McLemore makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,3,3
4,1,10:42.0,,Turnover by N. Jokić (bad pass),3,3
5,1,10:35.0,Turnover by R. Westbrook (bad pass; steal by G. Harris),,3,3
6,1,10:26.0,,T. Craig misses 3-pt jump shot from 26 ft,3,3
7,1,10:24.0,Defensive rebound by E. Gordon,,3,3
8,1,10:18.0,E. Gordon misses 3-pt jump shot from 25 ft,,3,3
9,1,10:15.0,Offensive rebound by C. Capela,,3,3
10,1,10:13.0,C. Capela misses 2-pt layup from 3 ft,,3,3
11,1,10:06.0,Offensive rebound by C. Capela,,3,3
12,1,10:06.0,C. Capela makes 2-pt layup at rim,,5,3
13,1,9:59.0,,Personal foul by C. Capela (drawn by N. Jokić),5,3
14,1,9:46.0,,N. Jokić misses 2-pt jump shot from 15 ft,5,3
15,1,9:42.0,Defensive rebound by P. Tucker,,5,3
16,1,9:35.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,8,3
17,1,9:21.0,,N. Jokić misses 2-pt hook shot from 5 ft,8,3
18,1,9:18.0,Defensive rebound by E. Gordon,,8,3
19,1,9:15.0,Shooting foul by G. Harris (drawn by E. Gordon),,8,3
20,1,9:15.0,E. Gordon makes free throw 1 of 2,,9,3
21,1,9:15.0,E. Gordon makes free throw 2 of 2,,10,3
22,1,8:57.0,,Turnover by J. Grant (lost ball; steal by R. Westbrook),10,3
23,1,8:53.0,Turnover by B. McLemore (bad pass),,10,3
24,1,8:42.0,,W. Barton makes 2-pt jump shot from 20 ft (assist by N. Jokić),10,5
25,1,8:25.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,13,5
26,1,8:09.0,,Turnover by N. Jokić (lost ball; steal by E. Gordon),13,5
27,1,7:58.0,E. Gordon misses 3-pt jump shot from 28 ft,,13,5
28,1,7:54.0,,Defensive rebound by J. Grant,13,5
